,SPARCL1 (8404)
ACH-000004,0.16386207206452486
ACH-000005,-0.33030341633485283
ACH-000007,-0.04705678693510757
ACH-000009,-0.035502668152480564
ACH-000011,-0.0769853256502453
ACH-000012,-0.09422613448423132
ACH-000013,0.10375732736269272
ACH-000014,0.03599443468727562
ACH-000015,-0.027806834016572038
ACH-000017,0.017585986526888413
ACH-000018,0.03732595331977287
ACH-000019,-0.10771623555147933
ACH-000021,-0.06448642799962108
ACH-000022,-0.0425598828057601
ACH-000025,0.0661253164033568
ACH-000028,-0.14832585619371647
ACH-000030,-0.06219006530190184
ACH-000035,-0.10690008850578324
ACH-000036,0.05463704221425058
ACH-000037,-0.11007667430227526
ACH-000039,-0.020783314635700555
ACH-000040,-0.18081704139881974
ACH-000041,0.00044035658060728885
ACH-000042,0.04956307726852417
ACH-000045,-0.13602104828878275
ACH-000047,-0.0944208899990717
ACH-000052,-0.07629287958530177
ACH-000053,0.04157143010731187
ACH-000054,0.04762640606560537
ACH-000055,-0.05730361873314214
ACH-000060,-0.056386585795877776
ACH-000067,-0.0721295630641057
ACH-000070,0.05438096437476919
ACH-000075,0.02845529522525048
ACH-000078,-0.07575367127746756
ACH-000082,0.11855989360545233
ACH-000085,-0.027437276110077187
ACH-000086,-0.052577150418418164
ACH-000087,0.17039948662081686
ACH-000092,0.0058837703835232045
ACH-000095,0.0436217400296502
ACH-000097,-0.13213637271060702
ACH-000098,-0.04996854269785956
ACH-000099,-0.1409863855742503
ACH-000108,-0.0548844252415374
ACH-000113,0.05538770292128542
ACH-000116,-0.09756701221559434
ACH-000118,0.01789057104167686
ACH-000120,-0.17719787592848216
ACH-000123,0.052038050453590536
ACH-000127,-0.059456641222427165
ACH-000128,-0.08432696689294314
ACH-000132,-0.005121864831719924
ACH-000133,-0.018027446610744742
ACH-000137,0.23051098382685645
ACH-000138,-0.007026062343252428
ACH-000142,-0.1671504486638123
ACH-000143,-0.030238161585984906
ACH-000146,-0.029624180466184712
ACH-000148,-0.07326510918705786
ACH-000150,-0.004391487811668793
ACH-000152,-0.0743473170293298
ACH-000153,0.000902883093351616
ACH-000159,-0.03981493487459603
ACH-000160,-0.058635793939887465
ACH-000163,-0.06911831429715615
ACH-000167,0.14977821632632676
ACH-000168,0.09698928607978954
ACH-000169,-0.054643008634930185
ACH-000178,-0.020097686564927268
ACH-000183,-0.09535142508397357
ACH-000188,0.08614684457411348
ACH-000189,-0.01371909103727705
ACH-000190,0.15864567624266046
ACH-000198,0.0228393205673132
ACH-000203,-0.15579445270541306
ACH-000204,-0.18844805569160147
ACH-000206,-0.020389607870796245
ACH-000207,-0.0633760778934121
ACH-000208,-0.3435513415314536
ACH-000210,-0.10587395099351284
ACH-000211,-0.07648861942377093
ACH-000215,-0.061875660914128015
ACH-000221,-0.09654138670124043
ACH-000222,-0.01552545726828319
ACH-000223,-0.1527082313909583
ACH-000226,0.04918268505030347
ACH-000227,-0.11653324624010995
ACH-000228,-0.13335483974168374
ACH-000231,0.009931025853884091
ACH-000232,0.008525980331299091
ACH-000233,0.012100255045058373
ACH-000234,-0.0723448262487641
