,BRSK2 (9024)
ACH-000004,0.014301022849534013
ACH-000005,-0.4098717051989976
ACH-000007,0.1291002034202417
ACH-000009,-0.022898976860551368
ACH-000011,-0.06258353205734833
ACH-000012,-0.11819690192023186
ACH-000013,-0.08496278899691756
ACH-000014,-0.05865288214885301
ACH-000015,-0.02453613755445996
ACH-000017,-0.11236020132515513
ACH-000018,-0.2843532500325329
ACH-000019,-0.06732001677391483
ACH-000021,-0.19302713755744508
ACH-000022,-0.17408465497636694
ACH-000025,-0.22254985718062828
ACH-000028,-0.2112597937871911
ACH-000030,-0.1604394378200158
ACH-000035,-0.1127760367498927
ACH-000036,0.015303727598678403
ACH-000037,-0.04288889139408535
ACH-000039,-0.1721580723337265
ACH-000040,-0.2865345247048833
ACH-000041,-0.13987272491477035
ACH-000042,-0.19859383873884065
ACH-000045,-0.18745268182857736
ACH-000047,0.009857510241121158
ACH-000052,-0.005664408555395306
ACH-000053,-0.2672425499638429
ACH-000054,-0.21503314730995446
ACH-000055,-0.07791913556953675
ACH-000060,-0.06977705305600593
ACH-000067,-0.15409938252937372
ACH-000070,-0.17052722512618085
ACH-000075,-0.16825793049245272
ACH-000078,-0.16947619293906352
ACH-000082,-0.054422065055867136
ACH-000085,-0.05067542425619388
ACH-000086,-0.06932957993397353
ACH-000087,0.36214158304186267
ACH-000092,-0.20504487674378924
ACH-000095,-0.04870750064714166
ACH-000097,-0.2774356128671226
ACH-000098,-0.03446313667321714
ACH-000099,-0.2758163082377358
ACH-000108,-0.17425975653465786
ACH-000113,-0.08263309601509422
ACH-000116,-0.13644551228027738
ACH-000118,-0.00803491641424619
ACH-000120,-0.0781377703850573
ACH-000123,-0.0599313135868924
ACH-000127,-0.1106141763427799
ACH-000128,-0.14824910550184972
ACH-000132,-0.007422169439892637
ACH-000133,-0.08156382994617012
ACH-000137,-0.11925718070463864
ACH-000138,-0.2955000428448893
ACH-000142,-0.0342804385115385
ACH-000143,-0.2238904712398468
ACH-000146,-0.10332993916959164
ACH-000148,-0.2567750495575473
ACH-000150,-0.1934148621801107
ACH-000152,-0.12160038821022008
ACH-000153,-0.4792432096305168
ACH-000159,-0.2803563790016181
ACH-000160,-0.053325438742724746
ACH-000163,-0.01473431353120508
ACH-000167,-0.32762010354541804
ACH-000168,-0.15384443398272765
ACH-000169,-0.11267520616111178
ACH-000178,-0.15483960676223565
ACH-000183,-0.18511346910751889
ACH-000188,-0.04582388746793753
ACH-000189,-0.2016750940891343
ACH-000190,0.14675069554282755
ACH-000198,-0.07064436515889402
ACH-000203,-0.031630980736243465
ACH-000204,-0.13060556632924028
ACH-000206,0.19678315981746036
ACH-000207,-0.3470465451640235
ACH-000208,0.007412456164186009
ACH-000210,-0.3562396476355573
ACH-000211,-0.07653309103410948
ACH-000215,-0.1683379639714225
ACH-000221,0.039230668773264525
ACH-000222,0.061493680011909725
ACH-000223,-0.10155475797261274
ACH-000226,0.07994602997541668
ACH-000227,-0.07720773661901485
ACH-000228,0.13115515942153366
ACH-000231,-0.05445989332836637
ACH-000232,-0.0906036720670172
ACH-000233,-0.09514347434218652
ACH-000234,-0.1025555091038194
ACH-000235,-0.1935934623343695
ACH-000237,-0.10062711791108184
ACH-000238,-0.09272517647632272
ACH-000242,0.018910687804034515
ACH-000243,0.017679331704433414
ACH-000244,0.12601483763082708
ACH-000246,-0.2037045156386932
ACH-000248,-0.14107040818315858
ACH-000250,-0.09642534730784576
ACH-000251,-0.16504316261925658
ACH-000252,-0.007487912674313978
ACH-000253,-0.10837514598338888
ACH-000255,0.01949453881836069
ACH-000256,-0.09253099546824443
ACH-000257,-0.12361917910658428
ACH-000258,-0.17018017762900364
ACH-000259,-0.16183744281326795
ACH-000260,-0.06349125226828398
ACH-000261,-0.21714091698104274
ACH-000262,0.08096477680741718
ACH-000263,-0.3723989282699516
ACH-000264,0.009145024566199374
ACH-000265,-0.06491629726132121
ACH-000266,-0.15986997894459434
ACH-000272,-0.15924281002983987
ACH-000274,-0.1355299812076902
ACH-000277,-0.21586624450014366
ACH-000278,-0.07048484240832299
ACH-000279,-0.2109338072202523
ACH-000280,-0.08259272590555346
ACH-000281,-0.4314404357472308
ACH-000288,-0.1042614681240319
ACH-000291,-0.1394471402600905
ACH-000293,0.02490779088613195
ACH-000294,-0.09294892380955604
ACH-000295,-0.30789364640718725
ACH-000296,-0.0559902267323296
ACH-000302,-0.1681502651160279
ACH-000304,-0.24955869184479484
ACH-000307,-0.3394337441967943
ACH-000308,-0.07266666157583777
ACH-000310,-0.1973673233368311
ACH-000311,-0.28592021669596485
ACH-000312,-0.18062033385269355
ACH-000315,-0.06256348821092779
ACH-000316,-0.1516889394989438
ACH-000317,-0.009126717906624324
ACH-000318,-0.18134578665764536
ACH-000319,-0.2472714352469659
ACH-000320,0.046369435777038406
ACH-000322,0.044912658971320435
ACH-000323,-0.20302026840781556
ACH-000324,-0.17053018199413086
ACH-000329,-0.2076650818483681
ACH-000330,-0.3015432992704574
ACH-000331,-0.026986156805509073
ACH-000332,-0.16997347128140092
ACH-000334,-0.14914342148423113
ACH-000335,0.042784132456431014
ACH-000336,-0.4548670493598548
ACH-000337,-0.16798468177648107
ACH-000338,-0.036050579094406336
ACH-000339,-0.13163158576248427
ACH-000341,-0.2150579775587799
ACH-000348,-0.08495158263336018
ACH-000350,-0.1970102496267417
ACH-000352,-0.042317479559892485
ACH-000356,-0.2924292960431017
ACH-000361,-0.1151575721646485
ACH-000362,-0.10545882324669556
ACH-000363,-0.05485499971458885
ACH-000364,-0.23428065381904226
ACH-000365,-0.1756192021281815
ACH-000366,-0.22606132183955102
ACH-000368,-0.23968233902528555
ACH-000374,-0.0012907721344915454
ACH-000375,-0.15081508538896238
ACH-000376,-0.10345589057906993
ACH-000381,-0.32993526133283657
ACH-000383,-0.17306492280552166
ACH-000387,-0.2159434776257937
ACH-000389,-0.2756159948700736
ACH-000390,-0.03632160021061258
ACH-000393,-0.2738294317751891
ACH-000395,-0.09255711867454894
ACH-000396,0.16756846206941675
ACH-000397,-0.2633535037917059
ACH-000401,0.047708756744297705
ACH-000402,-0.2609968985673245
ACH-000403,-0.19344600089995165
ACH-000404,0.0682333550832553
ACH-000406,-0.0958901005842219
ACH-000407,0.05584913654118979
ACH-000408,-0.22234735506000186
ACH-000410,-0.021840269664185254
ACH-000411,-0.12958787533518376
ACH-000414,-0.06052968093110104
ACH-000415,-0.02305393353574478
ACH-000416,-0.0658079303201995
ACH-000420,-0.3167868963044061
ACH-000421,-0.16174399791988114
ACH-000424,-0.024184469564387003
ACH-000425,-0.24128370847088665
ACH-000426,-0.1024611470904253
ACH-000427,-0.16776688430569445
ACH-000433,-0.11505238767681625
ACH-000435,0.2612838279579233
ACH-000436,-0.1325637381629222
ACH-000444,0.04779158746397987
ACH-000445,-0.10389234277223383
ACH-000448,-0.030547080895858107
ACH-000450,0.034386895900355416
ACH-000452,-0.16120655036626236
ACH-000454,-0.007433691021953336
ACH-000458,0.011995401126262649
ACH-000459,-0.12201288915872675
ACH-000460,-0.1448752926701676
ACH-000461,-0.1406462417059928
ACH-000463,-0.16268170483634195
ACH-000464,-0.06916659960832873
ACH-000466,-0.2595407794742429
ACH-000467,-0.1956540508362676
ACH-000468,-0.18814335741402533
