,ZEB1 (6935)
ACH-000004,-0.11283185905671295
ACH-000005,-0.3617172034016924
ACH-000007,0.10945557271664816
ACH-000009,-0.0007136969346256229
ACH-000011,0.26439471683805504
ACH-000012,-0.2178733310507843
ACH-000013,-0.08893495385179692
ACH-000014,-0.07357813078278119
ACH-000015,0.11873489552828352
ACH-000017,-0.045362662371571265
ACH-000018,-0.3009402272199135
ACH-000019,-0.09134248667145396
ACH-000021,-0.4223432047135765
ACH-000022,0.05915190761656969
ACH-000025,-0.6631311489241644
ACH-000028,-0.19956275753421565
ACH-000030,-0.10025407214041686
ACH-000035,-0.00801758795818771
ACH-000036,-0.2175393272978628
ACH-000037,-0.1971820523031164
ACH-000039,-0.03659076998641223
ACH-000040,-0.29340347046297244
ACH-000041,-0.0023390264714355058
ACH-000042,-0.054131978903986785
ACH-000045,0.016962776487030148
ACH-000047,-0.13261963980505814
ACH-000052,-0.14103835565584974
ACH-000053,-0.00995478559413536
ACH-000054,-0.37379797106449386
ACH-000055,-0.44697655648638335
ACH-000060,-0.24063262242676944
ACH-000067,-0.2346130511086653
ACH-000070,-0.2082636683750601
ACH-000075,-0.21594253229090665
ACH-000078,-0.04060146333889522
ACH-000082,-0.2253559131991963
ACH-000085,-0.06048297514724104
ACH-000086,-0.23242293464242406
ACH-000087,-0.1103555841630417
ACH-000092,-0.12712948508591165
ACH-000095,-0.3709534152374861
ACH-000097,0.04337238563682039
ACH-000098,-0.3597792896032547
ACH-000099,-0.06760319619201266
ACH-000108,-0.334443692836674
ACH-000113,-0.07436781517328611
ACH-000116,-0.02044023651483072
ACH-000118,-0.3488245359254333
ACH-000120,-0.25761484679026503
ACH-000123,-0.04068789593456909
ACH-000127,-0.3065931978400928
ACH-000128,-0.010943808554119468
ACH-000132,-0.20750275345965435
ACH-000133,-0.2638558737580757
ACH-000137,-0.1359696129265108
ACH-000138,-0.2252088080172477
ACH-000142,0.026109941806801932
ACH-000143,-0.014031904675939727
ACH-000146,0.11443147243714527
ACH-000148,-0.1793788815731734
ACH-000150,-0.4175264328950234
ACH-000152,-0.11201166928348498
ACH-000153,-0.17719314962755064
ACH-000159,-0.11550029165662112
