,RHBDF1 (64285)
ACH-000004,-0.1741909190228806
ACH-000005,-0.03166592294023503
ACH-000007,-0.2673332037492521
ACH-000009,-0.18141461938717654
ACH-000011,-0.2911738168905963
ACH-000012,-0.26961188229467625
ACH-000013,-0.3060743447901257
ACH-000014,-0.25604441952378343
ACH-000015,-0.31754411351020106
ACH-000017,-0.2730275095685479
ACH-000018,-0.2874737106803777
ACH-000019,-0.2660463634785063
ACH-000021,-0.2259588879934578
ACH-000022,-0.24435510968983545
ACH-000025,-0.3352678349442482
ACH-000028,-0.2808322425568359
ACH-000030,-0.1974357309925563
ACH-000035,-0.4543062162764091
ACH-000036,-0.3664351240888285
ACH-000037,-0.3909603014567025
ACH-000039,-0.16035612373153246
ACH-000040,-0.1943118635907241
ACH-000041,-0.12125887849112195
ACH-000042,-0.2985319426101849
ACH-000045,-0.32495180827853004
ACH-000047,-0.5547457183684598
ACH-000052,-0.3506431825993196
ACH-000053,-0.41520655622610586
ACH-000054,-0.2069616741538084
ACH-000055,-0.2401782057617857
ACH-000060,-0.3253741081706625
ACH-000067,-0.20427138535906592
ACH-000070,-0.4023648756091379
ACH-000075,-0.4195841791714451
ACH-000078,-0.22896332331009955
ACH-000082,-0.33612723016455226
ACH-000085,-0.17725140466007314
ACH-000086,-0.1024333721774738
ACH-000087,-0.23278399815973225
ACH-000092,-0.2017302153378008
ACH-000095,-0.2688362909173215
ACH-000097,-0.20485504329398546
ACH-000098,-0.3318404406535001
ACH-000099,-0.4074954836509753
ACH-000108,-0.31873210049818035
ACH-000113,-0.13264676277540635
ACH-000116,-0.06912082853640822
ACH-000118,-0.2265053941828124
ACH-000120,-0.29174328238004965
ACH-000123,-0.2223364252837812
ACH-000127,-0.13394252372988538
ACH-000128,-0.38468065346269215
ACH-000132,-0.2699442599199001
ACH-000133,-0.2331408929694289
ACH-000137,-0.25629994653896154
ACH-000138,-0.07494383865856713
ACH-000142,-0.4648063330963828
ACH-000143,-0.13903494151981075
ACH-000146,-0.28719160620261136
ACH-000148,-0.29910483667900684
ACH-000150,-0.1495013966672772
ACH-000152,-0.3441241684843257
ACH-000153,-0.2511837783163761
ACH-000159,-0.3099245738722323
ACH-000160,-0.12139381529830573
ACH-000163,-0.2558944997098678
ACH-000167,0.2081311603847725
ACH-000168,-0.16228497392357868
ACH-000169,-0.2057954059219705
ACH-000178,-0.2418415972495
ACH-000183,-0.1447159605511362
ACH-000188,-0.2903566834806251
ACH-000189,-0.2084771642674989
ACH-000190,-0.24570617441321574
ACH-000198,-0.1722791521574516
ACH-000203,0.1366687177053766
ACH-000204,-0.3025461912197229
ACH-000206,-0.09416325642781076
ACH-000207,-0.29605268384924616
ACH-000208,0.005817447811598711
ACH-000210,-0.016859849721160985
ACH-000211,-0.12296975183979207
ACH-000215,-0.2658834949102689
ACH-000221,-0.22529262672020806
ACH-000222,-0.11419628563852602
ACH-000223,-0.2021744246496621
ACH-000226,-0.20438013952076728
ACH-000227,-0.3451997659539145
ACH-000228,-0.23120311086861356
ACH-000231,-0.253080772649108
ACH-000232,-0.09684138321612623
ACH-000233,-0.21548467830967688
ACH-000234,-0.21475691174567385
ACH-000235,-0.22517115133425056
ACH-000237,-0.30844251871792217
ACH-000238,-0.2707978093112859
ACH-000242,-0.013225017129503979
ACH-000243,-0.0667188759705349
ACH-000244,-0.3431520253300297
ACH-000246,-0.21792810450115427
ACH-000248,-0.12368308115094225
ACH-000250,-0.34277993801973106
ACH-000251,-0.08454877219696523
ACH-000252,-0.2661340672604297
ACH-000253,-0.1973280466766664
ACH-000255,-0.09755484465429462
ACH-000256,-0.35090223098972056
ACH-000257,-0.15211560045209233
ACH-000258,0.13556413935353628
ACH-000259,-0.1097711587324068
ACH-000260,-0.2726881805167989
ACH-000261,-0.29554784087107994
ACH-000262,-0.4041529510095024
ACH-000263,-0.3445458583194257
ACH-000264,-0.2579412864597832
ACH-000265,-0.18491447191429175
ACH-000266,-0.24138517244947255
ACH-000272,-0.2761848325975333
ACH-000274,-0.3375052093809316
ACH-000277,-0.26308760947275744
ACH-000278,-0.2294475772637645
ACH-000279,-0.1558418994997905
ACH-000280,-0.3853492330524334
ACH-000281,-0.1270488271080956
ACH-000288,-0.3434508518727808
ACH-000291,-0.239773693852156
ACH-000293,-0.1010295357379858
ACH-000294,-0.3037373871933055
ACH-000295,-0.6291580274166887
ACH-000296,-0.3359879669891625
ACH-000302,-0.2106590968818033
ACH-000304,-0.14556970113778256
ACH-000307,-0.2074405663382533
ACH-000308,-0.31396275840112603
ACH-000310,-0.15474851378683552
ACH-000311,-0.19212306716749786
ACH-000312,-0.12806300318867375
ACH-000315,-0.058402548681372526
ACH-000316,-0.3433639433443731
ACH-000317,-0.14390093096865395
ACH-000318,-0.2409220542507165
ACH-000319,-0.3629050303956646
ACH-000320,-0.4113662125825245
ACH-000322,-0.5475546052762206
ACH-000323,-0.05595143024563039
ACH-000324,-0.22012195549092012
ACH-000329,-0.2625039546521255
ACH-000330,-0.35963288484558764
ACH-000331,-0.17397363365862745
ACH-000332,-0.19950095078469596
ACH-000334,-0.2857220106053045
ACH-000335,-0.32793878316153696
ACH-000336,-0.14744062229131485
ACH-000337,-0.17950865552334905
ACH-000338,-0.2184154345389034
ACH-000339,-0.20539033789627656
ACH-000341,-0.2321206936717828
ACH-000348,-0.33360193273484123
ACH-000350,-0.3198589504200577
ACH-000352,-0.2941434187488185
ACH-000356,-0.37741603116167816
ACH-000361,-0.13792994550834362
ACH-000362,-0.2939175292709295
ACH-000363,-0.3349190823890266
ACH-000364,-0.08609333592638661
ACH-000365,-0.20936955053693126
ACH-000366,-0.31823052709794064
ACH-000368,-0.3355918855381561
ACH-000374,-0.20180467431923169
ACH-000375,-0.2618834572762986
ACH-000376,-0.14959084016345825
ACH-000381,-0.353239770962022
ACH-000383,-0.20000581138187126
ACH-000387,-0.2110078014720436
ACH-000389,-0.2346101989746739
ACH-000390,-0.2410068963187783
ACH-000393,-0.29325563471168703
ACH-000395,-0.19268742598851885
ACH-000396,-0.012843356720921434
ACH-000397,-0.2392545883810153
ACH-000401,-0.4584978110087503
ACH-000402,-0.21684210647182384
ACH-000403,-0.32568283693581324
ACH-000404,-0.1839652743624362
ACH-000406,-0.21061978140542584
ACH-000407,-0.16082230767725852
ACH-000408,-0.39214600694023705
ACH-000410,-0.2285709196550146
ACH-000411,-0.24151516816081356
ACH-000414,-0.34903815163862795
ACH-000415,-0.3394961229448229
ACH-000416,-0.3189942606518243
ACH-000420,-0.4191999732248367
ACH-000421,-0.3063700358587834
ACH-000424,-0.3809629024068826
ACH-000425,-0.16130076670485344
ACH-000426,-0.038944709327644815
ACH-000427,-0.29859943738859684
ACH-000433,-0.3744510328500573
ACH-000435,-0.2363254485158175
ACH-000436,-0.1810409337977004
ACH-000444,-0.31299971161719337
ACH-000445,-0.08176495877671436
ACH-000448,-0.18501694250054573
ACH-000450,-0.3078626603607837
ACH-000452,-0.2335040121334155
ACH-000454,-0.17156542525326304
ACH-000458,-0.26863618577021464
ACH-000459,-0.3887257473267632
ACH-000460,-0.34831121693590816
ACH-000461,-0.1851596224582627
ACH-000463,-0.2927317838840424
ACH-000464,-0.17215769716387527
ACH-000466,-0.20786003019155114
ACH-000467,-0.27379736190832793
ACH-000468,-0.30025503785663593
ACH-000469,-0.26970580889476925
ACH-000470,-0.2548543766272012
ACH-000471,-0.2544443074115745
ACH-000472,-0.1796623502709894
ACH-000473,-0.2564941681986697
ACH-000475,-0.22644072344231114
ACH-000476,-0.22425672170597946
ACH-000477,-0.3745593398002432
ACH-000479,-0.14243295382016766
ACH-000480,-0.14063653191799652
ACH-000481,-0.2745866735016045
ACH-000483,-0.1666512976710106
ACH-000484,-0.3003111796458455
ACH-000485,-0.20242406705623806
ACH-000486,-0.2402266488407564
ACH-000487,-0.23074097293762394
ACH-000488,-0.3485044941721948
ACH-000490,-0.33444377665418995
ACH-000491,-0.1274913814123176
ACH-000495,-0.2162153208661031
ACH-000496,-0.3774959985376664
ACH-000499,-0.3914531618663251
ACH-000500,-0.7371227992539012
ACH-000502,-0.3977724969768103
ACH-000503,-0.09476002500682244
ACH-000505,-0.25429865036704397
ACH-000507,-0.16479045418475385
ACH-000510,-0.2792225473595139
ACH-000511,-0.23329631914284865
ACH-000512,-0.1945485857515
ACH-000516,-0.23782751164976895
ACH-000517,-0.33434484839524964
ACH-000518,-0.3522631212062524
ACH-000520,-0.2526711844291115
