,TSNAX (7257)
ACH-000004,0.05556389374017245
ACH-000005,0.17611855487724215
ACH-000007,-0.085937527834051
ACH-000009,-0.03622660133338932
ACH-000011,-0.06580304548616718
ACH-000012,0.11289342135737795
ACH-000013,-0.13001604264643066
ACH-000014,-0.11102292670524876
ACH-000015,0.05720127543902988
ACH-000017,0.03149692457643512
ACH-000018,-0.224708475187032
ACH-000019,-0.16672035935954602
ACH-000021,-0.0663975025236077
ACH-000022,-0.06971140170003276
ACH-000025,-0.2353777435135572
ACH-000028,-0.0007266664434834605
ACH-000030,-0.07658080154932513
ACH-000035,0.09100497379974427
ACH-000036,-0.17186849046253902
ACH-000037,-0.08620729491037456
ACH-000039,-0.1330853496869689
ACH-000040,-0.07284411540125267
ACH-000041,-0.08829298984584479
ACH-000042,0.0005155453076473086
ACH-000045,-0.0863577583747034
ACH-000047,-0.0322991954219548
ACH-000052,-0.12572463685384308
ACH-000053,-0.02237081864526964
ACH-000054,-0.04994266117498244
ACH-000055,0.008352189705865069
ACH-000060,-0.0926640148265945
ACH-000067,0.022364361950379916
ACH-000070,-0.04856029321329787
ACH-000075,-0.009007982558349179
ACH-000078,-0.13308380078740992
ACH-000082,-0.10977604601999744
ACH-000085,-0.18007406407935198
ACH-000086,-0.13392622839152238
ACH-000087,0.06344178720660039
ACH-000092,-0.06826509423698028
ACH-000095,-0.04549848349937717
ACH-000097,-0.06993600879954824
ACH-000098,-0.15679110567122848
ACH-000099,-0.026241376652638943
ACH-000108,-0.020755566003466588
ACH-000113,-0.09919613346372844
ACH-000116,0.054921443799415985
ACH-000118,0.07659731860979012
ACH-000120,-0.2609818077531766
ACH-000123,0.07977585830231414
ACH-000127,-0.018750319848781772
ACH-000128,-0.047219604296165535
ACH-000132,0.04076571829973534
ACH-000133,0.05428870905750362
ACH-000137,-0.055999640182495834
ACH-000138,0.020747454986220458
ACH-000142,-0.1286944375991184
ACH-000143,0.1762170678067264
ACH-000146,-0.06063984346413991
ACH-000148,-0.05947180546482541
ACH-000150,0.07419852686728734
ACH-000152,-0.05083484729498538
ACH-000153,0.29541287679493555
ACH-000159,-0.04258798263475207
ACH-000160,-0.01213249781595941
ACH-000163,-0.06027017331999991
ACH-000167,-0.1378779335924733
ACH-000168,-0.032541658514877614
ACH-000169,0.13942207914002938
ACH-000178,0.07089073680109492
ACH-000183,-0.12873617574413354
ACH-000188,0.052986512647536725
ACH-000189,-0.07975813778005883
ACH-000190,-0.1540334384069497
ACH-000198,-0.2100089204482476
ACH-000203,0.22142933215757785
ACH-000204,-0.2351190639724053
ACH-000206,-0.16839186568538314
ACH-000207,-0.0054538148142150075
ACH-000208,-0.12458975944352398
ACH-000210,0.13455751171758948
ACH-000211,-0.09349378207916743
ACH-000215,-0.07725490259896585
ACH-000221,0.006054890203687164
ACH-000222,0.022457345077300867
ACH-000223,-0.07589958978205312
ACH-000226,-0.12482655789862288
ACH-000227,-0.010060956540931521
ACH-000228,-0.10667874691991053
ACH-000231,-0.10468680329882936
ACH-000232,-0.0678295389401207
ACH-000233,-0.06450740026276364
ACH-000234,-0.08131019443122256
ACH-000235,-0.08616399162419475
ACH-000237,-0.016918840443599373
ACH-000238,-0.0004184871653687209
ACH-000242,0.03967087406650655
ACH-000243,-0.024572092537163585
ACH-000244,-0.1833350394328096
ACH-000246,-0.054991337744626966
ACH-000248,0.002926011851782435
ACH-000250,-0.024252776716867732
ACH-000251,0.10850355907029154
ACH-000252,-0.07803356762716003
ACH-000253,-0.13770840425321773
ACH-000255,-0.07305574008862456
ACH-000256,-0.016618619768910648
ACH-000257,-0.207758171084974
ACH-000258,-0.11822294708896805
ACH-000259,-0.15110190809641488
ACH-000260,-0.13077633870672015
ACH-000261,-0.1139154896559468
ACH-000262,-0.0522009339046785
ACH-000263,-0.052751083979577486
ACH-000264,-0.08365454297949126
ACH-000265,0.06189393865741676
ACH-000266,-0.050073820761197436
ACH-000272,-0.24554097622318616
ACH-000274,-0.11395010935837553
ACH-000277,-0.15566564704242766
ACH-000278,-0.08589829423598801
ACH-000279,0.014347501710128953
ACH-000280,-0.12477081242959487
ACH-000281,-0.04518703664384772
ACH-000288,0.007585897011241344
ACH-000291,-0.072548609915321
ACH-000293,-0.0879843846808667
ACH-000294,-0.05831685247584348
ACH-000295,-0.056875118053469585
ACH-000296,-0.07443395586452448
ACH-000302,-0.1621982855067997
ACH-000304,-0.14043207710962655
ACH-000307,-0.041318392762368594
ACH-000308,-0.07989871082572206
ACH-000310,-0.1913897793219093
ACH-000311,-0.13714751448687926
ACH-000312,-0.01607356859627209
ACH-000315,0.23608619003611686
ACH-000316,-0.04447415025716446
ACH-000317,-0.18741126618284348
ACH-000318,-0.19130528120878426
ACH-000319,0.07144661614466663
ACH-000320,0.032603692303531835
ACH-000322,0.040375134490125975
ACH-000323,0.02503959002312104
ACH-000324,-0.0857682701573208
ACH-000329,-0.11881659078614895
ACH-000330,-0.15128320099014905
ACH-000331,-0.14936321028264232
ACH-000332,-0.09445036089231536
ACH-000334,-0.012573920703917295
ACH-000335,-0.01843534501349092
ACH-000336,-0.2536644288127145
ACH-000337,-0.05535103759935038
ACH-000338,-0.3387593351589491
ACH-000339,-0.0013197057897637696
ACH-000341,-0.0214113885216955
ACH-000348,-0.10967802535282263
ACH-000350,-0.12039621499806005
ACH-000352,-0.063980794465061
ACH-000356,-0.09521119485585644
ACH-000361,-0.01728731309806647
ACH-000362,-0.19543198782644888
ACH-000363,-0.05977433131402544
ACH-000364,0.07021667406498268
ACH-000365,-0.016439737053930856
ACH-000366,0.06526005710329047
ACH-000368,-0.07310788269146379
ACH-000374,-0.08366945166125289
ACH-000375,0.01053889392931125
ACH-000376,-0.020218261170380624
