,MORN4 (118812)
ACH-000004,-0.1511256625861246
ACH-000005,-0.05287215438250225
ACH-000007,-0.2616973787579269
ACH-000009,-0.16032001155856968
ACH-000011,-0.01556684443273017
ACH-000012,-0.12705348710913758
ACH-000013,0.0029434458385260032
ACH-000014,-0.06752164902691167
ACH-000015,0.022004807397482087
ACH-000017,0.002493367264928533
ACH-000018,-0.1731900966183434
ACH-000019,-0.18158029894359576
ACH-000021,0.009724486933973715
ACH-000022,-0.08209525969393641
ACH-000025,-0.3830938698947476
ACH-000028,-0.1553315789284956
ACH-000030,-0.09093961528708346
ACH-000035,0.02252269877401655
ACH-000036,-0.17662159770411745
ACH-000037,-0.218125606297134
ACH-000039,0.0216689371809884
ACH-000040,-0.09979460842666188
ACH-000041,-0.11859571617696793
ACH-000042,-0.05683829035816108
ACH-000045,-0.2744869944329378
ACH-000047,0.10812592788523638
ACH-000052,0.04277406927150594
ACH-000053,-0.110343567380905
ACH-000054,-0.029070298618703774
ACH-000055,-0.2834151203282949
ACH-000060,-0.04179757043797413
ACH-000067,-0.1584513622935984
ACH-000070,0.01498768681583038
ACH-000075,0.048740669443289315
ACH-000078,-0.007652952507648981
ACH-000082,-0.0040253487956345676
ACH-000085,0.03214386600945287
ACH-000086,-0.03287975391856878
ACH-000087,-0.09964242823019888
ACH-000092,-0.028797211032852217
ACH-000095,-0.08531158982566396
ACH-000097,-0.04332774231383911
ACH-000098,-0.225930159322578
ACH-000099,-0.1557377383124388
ACH-000108,-0.17421140572228033
ACH-000113,-0.06533320324488891
ACH-000116,-0.09593225221844733
ACH-000118,-0.0537956812401727
ACH-000120,-0.2349198765109952
ACH-000123,-0.11546308094723047
ACH-000127,-0.2000236078936947
ACH-000128,-0.2218260796124792
ACH-000132,-0.06401639275525725
ACH-000133,-0.04167500341424573
ACH-000137,-0.23508640079340265
ACH-000138,-0.10130032457227893
ACH-000142,-0.021198126863002667
ACH-000143,0.11906530652383432
ACH-000146,-0.14967227555268908
ACH-000148,-0.19638134679002228
ACH-000150,-0.03335488076587867
ACH-000152,-0.16051071007412224
ACH-000153,0.003178995105225215
ACH-000159,-0.04168304193899914
ACH-000160,-0.07629424439634479
ACH-000163,-0.12294501347185945
ACH-000167,-0.1623733366760404
ACH-000168,-0.2793523524295245
ACH-000169,-0.2466091611061194
ACH-000178,-0.10900898321437727
ACH-000183,-0.11311237779697618
ACH-000188,-0.05447114754228763
ACH-000189,-0.10524823265957158
ACH-000190,-0.06291407131232175
ACH-000198,-0.14593101547150186
ACH-000203,-0.13511579643681942
ACH-000204,0.04292149732979382
ACH-000206,0.1101306593288438
ACH-000207,-0.24410148090608866
ACH-000208,-0.028834076908880107
ACH-000210,0.010049828546607695
ACH-000211,-0.11459892149096478
ACH-000215,-0.0064995398316112386
ACH-000221,0.01380699616441294
ACH-000222,8.508000808263316e-05
ACH-000223,-0.08890565422252028
ACH-000226,-0.1330985117925929
ACH-000227,-0.1096210196604108
ACH-000228,-0.043496764394322665
ACH-000231,-0.08735373789213485
ACH-000232,-0.08593365469521946
ACH-000233,-0.3128772395205963
ACH-000234,-0.10350413179981384
ACH-000235,-0.16255727878207935
ACH-000237,0.011160060413196634
ACH-000238,-0.04902444634319601
ACH-000242,-0.1660177763303478
ACH-000243,-0.0689005553017551
ACH-000244,-0.1078830298033775
ACH-000246,-0.11204884266345773
ACH-000248,-0.03411653909175566
ACH-000250,-0.08584824577696623
ACH-000251,-0.09593460520731577
ACH-000252,-0.2402475397191769
ACH-000253,-0.20321333963093746
ACH-000255,-0.12448964227729985
ACH-000256,-0.1500780092331575
ACH-000257,-0.10562182481748356
ACH-000258,-0.18801719315782853
ACH-000259,-0.03189619308791837
ACH-000260,-0.14249119486834289
ACH-000261,-0.002025251033316223
ACH-000262,-0.047744360725461024
ACH-000263,-0.02893303647789632
ACH-000264,-0.2451728705533855
ACH-000265,-0.04722363973321034
ACH-000266,-0.01938764753016184
ACH-000272,-0.0792243305867947
ACH-000274,-0.049802893691730604
ACH-000277,-0.09959868438467133
ACH-000278,-0.07359749220177314
ACH-000279,-0.1482816439583987
ACH-000280,-0.22272893808730745
ACH-000281,-0.18576026377902244
ACH-000288,-0.1218038891635833
ACH-000291,-0.10487520462797027
ACH-000293,-0.2476280527407389
ACH-000294,-0.2821600659575709
ACH-000295,-0.06359249431224559
ACH-000296,0.019306210667355328
ACH-000302,-0.08942056531325783
ACH-000304,0.11937147940564655
ACH-000307,-0.17481677523409975
ACH-000308,-0.11416521994704727
ACH-000310,-0.037563664863986906
ACH-000311,-0.0641935525357767
ACH-000312,-0.05741784267820404
