,PSMG1 (8624)
ACH-000004,-0.8549322903155974
ACH-000005,-0.8854253840743249
ACH-000007,-0.6536500328061329
ACH-000009,-0.8478927290383761
ACH-000011,-0.8303180584621286
ACH-000012,-0.4455719025562119
ACH-000013,-0.6158177990660841
ACH-000014,-0.5510707462904184
ACH-000015,-0.6921794683190052
ACH-000017,-0.3455589067852011
ACH-000018,-0.88989002914324
ACH-000019,-0.4628678820419306
ACH-000021,-0.7218947275133557
ACH-000022,-1.116157586783365
ACH-000025,-0.8915987291826556
ACH-000028,-0.7312668739355582
ACH-000030,-0.5014365686797885
ACH-000035,-0.4904759374448139
ACH-000036,-0.6885925293455022
ACH-000037,-0.29435111303632183
ACH-000039,-0.3213849047237794
ACH-000040,-0.8312828076549877
ACH-000041,-0.2431321655176464
ACH-000042,-0.9223529420206514
ACH-000045,-0.6995704236222209
ACH-000047,-0.11421994289414568
ACH-000052,-0.5746176089671751
ACH-000053,-0.6336470758043438
ACH-000054,-0.7557722884736446
ACH-000055,-1.0245303249469524
ACH-000060,-1.0917541259675467
ACH-000067,-0.802964521696108
ACH-000070,-0.7354928536778402
ACH-000075,-1.054809418738336
ACH-000078,-0.346721303088096
ACH-000082,-0.9315172170684201
ACH-000085,-0.6535100348514437
ACH-000086,-0.11464844042189362
ACH-000087,-0.6378853831010113
ACH-000092,-0.4506101053096833
ACH-000095,-0.6919657149437218
ACH-000097,-0.6565156932734278
ACH-000098,-0.36642495139662107
ACH-000099,-0.6028784312895241
ACH-000108,-0.23973996218066984
ACH-000113,-0.5826082732444133
ACH-000116,-1.09494942213068
ACH-000118,-1.0131412133280926
ACH-000120,-0.9263116307803542
ACH-000123,-0.5173451952109258
ACH-000127,-0.9693329511779388
ACH-000128,-0.7724736140915544
ACH-000132,-0.2892141939418278
ACH-000133,-0.6229075419281049
ACH-000137,-0.8415836744487597
ACH-000138,-1.0351681681902956
ACH-000142,-0.7765435080396086
ACH-000143,-1.0585500775722094
ACH-000146,-1.036550823623003
ACH-000148,-0.5676342449993323
ACH-000150,-0.6055978543978966
ACH-000152,-0.4380463285618781
ACH-000153,-1.5963319973698369
ACH-000159,-0.3022760718082342
ACH-000160,-1.179633889892454
ACH-000163,-0.4916865023051982
ACH-000167,-0.966734988830125
ACH-000168,-1.009845817555172
ACH-000169,-0.9131647447645478
ACH-000178,-0.4095073855042829
ACH-000183,-0.2316975314564781
ACH-000188,-0.5092773552146259
ACH-000189,-0.09825381115976307
ACH-000190,-0.7153689482711373
ACH-000198,-0.7616246153134172
ACH-000203,-0.4360115774155873
ACH-000204,-0.5461105280132162
ACH-000206,-0.8549287848797628
ACH-000207,-0.8001052952792278
ACH-000208,-1.2564654106940016
ACH-000210,-0.43192043764899796
ACH-000211,-0.8848159649787777
ACH-000215,-0.3697702776670944
ACH-000221,-0.6537783022073363
ACH-000222,-0.2690596101013225
ACH-000223,-0.6636172198400585
ACH-000226,-0.7515286574810257
ACH-000227,-0.34473825838960226
ACH-000228,-0.545659767654883
ACH-000231,-0.6020224300111252
ACH-000232,-0.9183952005467728
ACH-000233,-0.6819689680284753
ACH-000234,-0.3056541177765956
ACH-000235,-0.9266397545183284
ACH-000237,-1.0854357748996333
ACH-000238,-0.7304453758256527
ACH-000242,-0.34924055558197314
ACH-000243,-0.615442776757082
ACH-000244,-0.6024238511621429
ACH-000246,-0.7211201131073753
ACH-000248,-1.0950022186331976
ACH-000250,-0.5757190393979282
ACH-000251,-0.8706931702165981
ACH-000252,-0.7212265367020481
