,MFRP (83552)
ACH-000004,-0.11567423131711795
ACH-000005,0.008958718514918557
ACH-000007,0.09675953666705817
ACH-000009,-0.05646624999297153
ACH-000011,0.007933649025782795
ACH-000012,0.033261880976192267
ACH-000013,0.009060366086551057
ACH-000014,-0.0521077435873596
ACH-000015,0.076640588213162
ACH-000017,-0.08754199145985908
ACH-000018,0.0036661894882214947
ACH-000019,0.08431696275831949
ACH-000021,0.0642494556935417
ACH-000022,-0.12025300809719708
ACH-000025,0.046489012540596966
ACH-000028,-0.0029232465470721536
ACH-000030,0.051779420565076416
ACH-000035,-0.0009755643847541908
ACH-000036,-0.0007644400796341876
ACH-000037,0.0014402982772847225
ACH-000039,0.04572805690637684
ACH-000040,-0.017093702358037016
ACH-000041,-0.08778146375480186
ACH-000042,0.04918221072158497
ACH-000045,-0.06322641676973761
ACH-000047,0.02431038243477666
ACH-000052,-0.12573386189288854
ACH-000053,0.03065510409992927
ACH-000054,0.004599972573372648
ACH-000055,0.14936361987888944
ACH-000060,0.05458070172770528
ACH-000067,0.0013148835569174592
ACH-000070,-0.004759244511640193
ACH-000075,-0.049870592708341585
ACH-000078,0.0730359070199706
ACH-000082,0.0629313998377789
ACH-000085,-0.02922517312802932
ACH-000086,0.08929564855912178
ACH-000087,-0.12772839369885847
ACH-000092,0.04061427594216882
ACH-000095,-0.003491513688398143
ACH-000097,-0.00013654885734372242
ACH-000098,-0.04884901410673032
ACH-000099,-0.021495155230128158
ACH-000108,-0.01798100788045224
ACH-000113,0.005427753497051158
ACH-000116,-0.0665216121382552
ACH-000118,-0.0412694542017777
ACH-000120,0.1588258104194749
ACH-000123,0.03384685007408832
ACH-000127,-0.057683901610943965
ACH-000128,0.11198094731128012
ACH-000132,0.04569607222076711
ACH-000133,0.08995583475574183
ACH-000137,-0.05671537400665525
ACH-000138,-0.07555736838286371
ACH-000142,-0.030786776149803238
ACH-000143,-0.03985072009786746
ACH-000146,-0.04597556335722632
ACH-000148,0.03604822291262556
ACH-000150,0.02785068869086921
ACH-000152,-0.07759367357101057
ACH-000153,0.09667763757378364
ACH-000159,0.0330370958971782
ACH-000160,0.02892702385564015
ACH-000163,0.02420533526096353
ACH-000167,0.18122649250454334
ACH-000168,0.08385583463737356
ACH-000169,0.19690947740497355
ACH-000178,0.04562939773324596
ACH-000183,0.0023411977440652588
ACH-000188,-0.11062868050873116
ACH-000189,0.22437266111125215
ACH-000190,-0.02687832597199032
ACH-000198,0.042202209671985166
ACH-000203,-0.2818132565113931
ACH-000204,0.08504055371823667
ACH-000206,-0.16858642215314756
ACH-000207,0.11065320153123087
ACH-000208,-0.21416281524406944
ACH-000210,0.11135359681780256
ACH-000211,0.10301159982796393
ACH-000215,0.02168624985739017
ACH-000221,0.18603846469367444
ACH-000222,-0.09279495303661013
ACH-000223,0.09734818564890968
ACH-000226,0.06800278363786742
ACH-000227,-0.0027570653728949193
ACH-000228,0.07748159714646778
ACH-000231,0.013237600322012742
ACH-000232,0.03778233809088876
ACH-000233,-0.0956404510400993
ACH-000234,0.08840427450358046
ACH-000235,-0.015451935198908303
ACH-000237,0.039903554398454034
ACH-000238,0.08990638473233731
ACH-000242,0.2198718973686262
ACH-000243,-0.01100738698994678
ACH-000244,-0.10545988707644656
ACH-000246,0.055226646404832026
ACH-000248,0.07733222833744348
ACH-000250,-0.06418552294026239
ACH-000251,-0.23144765914534365
ACH-000252,-0.10738628168552987
ACH-000253,0.138483302298788
ACH-000255,0.03666171736337421
ACH-000256,-0.12054319281231705
ACH-000257,-0.1002195234717737
ACH-000258,-0.01674700533192865
