,OR5AP2 (338675)
ACH-000004,0.18262870931949224
ACH-000005,0.30936217125269755
ACH-000007,-0.07659662542986975
ACH-000009,0.2603558901629958
ACH-000011,0.2426891654900156
ACH-000012,0.2686106633238983
ACH-000013,0.2536326461026126
ACH-000014,0.3154331711642186
ACH-000015,0.288722766294664
ACH-000017,0.2763110058881151
ACH-000018,0.4177939954811083
ACH-000019,0.28631889436573443
ACH-000021,0.2332458916590634
ACH-000022,0.2961044229964693
ACH-000025,0.1798368291364584
ACH-000028,0.15552351143059162
ACH-000030,0.2639310789173105
ACH-000035,0.1960825607298106
ACH-000036,0.2524274417854513
ACH-000037,0.2156971979578363
ACH-000039,0.3170128077701305
ACH-000040,0.17826231589774588
ACH-000041,0.4492506121469144
ACH-000042,0.16414597037208864
ACH-000045,0.21182945680809853
ACH-000047,0.2407655376560988
ACH-000052,0.24738167882114825
ACH-000053,0.21512561528772545
ACH-000054,0.1768537812042162
ACH-000055,0.17384806095856234
ACH-000060,0.217999945547532
ACH-000067,0.3420257749609186
ACH-000070,0.1574255172571385
ACH-000075,0.02586827697227411
ACH-000078,0.3170280996153985
ACH-000082,0.1909142989068597
ACH-000085,0.2793053234124466
ACH-000086,0.15881674115304895
ACH-000087,0.21841331506423406
ACH-000092,0.21544153081274464
ACH-000095,0.15719298975103238
ACH-000097,0.13301132466237844
ACH-000098,0.2308862397732256
ACH-000099,0.22499889317470606
ACH-000108,0.22128280216371185
ACH-000113,0.12974749546627198
ACH-000116,0.16779515943407194
ACH-000118,0.1413204736861186
ACH-000120,0.1881911901674958
ACH-000123,0.161119898910985
ACH-000127,0.1817739452974534
ACH-000128,0.20604966630829868
ACH-000132,0.07283912096759762
ACH-000133,0.12055667759416028
ACH-000137,0.2954646381267668
ACH-000138,0.20187709089938105
ACH-000142,0.1551199414777587
ACH-000143,0.16364451780967354
ACH-000146,0.26130790247195884
ACH-000148,0.17627008578553469
ACH-000150,0.19566043078146075
ACH-000152,0.14333622177662486
