,RNPEP (6051)
ACH-000004,-0.0069278757833767905
ACH-000005,-0.23613712181714885
ACH-000007,-0.003956385226893646
ACH-000009,-0.15545206391907654
ACH-000011,-0.2097493088047585
ACH-000012,-0.06022851854061866
ACH-000013,0.013611871447689996
ACH-000014,-0.10675283745390232
ACH-000015,0.03157626753477931
ACH-000017,-0.16941244824541776
ACH-000018,-0.22510555761707368
ACH-000019,0.057398135942649225
ACH-000021,-0.10969880726369136
ACH-000022,-0.11741923821431448
ACH-000025,-0.1487699245253765
ACH-000028,-0.06893417744200522
ACH-000030,0.01864630078205496
ACH-000035,0.10024320107490912
ACH-000036,-0.21719429614823452
ACH-000037,-0.10356605553413488
ACH-000039,0.07956253500624143
ACH-000040,-0.15703323057594865
ACH-000041,-0.08683083593341426
ACH-000042,-0.05175807014287892
ACH-000045,-0.00028493495495109485
ACH-000047,-0.012965729301450915
ACH-000052,0.011427663300041907
ACH-000053,-0.08970932451190759
ACH-000054,-0.1935865333209628
ACH-000055,-0.14785612487640262
ACH-000060,-0.004731626288223519
ACH-000067,0.003960833825840135
ACH-000070,-0.19141778136915896
ACH-000075,-0.15076953562617726
ACH-000078,-0.14029655254913945
ACH-000082,-0.03862357565685988
ACH-000085,-0.21264934392090368
ACH-000086,-0.2433921799232417
ACH-000087,0.09527385751655901
ACH-000092,-0.23313426615880625
ACH-000095,-0.11292027174262485
ACH-000097,-0.11096849922599802
ACH-000098,-0.17396536171610946
ACH-000099,-0.17774682418385754
ACH-000108,-0.048935529067537314
ACH-000113,-0.18862478876455155
ACH-000116,-0.16302475308377604
ACH-000118,-0.04074470201166448
ACH-000120,-0.23513750771335315
ACH-000123,-0.09365019836194677
ACH-000127,-0.0073639202962067895
ACH-000128,0.09494689080463707
ACH-000132,-0.2456441602277368
ACH-000133,-0.10866604410989568
ACH-000137,-0.1523981114533096
ACH-000138,-0.12214061074722975
ACH-000142,-0.1818990116304504
ACH-000143,-0.14982661107572778
ACH-000146,-0.1082574436224348
ACH-000148,-0.22673481477656576
ACH-000150,-0.21653075368778307
ACH-000152,-0.0005787032117485637
ACH-000153,-0.14952888752926613
ACH-000159,-0.15353773803453746
ACH-000160,-0.04642471882191186
ACH-000163,-0.1889251091962883
ACH-000167,0.21366205594382595
ACH-000168,-0.24466592968809156
ACH-000169,-0.12366576187958768
ACH-000178,-0.03607866444448652
ACH-000183,-0.09104869699990352
