,AARSD1 (80755)
ACH-000004,-0.1217779779320072
ACH-000005,-0.32366335532693397
ACH-000007,-0.19818063399696698
ACH-000009,-0.3346101128447013
ACH-000011,-0.37936482128741617
ACH-000012,-0.2491049434328225
ACH-000013,-0.17787682617375672
ACH-000014,-0.2199792088544565
ACH-000015,-0.23062039062265155
ACH-000017,-0.07408449479415731
ACH-000018,-0.21449495454693654
ACH-000019,-0.1880498000307165
ACH-000021,-0.10801435472564294
ACH-000022,-0.08769649583053063
ACH-000025,-0.09814379763077152
ACH-000028,-0.17619101067285198
ACH-000030,-0.2490828312003053
ACH-000035,-0.20937712420179871
ACH-000036,-0.18090009802220305
ACH-000037,-0.1708989067299018
ACH-000039,-0.22919371426829846
ACH-000040,-0.17778668434841033
ACH-000041,-0.180615798982412
ACH-000042,-0.15594880404723094
ACH-000045,-0.13638630586470604
ACH-000047,-0.14294099428368345
ACH-000052,-0.16741080149695622
ACH-000053,-0.2219355971028949
ACH-000054,-0.19838457961288855
ACH-000055,0.04172995472324966
ACH-000060,-0.26920473190281263
ACH-000067,-0.3146120117347541
ACH-000070,-0.20090468209213297
ACH-000075,-0.15605782635763174
ACH-000078,-0.14767454891149026
ACH-000082,-0.31089284505404363
ACH-000085,0.06867566027736817
ACH-000086,-0.29760819059860244
ACH-000087,-0.23748724970503535
ACH-000092,-0.16849283793035208
ACH-000095,-0.33737196157860944
ACH-000097,-0.20647218055473696
ACH-000098,-0.24065616150803665
ACH-000099,-0.19344511598931416
ACH-000108,-0.2108254267497564
ACH-000113,-0.1747326132785093
ACH-000116,-0.16409932087924287
ACH-000118,-0.2063268222911262
ACH-000120,-0.35190077471793085
ACH-000123,-0.13401840115380734
ACH-000127,-0.04142785384856768
ACH-000128,-0.05819372851227957
ACH-000132,-0.1213398875634902
ACH-000133,-0.26181202603646203
ACH-000137,-0.2683185145208192
ACH-000138,-0.3878554602672257
ACH-000142,-0.2826790121199608
ACH-000143,-0.17977512705171286
ACH-000146,-0.10368811892045686
ACH-000148,-0.3211768886327388
ACH-000150,-0.1399902355749693
ACH-000152,-0.3971272958357811
ACH-000153,-0.12124304567937727
ACH-000159,-0.13687286226971676
ACH-000160,-0.2671558918112139
ACH-000163,-0.34321252082362463
ACH-000167,0.08715178103623378
ACH-000168,-0.16767209532861851
ACH-000169,-0.2197279624964824
ACH-000178,-0.18961599044135932
ACH-000183,-0.18475352511116647
ACH-000188,-0.2922973244178869
ACH-000189,-0.13201729036913795
ACH-000190,0.10174216002267357
ACH-000198,-0.13561427558521533
ACH-000203,-0.448520941766484
ACH-000204,-0.28924525685378843
ACH-000206,-0.159989124701644
ACH-000207,-0.017803061498327936
ACH-000208,-0.4064778743402021
ACH-000210,0.17849613194003414
ACH-000211,-0.2868977085674327
ACH-000215,-0.2997320317063745
ACH-000221,-0.1471172169676153
ACH-000222,-0.17309241993031424
ACH-000223,-0.034688880297118634
ACH-000226,-0.06322333182212826
ACH-000227,-0.10593773995955427
ACH-000228,-0.3374132717453074
ACH-000231,-0.18097437060778232
ACH-000232,-0.1746474660400826
ACH-000233,-0.08628854375087233
ACH-000234,-0.2641285207165384
ACH-000235,-0.31077343471005503
ACH-000237,-0.16585440002620996
ACH-000238,-0.32352262786972763
ACH-000242,-0.38038697785585135
ACH-000243,-0.24691839990951095
ACH-000244,-0.1737861755812719
ACH-000246,-0.2443157746998478
ACH-000248,-0.2978225079478965
ACH-000250,-0.2718529770718028
ACH-000251,-0.07483451232021145
ACH-000252,-0.28325254659407423
ACH-000253,-0.18094717856939305
ACH-000255,-0.2644215619491728
ACH-000256,-0.17190169084014748
ACH-000257,-0.3233731529691056
ACH-000258,-0.32130212438522593
ACH-000259,-0.26285073309536205
ACH-000260,-0.17411141229568944
ACH-000261,-0.19455015849728624
ACH-000262,-0.3403960970518969
ACH-000263,-0.09185757462989527
ACH-000264,-0.2577793627452719
ACH-000265,-0.1736564457810201
ACH-000266,-0.2604524537915505
ACH-000272,-0.2627426839976991
ACH-000274,-0.2653870228433113
ACH-000277,-0.19674848189234687
ACH-000278,-0.2685480793728332
ACH-000279,-0.11032414259108933
ACH-000280,-0.2742489254546766
ACH-000281,-0.07671620574864
ACH-000288,-0.26688174886964505
ACH-000291,-0.2064368855009356
ACH-000293,-0.014317783990624219
ACH-000294,-0.3158928059410988
ACH-000295,-0.2831674022070394
ACH-000296,-0.2487696141722308
ACH-000302,-0.24859846911406616
ACH-000304,-0.06190057907996314
ACH-000307,-0.0971245668060952
ACH-000308,-0.17082001297741925
ACH-000310,-0.3272936192946173
ACH-000311,-0.20725212241362292
ACH-000312,-0.33215967325756895
ACH-000315,-0.15742373723482347
ACH-000316,-0.41902817289799743
ACH-000317,-0.1596380236591645
ACH-000318,-0.3252902056459721
ACH-000319,-0.23710036090114786
ACH-000320,-0.013953351962500306
ACH-000322,-0.28322356784322594
ACH-000323,-0.283011705824726
ACH-000324,-0.546909942695492
ACH-000329,-0.2588246547432547
ACH-000330,0.007616251608335419
ACH-000331,-0.22335469588457604
ACH-000332,-0.2188952055147716
ACH-000334,-0.1606664831630676
ACH-000335,0.08241268260680497
ACH-000336,-0.10175317658028253
ACH-000337,-0.2398091286792904
ACH-000338,-0.7886178754185911
ACH-000339,-0.1907752286399938
ACH-000341,-0.03870754480522096
ACH-000348,-0.165416609463559
ACH-000350,-0.2843584841513577
