,DYNC1I2 (1781)
ACH-000004,-1.147822609164107
ACH-000005,-1.1474351540072432
ACH-000007,-0.9190599758505724
ACH-000009,-1.2508013934630258
ACH-000011,-0.917737845701338
ACH-000012,-1.0947508742127312
ACH-000013,-1.0696988396198996
ACH-000014,-1.0037552151925009
ACH-000015,-1.0873238370583864
ACH-000017,-1.1148257430886903
ACH-000018,-1.100769843075636
ACH-000019,-0.8273276700024159
ACH-000021,-1.0543871956869633
ACH-000022,-1.1229634709613154
ACH-000025,-0.9719741416849041
ACH-000028,-1.000522950908566
ACH-000030,-0.6678161236880155
ACH-000035,-0.9997162159887336
ACH-000036,-0.9572230429474856
ACH-000037,-1.048679359254662
ACH-000039,-1.1786962292711087
ACH-000040,-1.1609327328675785
ACH-000041,-1.063834874330486
ACH-000042,-1.0611889383961106
ACH-000045,-0.9009028874951568
ACH-000047,-1.0238914183289705
ACH-000052,-1.107430268881303
ACH-000053,-1.1304434000281802
ACH-000054,-0.9158088986978976
ACH-000055,-0.9433367626004844
ACH-000060,-0.9837575015384724
ACH-000067,-1.1004904549050123
ACH-000070,-0.9826778466055952
ACH-000075,-1.1852037309110701
ACH-000078,-0.95277954125488
ACH-000082,-1.0317994774704955
ACH-000085,-1.0302740560068706
ACH-000086,-0.9632184627546924
ACH-000087,-1.026899545612424
ACH-000092,-1.0087026344543375
ACH-000095,-0.9949683397476368
ACH-000097,-0.9985965285389498
ACH-000098,-1.132375351630888
ACH-000099,-0.99128265556178
ACH-000108,-1.0732268669239953
ACH-000113,-1.0208931492518971
ACH-000116,-1.073901462520976
ACH-000118,-1.0074577307729229
ACH-000120,-1.1248904233164279
ACH-000123,-0.9794531551655309
ACH-000127,-0.9242427609230928
ACH-000128,-1.0774389460019604
ACH-000132,-0.8814717259372319
ACH-000133,-1.042814629165527
ACH-000137,-1.2218216163872258
ACH-000138,-0.9886432541094298
ACH-000142,-1.0569522926356376
ACH-000143,-1.1449369109554284
ACH-000146,-1.006129015120974
ACH-000148,-1.104502279046304
ACH-000150,-0.9923048493781405
ACH-000152,-1.1247393442966156
ACH-000153,-0.9795061406890564
ACH-000159,-0.9592833643519748
ACH-000160,-1.053591636546349
ACH-000163,-0.8825844794599418
ACH-000167,-1.5184204932527632
ACH-000168,-1.0459219508055586
ACH-000169,-0.9762674584500748
ACH-000178,-0.9481267016992414
ACH-000183,-1.1201735362577523
ACH-000188,-0.9194936510800183
ACH-000189,-1.0872134829458269
ACH-000190,-0.9323078567263791
ACH-000198,-1.0670821745887389
ACH-000203,-0.8915711468809258
ACH-000204,-1.0795278145201266
ACH-000206,-0.7691781169066161
ACH-000207,-0.8948128484799852
ACH-000208,-0.949379653248298
ACH-000210,-0.9928033526344094
ACH-000211,-0.9660161287070802
ACH-000215,-1.0619747254629854
ACH-000221,-1.3192308095857828
ACH-000222,-1.045906709617486
ACH-000223,-0.9848421883909813
ACH-000226,-1.0618037509217904
ACH-000227,-1.0228333999563524
ACH-000228,-1.2028975048143449
ACH-000231,-1.0908035145584578
ACH-000232,-0.9281331568031352
ACH-000233,-1.2047140418169977
ACH-000234,-0.9994431471039787
ACH-000235,-1.018766186251458
ACH-000237,-1.1171981435814926
ACH-000238,-1.007000991609256
ACH-000242,-0.9403096723863764
ACH-000243,-0.9420295189705044
ACH-000244,-0.7349578926331051
ACH-000246,-0.8096059753706318
ACH-000248,-0.8161247777559051
ACH-000250,-0.9615625248175148
ACH-000251,-1.1409131038771751
ACH-000252,-0.9556278219350928
ACH-000253,-0.8619931878822064
ACH-000255,-1.1044040931444574
ACH-000256,-0.9650846714791632
ACH-000257,-0.9989097127574392
ACH-000258,-0.8594168189705625
ACH-000259,-0.9415552473468872
ACH-000260,-0.9513624563734218
ACH-000261,-1.0143708979550419
ACH-000262,-0.8795778910083082
ACH-000263,-1.2297266909152995
ACH-000264,-1.0911503897045274
