,NDUFS5 (4725)
ACH-000004,-0.5880913180337477
ACH-000005,-0.5653672529683851
ACH-000007,-0.8992023081406224
ACH-000009,-0.6183405697531995
ACH-000011,-0.42477901733618495
ACH-000012,-0.6915282762556545
ACH-000013,-0.8313838296523677
ACH-000014,-0.6557446491963188
ACH-000015,-0.8496392534619842
ACH-000017,-0.7684588370732227
ACH-000018,-0.5698358693303026
ACH-000019,-0.894366944202748
ACH-000021,-0.6611193888145683
ACH-000022,-0.5480251836387479
ACH-000025,-0.6673182277356898
ACH-000028,-0.9769047309740976
ACH-000030,-0.6257600434846313
ACH-000035,-0.7492693869597806
ACH-000036,-0.2413216578729827
ACH-000037,-0.7070659231887783
ACH-000039,-0.7341758180922164
ACH-000040,-0.6322761841462261
ACH-000041,-0.7046355129224884
ACH-000042,-0.5189051795279472
ACH-000045,-0.8152865687661897
ACH-000047,-0.9552518579644659
ACH-000052,-0.6619962172345624
ACH-000053,-0.6495135581557137
ACH-000054,-1.044179232961322
ACH-000055,-0.5691645594422462
ACH-000060,-0.7336128842010207
ACH-000067,-0.6659933240249272
ACH-000070,-0.6809888765573052
ACH-000075,-0.5956343764139568
ACH-000078,-0.809083809102143
ACH-000082,-0.6367735978649538
ACH-000085,-0.637674776931591
ACH-000086,-0.7253648468470701
ACH-000087,-0.780150542794403
ACH-000092,-0.7236184820561777
ACH-000095,-0.5814042996163834
ACH-000097,-0.7698136523618847
ACH-000098,-0.6017966582971532
ACH-000099,-0.9858874396243668
ACH-000108,-0.5909148722085616
ACH-000113,-0.8638020896602541
ACH-000116,-0.6455539916459934
ACH-000118,-0.9192286249833299
ACH-000120,-0.8737213497733516
ACH-000123,-0.7011314700364933
ACH-000127,-1.1977746384205563
ACH-000128,-0.9654768143216284
ACH-000132,-0.6965959307252276
ACH-000133,-0.5798155285499405
ACH-000137,-0.6459597280237207
ACH-000138,-0.8195420087020691
ACH-000142,-0.5309479199885769
ACH-000143,-0.4904978694334951
ACH-000146,-0.6877642405332407
ACH-000148,-0.7057514222075345
ACH-000150,-0.8190958165105255
ACH-000152,-0.8080638778911077
ACH-000153,-0.8728891099599841
ACH-000159,-0.6823813551565835
ACH-000160,-0.9531853856982712
ACH-000163,-0.5747468041442714
ACH-000167,-0.5878822459261179
ACH-000168,-0.31429546152603266
ACH-000169,-0.7767343224834309
ACH-000178,-0.435626731686332
ACH-000183,-0.7826208918580732
ACH-000188,-0.5793146471666516
ACH-000189,-0.7191633461558643
ACH-000190,-0.8184441949037661
ACH-000198,-0.9320544176252096
ACH-000203,-0.8882820961394257
ACH-000204,-0.8138453191372487
ACH-000206,-0.3984310998303936
ACH-000207,-0.7076694539463101
ACH-000208,-0.5498938290482157
ACH-000210,-0.9028140761544092
ACH-000211,-0.5665914974062743
ACH-000215,-0.684984125100275
ACH-000221,-1.1701260601996981
ACH-000222,-0.6596848097198871
ACH-000223,-0.7260375578820276
ACH-000226,-0.7015638087520435
ACH-000227,-0.750388000586378
ACH-000228,-0.5665435720058074
ACH-000231,-0.42329292919711176
ACH-000232,-0.6276375420846215
ACH-000233,-0.7065057065524062
ACH-000234,-0.6320999410435428
ACH-000235,-0.6438272737413645
ACH-000237,-0.44437236882869663
ACH-000238,-0.6575956245772144
ACH-000242,-0.7072133365095277
ACH-000243,-0.5515617980382104
ACH-000244,-0.6110916424113262
ACH-000246,-0.9264628777214816
ACH-000248,-0.5830793073515957
ACH-000250,-0.3758101128745043
ACH-000251,-0.6038126520940222
ACH-000252,-0.833331094487435
ACH-000253,-0.6303105811298567
ACH-000255,-0.6202052092691213
ACH-000256,-0.6401793067372312
ACH-000257,-0.9154027338105674
ACH-000258,-0.6408848708902307
ACH-000259,-0.7486539479032318
ACH-000260,-0.5265751144307093
ACH-000261,-0.5195907367871976
ACH-000262,-0.6541686953659682
ACH-000263,-0.7366561797893657
ACH-000264,-0.6791515758613916
ACH-000265,-0.7803414583017595
ACH-000266,-0.43070691142127904
ACH-000272,-0.7517664994878966
ACH-000274,-0.6541914175528979
ACH-000277,-0.8647414290921805
ACH-000278,-0.5142442048581648
ACH-000279,-0.6907885177017254
ACH-000280,-0.6353897409041664
ACH-000281,-0.5642302564056593
ACH-000288,-0.852954177433718
ACH-000291,-0.7844111622991758
ACH-000293,-0.7121742129735493
ACH-000294,-0.2474553050226273
ACH-000295,-0.6420783198638509
ACH-000296,-0.5229093904384059
ACH-000302,-0.8335634589475124
ACH-000304,-1.0672090307149118
ACH-000307,-0.6706669949792867
ACH-000308,-0.6229291537893783
ACH-000310,-0.9861548471161298
ACH-000311,-0.6144676317719953
ACH-000312,-0.9889808450789558
ACH-000315,-0.5217978177623714
ACH-000316,-0.4740179060600332
ACH-000317,-1.221045530663981
ACH-000318,-0.4246277637795911
ACH-000319,-0.7782862445715492
ACH-000320,-0.7585640138102059
ACH-000322,-0.927118582918524
ACH-000323,-0.757760488878241
ACH-000324,-0.4170192923290591
ACH-000329,-1.0338417275527911
ACH-000330,-0.8059823675430745
ACH-000331,-0.5141271065399319
ACH-000332,-0.5418031600251513
ACH-000334,-0.6501765828516121
ACH-000335,-0.8023024356013801
ACH-000336,-0.9116093673430736
ACH-000337,-0.6002617205002131
ACH-000338,-0.5083533915543605
ACH-000339,-0.6695642892560549
ACH-000341,-0.739254789440886
ACH-000348,-0.7335060010476586
ACH-000350,-0.7900216556437862
ACH-000352,-0.9535215874006692
ACH-000356,-0.5518833042108865
ACH-000361,-0.5852163209344684
ACH-000362,-0.6313575196302793
ACH-000363,-0.6916737286352519
ACH-000364,-0.6465438477483375
ACH-000365,-0.7910776050747492
ACH-000366,-0.5731326244491287
ACH-000368,-0.5423540601396051
ACH-000374,-0.9916369150510488
ACH-000375,-0.6876239683502124
ACH-000376,-0.9312547762372072
ACH-000381,-0.5186772125166256
