,UBE2G2 (7327)
ACH-000004,-0.5378851502811033
ACH-000005,-0.2199530983339352
ACH-000007,-0.29190670663734225
ACH-000009,-0.20032426051148652
ACH-000011,0.1693836320142585
ACH-000012,-1.0579067722841105
ACH-000013,-0.03646583138765956
ACH-000014,-0.25981427230104553
ACH-000015,-0.4612509190302586
ACH-000017,-0.27012020690832605
ACH-000018,-0.5953495891827378
ACH-000019,-0.2972917438400997
ACH-000021,-0.27108760686140404
ACH-000022,-0.22939286095895176
ACH-000025,-0.35263773637064444
ACH-000028,-0.2573843609477667
ACH-000030,-0.6472250715630595
ACH-000035,-0.43549572412893295
ACH-000036,-0.48390735893160103
ACH-000037,-0.4917303194428065
ACH-000039,-0.36492154585636016
ACH-000040,-0.5446153585347505
ACH-000041,-0.1436813960037918
ACH-000042,-0.1619349100721374
ACH-000045,-0.6482552530098151
ACH-000047,-0.2800316815553825
ACH-000052,-0.25418931797286154
ACH-000053,-0.3305708691957461
ACH-000054,-0.2727714688501976
ACH-000055,-0.21898688674524672
ACH-000060,-0.2845917318699228
ACH-000067,-0.427044832975573
ACH-000070,-0.40391536853533466
ACH-000075,-0.19096345238127968
ACH-000078,-0.2047626112107392
ACH-000082,-0.4252477703469295
ACH-000085,-0.10369115124560907
ACH-000086,-0.3889455914125028
ACH-000087,-0.07285184870808105
ACH-000092,-0.8521512079131616
ACH-000095,-0.23049408778809624
ACH-000097,-0.2711597498784495
ACH-000098,-0.5488476735104432
ACH-000099,-0.24134597223978305
ACH-000108,-0.2426993565012153
ACH-000113,-0.6283693566542268
ACH-000116,-0.2804510441715853
ACH-000118,-0.7677926799789885
ACH-000120,-0.14781957094119816
ACH-000123,-0.3630322822982188
ACH-000127,-0.6922872333115363
ACH-000128,-0.30042357596970504
ACH-000132,-0.18880825216139527
ACH-000133,-0.6031683873278203
ACH-000137,-0.10747931805498484
ACH-000138,-0.3404754887846739
ACH-000142,-0.170720641475274
ACH-000143,-0.3114515774316519
ACH-000146,-0.4650236841490997
ACH-000148,-0.25522056737276233
ACH-000150,-0.2352966463114905
ACH-000152,-0.3360549207018101
ACH-000153,-0.5041342039692638
ACH-000159,-0.5837758628862694
ACH-000160,-0.215929511952842
ACH-000163,-0.5268225454821229
ACH-000167,-0.4587316537990375
ACH-000168,-0.4519811515195492
ACH-000169,-0.3832282589348085
ACH-000178,-0.24269678105906264
ACH-000183,-0.8624214693155375
ACH-000188,-0.23452428141100146
ACH-000189,-0.3250258820052149
