,UPF3A (65110)
ACH-000004,-0.2552594745192674
ACH-000005,-0.05216185141659116
ACH-000007,-0.5345373196368797
ACH-000009,-0.4556094705444041
ACH-000011,-0.3859971354132894
ACH-000012,-0.2961284814417245
ACH-000013,-0.3496996305627005
ACH-000014,-0.3329187969138269
ACH-000015,-0.5443855827722957
ACH-000017,-0.3701905605940316
ACH-000018,-0.4983182422354713
ACH-000019,-0.3386068019519045
ACH-000021,-0.3356526335176868
ACH-000022,-0.4407186278316468
ACH-000025,-0.3694662949031008
ACH-000028,-0.3915777293984598
ACH-000030,-0.4055981374036241
ACH-000035,-0.27144943966927504
ACH-000036,-0.5120604772633227
ACH-000037,-0.5095882826442507
ACH-000039,-0.4688157979436073
ACH-000040,-0.4349182660720413
ACH-000041,-0.5169222292209811
ACH-000042,-0.4800603640903753
ACH-000045,-0.2735421223718312
ACH-000047,-0.3656231013282044
ACH-000052,-0.4187320612547599
ACH-000053,-0.3373593704822626
ACH-000054,-0.2933074405443717
ACH-000055,-0.3166400874477267
ACH-000060,-0.4189321614202064
ACH-000067,-0.464123749784891
ACH-000070,-0.31497517742038994
ACH-000075,-0.5673528888108746
ACH-000078,-0.5962544125588249
ACH-000082,-0.4849892340451522
ACH-000085,-0.17981102298217153
ACH-000086,-0.3671444794708176
ACH-000087,-0.4581389127026888
ACH-000092,-0.543085570754174
ACH-000095,-0.44338083243283816
ACH-000097,-0.2842021961793255
ACH-000098,-0.3140394278851201
ACH-000099,-0.5670398276677734
ACH-000108,-0.4527202614472515
ACH-000113,-0.20478538417578127
ACH-000116,-0.42605804934310415
ACH-000118,-0.29007527828408586
ACH-000120,-0.3260135345097606
ACH-000123,-0.4373376686258558
ACH-000127,-0.13272567807252386
ACH-000128,-0.5452070732268037
ACH-000132,-0.5471073456314013
ACH-000133,-0.4538230431387526
ACH-000137,-0.4601491119990311
ACH-000138,-0.33593400970255666
ACH-000142,-0.2817250327644927
ACH-000143,-0.3332995197984646
ACH-000146,-0.3545453623470309
ACH-000148,-0.3822939923475167
ACH-000150,-0.5577317426183988
ACH-000152,-0.4009315557673352
ACH-000153,-0.6884887300218936
ACH-000159,-0.39570676297058216
ACH-000160,-0.3723446971115319
ACH-000163,-0.2723686405860213
ACH-000167,-0.5575967750489622
ACH-000168,-0.3855724643178463
ACH-000169,-0.3652892638639622
ACH-000178,-0.5207644821817492
ACH-000183,-0.2608921115264008
ACH-000188,-0.4091504216336086
ACH-000189,-0.4789088650502853
ACH-000190,-0.5196073849026185
ACH-000198,-0.21906752385468034
ACH-000203,-0.8435796930863929
ACH-000204,-0.2732405873352777
ACH-000206,-0.29623081333512424
ACH-000207,-0.6082216139453609
ACH-000208,-0.7832923926975693
ACH-000210,-0.5379937132620224
ACH-000211,-0.4305724384811129
ACH-000215,-0.3976414760443877
ACH-000221,-0.25035449832958817
ACH-000222,-0.4581461506958462
ACH-000223,-0.3574171986373978
ACH-000226,-0.6494898635752673
ACH-000227,-0.5135352068459221
ACH-000228,-0.4659023018272888
