,DCAF4 (26094)
ACH-000004,-0.2286498386290146
ACH-000005,-0.25195716358042264
ACH-000007,-0.21299660158651068
ACH-000009,-0.2919952127834569
ACH-000011,-0.5170029107115715
ACH-000012,-0.2925322499773777
ACH-000013,-0.20709750869847848
ACH-000014,-0.18524288176669895
ACH-000015,-0.2421242660870649
ACH-000017,-0.2272749798007819
ACH-000018,-0.14248444263505206
ACH-000019,-0.13055633783117002
ACH-000021,-0.19515424087137567
ACH-000022,-0.08775822973417148
ACH-000025,-0.5280196706656989
ACH-000028,-0.33939435663182577
ACH-000030,-0.3001714348232012
ACH-000035,-0.2540498612889284
ACH-000036,-0.2582624939985558
ACH-000037,-0.1704414973951626
ACH-000039,-0.02362340133777411
ACH-000040,-0.2400905123548171
ACH-000041,-0.3366192920178447
ACH-000042,-0.3392849285144506
ACH-000045,-0.18402130023214025
ACH-000047,-0.172327361090925
ACH-000052,-0.6454593639175507
ACH-000053,-0.29477425308254324
ACH-000054,-0.207773566714638
ACH-000055,-0.2298923660426201
ACH-000060,-0.4637049218038284
ACH-000067,-0.4852602006567577
ACH-000070,-0.2406342488572699
ACH-000075,-0.1960761093480177
ACH-000078,-0.2584171997026275
ACH-000082,-0.2125199078320431
ACH-000085,-0.14372725861299193
ACH-000086,-0.2165354674547824
ACH-000087,0.06380318849753486
ACH-000092,-0.258154883860087
ACH-000095,-0.30028300942884945
ACH-000097,-0.33136468328186225
ACH-000098,-0.3643188823980125
ACH-000099,-0.24253470330044544
ACH-000108,-0.2909146745635909
ACH-000113,-0.21712428312462564
ACH-000116,-0.18872611585151505
ACH-000118,-0.2003075419526815
ACH-000120,-0.2320227011613803
ACH-000123,-0.280451522123487
ACH-000127,-0.23006405054713014
ACH-000128,-0.34102248862902396
ACH-000132,-0.27657112568731856
ACH-000133,-0.1277078644078845
ACH-000137,-0.4098332919053813
ACH-000138,-0.2508633954245363
ACH-000142,-0.12695401353350405
ACH-000143,-0.3483132872304808
ACH-000146,-0.2317567777242737
ACH-000148,-0.2594334774170451
ACH-000150,-0.1767727188019418
ACH-000152,-0.3234051484257272
ACH-000153,-0.30984130213729016
ACH-000159,-0.16121689176137807
ACH-000160,-0.22853581612713425
ACH-000163,-0.2290408423108915
ACH-000167,-0.4211488849301589
ACH-000168,-0.28048251299305993
ACH-000169,-0.14880651195283476
ACH-000178,-0.2772402631181278
ACH-000183,-0.22387544876158927
ACH-000188,-0.18256649427663726
