,EIF5A (1984)
ACH-000004,-1.0519180175147185
ACH-000005,-0.5955433039307793
ACH-000007,-0.8060148061936491
ACH-000009,-1.0973912343252912
ACH-000011,-0.4039563707476754
ACH-000012,-0.6791501774773221
ACH-000013,-0.8312321005547877
ACH-000014,-0.8463280509542394
ACH-000015,-1.0317998793395835
ACH-000017,-0.9587030163280588
ACH-000018,-1.1990252467093612
ACH-000019,-0.7586418563949324
ACH-000021,-0.8119497351421933
ACH-000022,-0.6804462967166056
ACH-000025,-0.965196326513352
ACH-000028,-0.7792996756487289
ACH-000030,-0.7997741046830619
ACH-000035,-0.8136404406753109
ACH-000036,-0.8323409330010757
ACH-000037,-0.8338850412053274
ACH-000039,-0.7481851387228778
ACH-000040,-0.9525323509928478
ACH-000041,-0.9819644941230852
ACH-000042,-0.8769869368495525
ACH-000045,-0.6300971971174698
ACH-000047,-0.6774839632916648
ACH-000052,-0.8526588986813471
ACH-000053,-0.9643681555617629
ACH-000054,-0.3946007297259183
ACH-000055,-1.0417117054966158
ACH-000060,-0.9592844934666482
ACH-000067,-1.1644965019794506
ACH-000070,-0.8005586837989057
ACH-000075,-0.6121551360825304
ACH-000078,-0.7016550163467036
ACH-000082,-0.8633586744022819
ACH-000085,-0.6330797445104066
ACH-000086,-0.8266781991338877
ACH-000087,-0.8955502588637659
ACH-000092,-0.6950739608825895
ACH-000095,-0.7050431690244794
ACH-000097,-0.8162034566591445
ACH-000098,-1.0005448774132295
ACH-000099,-0.6554400613258675
ACH-000108,-0.9517981369239462
ACH-000113,-0.6240276566787364
ACH-000116,-0.9201479179404792
ACH-000118,-0.7196538178365579
ACH-000120,-0.8889902901147029
ACH-000123,-0.8209194724269437
ACH-000127,-0.75673082209673
ACH-000128,-0.9080003596921866
ACH-000132,-0.7055904501058844
ACH-000133,-0.5328550945748401
ACH-000137,-0.9164297872319276
ACH-000138,-0.9331346788045088
ACH-000142,-0.9394336789551042
ACH-000143,-0.8983316719073863
ACH-000146,-0.7853696338336976
ACH-000148,-0.699591626138106
ACH-000150,-0.7813810946269475
ACH-000152,-0.6497849292355086
ACH-000153,-0.8090226836496338
ACH-000159,-0.6320364361534585
ACH-000160,-0.8845718278010395
ACH-000163,-1.0217342303163948
ACH-000167,-0.9037547277876542
ACH-000168,-0.919621235440474
ACH-000169,-0.9266739419497696
ACH-000178,-0.892700746264769
ACH-000183,-0.8584036060311807
ACH-000188,-0.7332415640300909
ACH-000189,-0.8639612763234397
ACH-000190,-1.0708705791131967
ACH-000198,-0.7562233343463416
ACH-000203,-0.9505103077754298
ACH-000204,-0.7025954980596458
ACH-000206,-0.9620381200746104
ACH-000207,-0.604891817656752
ACH-000208,-0.7383959195465691
ACH-000210,-0.638024695539703
ACH-000211,-0.955719674241505
ACH-000215,-0.879241682921
ACH-000221,-1.0013051325508904
ACH-000222,-0.6039433309582498
ACH-000223,-0.7266748426683501
ACH-000226,-0.8228211572769157
ACH-000227,-0.783221621561847
ACH-000228,-0.8445595763146551
ACH-000231,-0.8960224694642387
ACH-000232,-0.7548591374315812
ACH-000233,-0.8370713196315187
ACH-000234,-0.6551949592729268
ACH-000235,-0.8698093168595384
ACH-000237,-0.7247494712919914
ACH-000238,-0.9261985737248232
