,SARNP (84324)
ACH-000004,-0.3367302950106837
ACH-000005,-0.11761817018523095
ACH-000007,-0.4830920533268509
ACH-000009,-0.23203690735958846
ACH-000011,-0.5309921507508163
ACH-000012,-0.19617818524666625
ACH-000013,-0.4119040313700048
ACH-000014,-0.5055261032266938
ACH-000015,-0.5855272677564753
ACH-000017,-0.49013810259786206
ACH-000018,-0.3779083840241794
ACH-000019,-0.6176377012153843
ACH-000021,-0.4719142676444114
ACH-000022,-0.4584547506925565
ACH-000025,-0.3913397265228973
ACH-000028,-0.7060880203771814
ACH-000030,-0.4024128091130331
ACH-000035,-0.338318366215666
ACH-000036,-0.7476742278752332
ACH-000037,-0.5517771870083261
ACH-000039,-0.6306091488960539
ACH-000040,-0.5219187613924863
ACH-000041,-0.3476756693333369
ACH-000042,-0.6012905599274323
ACH-000045,-0.25560712904627914
ACH-000047,-0.2655726730228644
ACH-000052,-0.4835936204488903
ACH-000053,-0.6740197678561015
ACH-000054,-0.4769214834028913
ACH-000055,-0.19760645312751368
ACH-000060,-0.39724376740239975
ACH-000067,-0.5186160465053963
ACH-000070,-0.6659791597017398
ACH-000075,-0.2649460585108652
ACH-000078,-0.4901608935379033
ACH-000082,-0.5840769094698977
ACH-000085,-0.3751858945006156
ACH-000086,-0.6416438506988715
ACH-000087,-0.6068196897045748
ACH-000092,-0.4124847290066797
ACH-000095,-0.5702369842107683
ACH-000097,-0.5997924447868532
ACH-000098,-0.4751750218503108
ACH-000099,-0.40426489171682944
ACH-000108,-0.3398843370371009
ACH-000113,-0.5256510197078565
ACH-000116,-0.4501802659535515
ACH-000118,-0.6364391276988891
ACH-000120,-0.7136662460493356
ACH-000123,-0.2560255965392359
ACH-000127,-0.5758259811529156
ACH-000128,-0.5430479737004054
ACH-000132,-0.4442734102511297
ACH-000133,-0.5526906341162745
ACH-000137,-0.4576310028490023
ACH-000138,-0.5201991000318833
ACH-000142,-0.16937576742577135
ACH-000143,-0.4459846525934669
ACH-000146,-0.5004629422321295
ACH-000148,-0.4383175466938444
ACH-000150,-0.6656929827732339
ACH-000152,-0.4801654801289639
ACH-000153,-0.6823985304684783
ACH-000159,-0.328238903456764
ACH-000160,-0.3014431866365408
ACH-000163,-0.6364983178679267
ACH-000167,-0.4437118376004224
ACH-000168,-0.5164354036418565
ACH-000169,-0.3649118619191562
ACH-000178,-0.4577086656787177
ACH-000183,-0.5774488975520802
ACH-000188,-0.5407776503914266
ACH-000189,-0.5733307040134583
ACH-000190,-0.5453853831391013
ACH-000198,-0.6608636832823226
ACH-000203,-0.7666653157952571
ACH-000204,-0.20184197245600047
ACH-000206,-0.9767155635197228
ACH-000207,-0.506191661986123
ACH-000208,-0.317542893551432
ACH-000210,-0.4609888714111657
ACH-000211,-0.8019132250454968
ACH-000215,-0.53411681396173
ACH-000221,-0.5636389479296977
ACH-000222,-0.5440883949077274
ACH-000223,-0.6057476676794109
ACH-000226,-0.8560373030047156
ACH-000227,-0.4278186922006108
ACH-000228,-0.36377315135421934
ACH-000231,-0.6241761564707095
ACH-000232,-0.2991633443070513
ACH-000233,-0.465137572799005
ACH-000234,-0.48083925883928
ACH-000235,-0.5262590644394686
ACH-000237,-0.3695023608371551
ACH-000238,-0.8799007635892921
ACH-000242,-0.6130279506515013
ACH-000243,-0.2713041228495348
ACH-000244,-0.6495941496990317
ACH-000246,-0.4237680416777543
ACH-000248,-0.7098512245938478
ACH-000250,-0.4641826122187949
ACH-000251,-0.6429889575358202
ACH-000252,-0.4935523466004709
ACH-000253,-0.18890763145399006
ACH-000255,-0.7439986894626186
ACH-000256,-0.8266244984808574
ACH-000257,-0.13799414840939656
ACH-000258,-0.4839349605771131
ACH-000259,-0.7463911747382801
ACH-000260,-0.5899985351329544
ACH-000261,-0.6810567968861224
ACH-000262,-0.3240511517448397
ACH-000263,-0.5008765546740984
ACH-000264,-0.6837469165140219
ACH-000265,-0.4623773920597657
ACH-000266,-0.7026766496797976
ACH-000272,-0.4156424262872259
ACH-000274,-0.5540555380304524
ACH-000277,-0.3929742322776129
ACH-000278,-0.5082298171884526
ACH-000279,-0.4590957196496276
ACH-000280,-0.7624707562439027
ACH-000281,-0.4527993464448567
ACH-000288,-0.6149918004760704
ACH-000291,-0.5012232210937442
ACH-000293,-0.45563398723099896
ACH-000294,-0.29530109407878075
ACH-000295,-0.5550672668584781
ACH-000296,-0.4572765903253732
ACH-000302,-0.4553279293822878
ACH-000304,-0.6389281933794382
ACH-000307,-0.4832663271773986
ACH-000308,-0.5379919974044627
