,ULBP3 (79465)
ACH-000004,0.0234405462042314
ACH-000005,-0.045311072704193135
ACH-000007,-0.13092409263861648
ACH-000009,-0.11603839845324655
ACH-000011,-0.2795377607810557
ACH-000012,-0.16965135595112404
ACH-000013,-0.2682780914349152
ACH-000014,-0.14176396122383933
ACH-000015,-0.12189690403313436
ACH-000017,-0.19291750715877612
ACH-000018,-0.039688431404463896
ACH-000019,-0.07073972908209693
ACH-000021,-0.3749687702238606
ACH-000022,-0.06662885953940842
ACH-000025,-0.215224534429104
ACH-000028,-0.27402043182301844
ACH-000030,-0.14511087685463347
ACH-000035,-0.1625186716042419
ACH-000036,-0.08352967454738718
ACH-000037,-0.13275708626850227
ACH-000039,-0.09878537233060544
ACH-000040,-0.4293677771329177
ACH-000041,-0.1946608469937527
ACH-000042,-0.22000166098443294
ACH-000045,-0.20746336772710525
ACH-000047,0.05244506630041792
ACH-000052,-0.10614707348010263
ACH-000053,-0.11106027411389822
ACH-000054,-0.2000328168279477
ACH-000055,-0.16044841109682936
ACH-000060,-0.2880168944465347
ACH-000067,-0.1904323492104069
ACH-000070,-0.21247902322183634
ACH-000075,-0.06311227618437115
ACH-000078,-0.13183419310805708
ACH-000082,-0.16462610782628653
ACH-000085,-0.26314058186467604
ACH-000086,-0.1318687428932919
ACH-000087,-0.2048154088174444
ACH-000092,-0.16184150466899622
ACH-000095,-0.19257549918834432
ACH-000097,-0.30826767851634634
ACH-000098,-0.02729665083015515
ACH-000099,-0.2249074476449991
ACH-000108,-0.038668794138407035
ACH-000113,-0.06698144013660323
ACH-000116,-0.14890029259374366
ACH-000118,-0.31596847528112804
ACH-000120,-0.2533814951254633
ACH-000123,-0.06667766417314137
ACH-000127,-0.23077459089779795
ACH-000128,-0.3480405118559969
ACH-000132,-0.26308157335013754
ACH-000133,-0.12951720841405434
ACH-000137,-0.09827481025148757
ACH-000138,-0.21585314325740065
ACH-000142,-0.1648233769339629
ACH-000143,-0.17798696482030818
ACH-000146,-0.18492050624787928
ACH-000148,-0.07073565024800615
ACH-000150,-0.16608635698963412
ACH-000152,-0.0021129866343862513
ACH-000153,-0.24243630348287404
ACH-000159,-0.07184537477190754
ACH-000160,-0.12636149366482655
ACH-000163,-0.16656423524106034
ACH-000167,0.05537952143301544
ACH-000168,-0.312903860257978
ACH-000169,-0.0868869832482123
ACH-000178,-0.19790638074689892
ACH-000183,0.005161666911818696
ACH-000188,-0.21892215241120885
ACH-000189,-0.2358058813452957
ACH-000190,-0.3046097542863982
ACH-000198,-0.21445703637785454
ACH-000203,-0.5382566349692769
ACH-000204,-0.43710168556998014
ACH-000206,-0.2080645577718636
ACH-000207,-0.22001956003350995
ACH-000208,-0.5964687039860845
ACH-000210,-0.2519469895192976
ACH-000211,-0.2293509531062847
ACH-000215,-0.11358101121393492
ACH-000221,-0.04010360728816429
ACH-000222,-0.33590563521708816
ACH-000223,-0.26511928047588484
ACH-000226,-0.12360252081345575
ACH-000227,-0.19650654480111926
ACH-000228,-0.3081831560418301
ACH-000231,-0.10488128401901008
ACH-000232,-0.2541955226925524
ACH-000233,0.047394407297514485
ACH-000234,-0.14886913872091515
ACH-000235,-0.2255413789751664
ACH-000237,-0.1597943814488834
ACH-000238,-0.1835832065804536
ACH-000242,-0.3755899586146333
ACH-000243,-0.16013337517041534
ACH-000244,0.03681079251135308
ACH-000246,-0.13164395101096604
ACH-000248,-0.21614279727916896
ACH-000250,-0.14967256382747673
ACH-000251,-0.3949877945916522
ACH-000252,-0.2697045535191385
ACH-000253,-0.0430001826664421
ACH-000255,-0.29909670981845343
ACH-000256,-0.14840623415593135
ACH-000257,-0.13282218103186938
ACH-000258,-0.0914290928938121
ACH-000259,-0.2501329875965487
ACH-000260,-0.17097756990771312
ACH-000261,-0.2421359773670323
ACH-000262,-0.3727933614607512
ACH-000263,-0.09835244874967104
ACH-000264,-0.14255877784159654
ACH-000265,-0.0841279529475432
ACH-000266,-0.22250693142792025
ACH-000272,-0.17536250448897472
ACH-000274,-0.1481337625885684
ACH-000277,-0.10673997589796602
ACH-000278,-0.08267838791277685
ACH-000279,-0.12450443166457603
ACH-000280,-0.1821097861406488
ACH-000281,-0.1379031513361068
ACH-000288,-0.1198375693451186
ACH-000291,-0.08868336247807812
ACH-000293,-0.0447402712787718
ACH-000294,-0.08827598597008866
ACH-000295,0.046651724998985886
ACH-000296,-0.2754899183627013
ACH-000302,-0.1138880410869132
ACH-000304,-0.4660133137954357
ACH-000307,-0.13883680190581651
ACH-000308,-0.10164720519139846
ACH-000310,-0.3428530627572201
ACH-000311,-0.09698644095067803
ACH-000312,-0.2555018438416013
ACH-000315,-0.4217586013824625
ACH-000316,-0.21323349856378832
ACH-000317,-0.3078970169931789
ACH-000318,0.010844402247322409
ACH-000319,-0.1944699959125628
ACH-000320,-0.17370689124716873
ACH-000322,-0.07653155369416267
ACH-000323,-0.04557174106774695
ACH-000324,-0.11610670836715473
ACH-000329,-0.28715679093329083
ACH-000330,0.06063724115308947
ACH-000331,-0.1956066578471959
ACH-000332,-0.15282595824963194
ACH-000334,-0.07511489749455326
ACH-000335,-0.3941846499515211
ACH-000336,-0.4432175161917161
ACH-000337,-0.1329924267517711
ACH-000338,-0.30329582091362295
ACH-000339,-0.2445099975732267
ACH-000341,-0.10449113330430453
ACH-000348,-0.2385105722925078
ACH-000350,-0.19602696952183912
ACH-000352,-0.12074973366856775
ACH-000356,0.04145300674705181
ACH-000361,-0.17474859954194116
ACH-000362,-0.26720473038005155
ACH-000363,-0.14526710329446288
ACH-000364,-0.2112730466505828
ACH-000365,0.01308979306384182
ACH-000366,-0.2612202932443819
ACH-000368,-0.3293593999774083
ACH-000374,-0.10766322890115104
ACH-000375,-0.14045643787670553
ACH-000376,-0.1612924886417735
ACH-000381,0.002251003588309656
ACH-000383,-0.170123021154786
ACH-000387,-0.19112303508638914
ACH-000389,-0.23113020078935614
ACH-000390,-0.19378676107923895
ACH-000393,-0.1729815493726934
ACH-000395,-0.23870381552970996
ACH-000396,0.03454113165655896
ACH-000397,-0.05634717560759452
ACH-000401,-0.03760503677666218
ACH-000402,-0.2656663941137649
ACH-000403,-0.17655886646565588
ACH-000404,-0.3183629877591556
ACH-000406,-0.13482896079227402
ACH-000407,0.05660199489474571
ACH-000408,-0.14231355265747994
ACH-000410,-0.3781033913851603
ACH-000411,-0.17625771113554492
ACH-000414,-0.17606866706640284
ACH-000415,-0.04639711155458413
ACH-000416,-0.14781737770655753
ACH-000420,0.07305701981777274
ACH-000421,-0.1798931420230111
ACH-000424,-0.4928509517109634
ACH-000425,-0.13346741105779558
ACH-000426,-0.03382456525193702
ACH-000427,-0.2717923615065606
ACH-000433,-0.0013141456354941955
ACH-000435,0.07767416680318473
ACH-000436,-0.2410906391816992
ACH-000444,-0.23250057214895015
ACH-000445,-0.16965368207178394
ACH-000448,-0.18007491106292214
ACH-000450,-0.15322502385537698
ACH-000452,-0.0919899443074818
ACH-000454,-0.14466306819010255
ACH-000458,-0.10613268756599996
ACH-000459,-0.1369264089012817
ACH-000460,-0.18036261806385348
ACH-000461,-0.19924013216479372
ACH-000463,-0.1372735628570953
ACH-000464,-0.18847581259073734
ACH-000466,-0.22006005835472026
ACH-000467,-0.230469175234387
ACH-000468,-0.1872744922265319
ACH-000469,-0.22849848504744344
ACH-000470,-0.2267023857664181
ACH-000471,-0.14144966907763434
ACH-000472,-0.1556303584983602
ACH-000473,-0.1961429779381948
ACH-000475,-0.13122808633386068
ACH-000476,-0.2935705955394852
ACH-000477,-0.0374567063975972
ACH-000479,-0.06412118265350633
ACH-000480,0.012099840476300118
ACH-000481,-0.12312676746505295
ACH-000483,-0.17208517972592186
ACH-000484,-0.4385552965522235
ACH-000485,-0.17785699687131545
ACH-000486,-0.0608962933418395
ACH-000487,-0.20831878344911525
ACH-000488,-0.059292531634782715
ACH-000490,-0.31632596268279684
ACH-000491,-0.2773624506546967
ACH-000495,-0.06324226680353455
ACH-000496,-0.12039163725324566
ACH-000499,-0.16784507434702506
ACH-000500,0.01888957282616681
ACH-000502,-0.19079691359107087
ACH-000503,-0.12344096903290855
ACH-000505,-0.12240647289732752
ACH-000507,-0.10574591181082517
ACH-000510,-0.15844115950316626
ACH-000511,-0.3131818020966516
ACH-000512,-0.0766498716984262
ACH-000516,-0.13992634020507494
ACH-000517,-0.21345344382756434
ACH-000518,-0.02057210090938181
ACH-000520,-0.1261623077875494
ACH-000521,-0.21471397142214532
ACH-000522,-0.2324913741750365
