,NPR2 (4882)
ACH-000004,0.06781391199370881
ACH-000005,-0.07976945483560044
ACH-000007,-0.076416978661254
ACH-000009,-0.2283443280944567
ACH-000011,0.1014893361897748
ACH-000012,-0.08791035993553872
ACH-000013,-0.07536372347545023
ACH-000014,-0.11683285878351367
ACH-000015,-0.19158129354163292
ACH-000017,-0.075021847147635
ACH-000018,-0.3638170836938697
ACH-000019,-0.03544319238810138
ACH-000021,-0.14266648124078454
ACH-000022,-0.14195331768696035
ACH-000025,-0.04111492734397678
ACH-000028,-0.026459209396002013
ACH-000030,-0.1261247831067209
ACH-000035,0.006834066003491139
ACH-000036,0.06609356623872778
ACH-000037,-0.020337773303518457
ACH-000039,-0.025980074728970542
ACH-000040,0.14980479465864135
ACH-000041,-0.03453892967565459
ACH-000042,-0.028820950434990826
ACH-000045,0.10331260567623424
ACH-000047,0.019002084958524918
ACH-000052,-0.1604302700075877
ACH-000053,-0.005896823847658218
ACH-000054,-0.20791092825480104
ACH-000055,-0.2220038131242512
ACH-000060,0.053781388571329934
ACH-000067,0.0018574462684652867
ACH-000070,-0.1687162400750816
ACH-000075,-0.003074158624164352
ACH-000078,-0.047557233083691385
ACH-000082,-0.1054302650240675
ACH-000085,-0.2637284568897679
ACH-000086,-0.005705513230877737
ACH-000087,-0.1735498679010965
ACH-000092,-0.16054012333051146
ACH-000095,0.0367219158936556
ACH-000097,-0.04163566313403678
ACH-000098,-0.17949963198156146
ACH-000099,-0.026182464801470632
ACH-000108,-0.008245062467879828
ACH-000113,-0.02097645335567544
ACH-000116,0.17170177792842375
ACH-000118,-0.10537309690213552
ACH-000120,0.0522778134163706
ACH-000123,-0.026408490232260343
ACH-000127,-0.10370101095073604
ACH-000128,0.05876966166321972
ACH-000132,-0.07946758974022627
ACH-000133,0.034844182464872496
ACH-000137,0.032813947907393504
ACH-000138,0.04096359160051235
ACH-000142,0.041143422617367295
ACH-000143,-0.023957071278237037
ACH-000146,-0.0027241114563683697
ACH-000148,-0.045403199586392086
ACH-000150,-0.1570764011180548
ACH-000152,-0.005114193322316321
ACH-000153,-0.03777070206184479
ACH-000159,-0.07865300111516335
ACH-000160,-0.042147113716885794
ACH-000163,-0.16604514327767267
ACH-000167,-0.18007410515030198
ACH-000168,0.23344073968788734
ACH-000169,-0.13590687198905288
ACH-000178,0.003216804470615688
ACH-000183,-0.02626994148571381
ACH-000188,-0.1898714657496847
ACH-000189,-0.1726770728133794
ACH-000190,-0.23463884488137696
ACH-000198,-0.04517699251496327
ACH-000203,-0.43733993674281824
ACH-000204,0.181158186551994
ACH-000206,0.059729000166279925
ACH-000207,-0.12459671069479827
ACH-000208,0.05037222309215539
ACH-000210,0.12272508202901268
ACH-000211,0.07232293299819229
ACH-000215,-0.13709969701105712
ACH-000221,-0.2781712238448103
ACH-000222,-0.20277519089645904
ACH-000223,0.023993645941205847
ACH-000226,0.07957694129017992
ACH-000227,-0.04597065711127935
ACH-000228,-0.13369624818518272
ACH-000231,-0.05784750026400319
ACH-000232,-0.007413427610718081
ACH-000233,0.033659719172213914
ACH-000234,-0.04431431952250065
ACH-000235,-0.08201351670086257
ACH-000237,-0.0009007861762540614
ACH-000238,-0.059855058796266174
ACH-000242,-0.2060787034693989
ACH-000243,-0.06583270088894794
ACH-000244,-0.18861671758304435
ACH-000246,-0.12973104726426626
ACH-000248,0.06244618739430775
ACH-000250,0.07967185113542644
