,NSD1 (64324)
ACH-000004,-0.35869247563209616
ACH-000005,-0.14486243845999092
ACH-000007,-0.4212936919852242
ACH-000009,-0.4287944516913713
ACH-000011,-0.2598478170682847
ACH-000012,-0.3333992002413924
ACH-000013,-0.1625278463021816
ACH-000014,-0.051567725708383985
ACH-000015,-0.1618887504782746
ACH-000017,-0.1715639712034404
ACH-000018,-0.49785619793180397
ACH-000019,-0.2874083552878236
ACH-000021,-0.3826907396480189
ACH-000022,-0.2464595380643377
ACH-000025,-0.008949278616948806
ACH-000028,-0.37237242095361095
ACH-000030,-0.2613483520116557
ACH-000035,-0.35981519330481704
ACH-000036,-0.3779059827968673
ACH-000037,-0.1928747594970484
ACH-000039,-0.4713167969033462
ACH-000040,-0.4615834535704793
ACH-000041,-0.14916969635771474
ACH-000042,-0.3104335287669016
ACH-000045,-0.5750129004078356
ACH-000047,-0.4237443541923535
ACH-000052,-0.3229304290554095
ACH-000053,-0.447704817528194
ACH-000054,-0.3482701779027956
ACH-000055,-0.08135221611236332
ACH-000060,-0.3599320774368941
ACH-000067,-0.4409076654996317
ACH-000070,-0.21750973182489686
ACH-000075,-0.23534654651599454
ACH-000078,-0.3329208512239499
ACH-000082,-0.1729461523422617
ACH-000085,-0.21830988600965653
ACH-000086,-0.2653564629683776
ACH-000087,-0.4466420090664019
ACH-000092,-0.1741297641179052
ACH-000095,-0.25597945059106725
ACH-000097,-0.2171239550618025
ACH-000098,-0.1764435697557228
ACH-000099,-0.3273494795017878
ACH-000108,-0.3893668658068183
ACH-000113,-0.43902560523878975
ACH-000116,-0.11283530801333595
ACH-000118,-0.1654961683159011
ACH-000120,-0.2696576471010049
ACH-000123,-0.3663097572692177
ACH-000127,-0.7397043383904505
ACH-000128,-0.3063220513846692
ACH-000132,-0.32377932013755983
ACH-000133,-0.24519873362749256
ACH-000137,-0.2512062141899981
ACH-000138,-0.3379206281314869
ACH-000142,-0.2995253676795777
ACH-000143,-0.1737177963191413
ACH-000146,-0.3453331311084416
ACH-000148,-0.4059296127291371
ACH-000150,-0.22005471633094828
ACH-000152,-0.27839293279508315
ACH-000153,-0.26529960442993955
ACH-000159,-0.16094277777537985
ACH-000160,-0.07806353758281663
ACH-000163,-0.11894787492958135
ACH-000167,0.04823842783711217
ACH-000168,-0.32111142767960554
ACH-000169,-0.09143687819743693
ACH-000178,-0.3216629285755773
ACH-000183,-0.19658874496979944
ACH-000188,-0.3988992804447332
ACH-000189,-0.15950616090737138
ACH-000190,-0.13869773887199285
ACH-000198,-0.1022818679730266
ACH-000203,-0.30155122177125315
ACH-000204,-0.1815079722629931
ACH-000206,-0.5600282898909568
ACH-000207,-0.2300003760225557
ACH-000208,-0.2922997078072085
ACH-000210,-0.21586020258972607
ACH-000211,-0.3496757116335368
ACH-000215,-0.3084193173215372
ACH-000221,-0.1469223933917412
ACH-000222,-0.06381632600397602
ACH-000223,-0.4546804223681527
ACH-000226,-0.3419257252781556
ACH-000227,-0.4418105090313784
ACH-000228,-0.5552864987493465
ACH-000231,-0.40600861263414056
ACH-000232,-0.414519420432138
ACH-000233,-0.333318120423092
ACH-000234,-0.2637611257136201
ACH-000235,-0.18626333443350798
ACH-000237,-0.14886480368740546
ACH-000238,-0.3027041799161957
ACH-000242,-0.09005047592916489
ACH-000243,-0.34680068398964226
ACH-000244,-0.2442880608743344
ACH-000246,-0.4564957639929285
ACH-000248,-0.3686345675074824
ACH-000250,-0.2932368501809983
ACH-000251,-0.4785761037048335
ACH-000252,-0.268127857456366
ACH-000253,-0.3637242792272248
ACH-000255,-0.5615108098450926
ACH-000256,-0.265975219579946
ACH-000257,-0.44738088140441373
ACH-000258,-0.37379996836430335
ACH-000259,-0.2111122675411208
ACH-000260,-0.16728689880641176
ACH-000261,-0.22208209879524768
ACH-000262,-0.656526313461581
ACH-000263,-0.3396203952573105
ACH-000264,-0.2803849608433613
ACH-000265,-0.21274427206450466
ACH-000266,-0.11684203703544395
ACH-000272,-0.3557753066796331
ACH-000274,-0.2677251622972556
ACH-000277,-0.4586732259486022
ACH-000278,-0.30946885978178074
ACH-000279,-0.2636997297463961
ACH-000280,-0.29923472922220723
ACH-000281,-0.5562253557212404
ACH-000288,-0.2792914590860665
ACH-000291,-0.4711937543615151
ACH-000293,-0.16086185459508054
ACH-000294,-0.4537454746005026
ACH-000295,-0.3485295047743708
ACH-000296,-0.4578563357407622
ACH-000302,-0.4151966992014717
ACH-000304,-0.19640222703858906
ACH-000307,-0.4897658456185515
ACH-000308,-0.001602625934503552
ACH-000310,-0.3372313438800517
ACH-000311,-0.07810035663994233
ACH-000312,-0.4278629845442052
ACH-000315,-0.06378399714536727
ACH-000316,-0.33880639482954494
ACH-000317,-0.35904279906034103
ACH-000318,-0.4961047081746087
ACH-000319,-0.31570993192371005
ACH-000320,-0.22389757445238934
ACH-000322,-0.20721332271386755
ACH-000323,-0.11573365704115975
ACH-000324,-0.4032016009633157
ACH-000329,-0.3986144642967439
ACH-000330,-0.4355899248512451
ACH-000331,-0.37271497617311106
ACH-000332,-0.6201201868090154
ACH-000334,-0.2736405209531684
ACH-000335,-0.3550673614579025
ACH-000336,-0.22806512421713396
ACH-000337,-0.4342792336515989
ACH-000338,-0.5657698707110858
ACH-000339,-0.1795107825487034
ACH-000341,-0.25008199529885866
ACH-000348,-0.3316827742529839
ACH-000350,-0.4004050435338649
ACH-000352,-0.25457355286374345
ACH-000356,-0.18272181468530005
ACH-000361,-0.26256522156952383
ACH-000362,-0.1562228643648959
ACH-000363,-0.3018222349762029
