,PNPT1 (87178)
ACH-000004,-0.5649232016278727
ACH-000005,-0.702025648802855
ACH-000007,-0.6004903852325599
ACH-000009,-0.5753821689944124
ACH-000011,-0.4749974289950586
ACH-000012,-0.7398631752466899
ACH-000013,-0.8134715342074876
ACH-000014,-0.5983093684964295
ACH-000015,-0.6984848890803209
ACH-000017,-0.6448360131310279
ACH-000018,-0.7413095225642572
ACH-000019,-0.9019819406310638
ACH-000021,-0.7068357046526607
ACH-000022,-0.6022022230305468
ACH-000025,-0.5558129623575221
ACH-000028,-0.6789426813294621
ACH-000030,-0.6716178602038848
ACH-000035,-0.8295861299160794
ACH-000036,-0.4747376647028872
ACH-000037,-0.7471645751702897
ACH-000039,-0.5802669332536818
ACH-000040,-0.4616027367839186
ACH-000041,-0.6017682395197366
ACH-000042,-0.6697534464647834
ACH-000045,-0.5044016294120869
ACH-000047,-0.6509189763383747
ACH-000052,-0.4854931003071927
ACH-000053,-0.767798115750284
ACH-000054,-0.7200548922154995
ACH-000055,-0.4889542119808002
ACH-000060,-0.5299790322447715
ACH-000067,-0.8033301289284441
ACH-000070,-0.6367284643679875
ACH-000075,-0.6659935657627505
ACH-000078,-0.5485107809243025
ACH-000082,-0.4413633946761507
ACH-000085,-0.9730043224655948
ACH-000086,-0.7295862786209409
ACH-000087,-0.8255688930405266
ACH-000092,-0.5098282874737361
ACH-000095,-0.4834764568604386
ACH-000097,-0.5663833588022761
ACH-000098,-0.591108228584095
ACH-000099,-0.8011574068201847
ACH-000108,-0.5642604289435462
ACH-000113,-0.7100705736910048
ACH-000116,-0.8340735330950251
ACH-000118,-0.9106120411015379
ACH-000120,-0.5335878942690185
ACH-000123,-0.5773453893667441
ACH-000127,-0.7571041457896627
ACH-000128,-1.0230016127219397
ACH-000132,-0.6512068265953873
ACH-000133,-0.7287816358175782
ACH-000137,-0.6156133377151032
ACH-000138,-0.7790480393209142
ACH-000142,-0.5583356265516558
ACH-000143,-0.9209339980854806
ACH-000146,-0.6064020044794656
ACH-000148,-0.7102755357915634
ACH-000150,-0.9005368112679437
ACH-000152,-0.7947390765145602
ACH-000153,-0.5677167713630379
ACH-000159,-0.3412484735226898
ACH-000160,-0.9380856275126742
ACH-000163,-0.488201348210175
ACH-000167,-0.6131258494523474
ACH-000168,-0.6297193150543124
ACH-000169,-0.7985112078534445
ACH-000178,-0.7189716152670999
ACH-000183,-0.6552065579142532
ACH-000188,-0.7305253536213939
ACH-000189,-0.7486464446332994
ACH-000190,-0.8367426813700881
ACH-000198,-0.5794033692517986
ACH-000203,-0.5324651910176601
ACH-000204,-0.6931882610711659
ACH-000206,-0.4055160993247007
ACH-000207,-0.5877223646213834
ACH-000208,-0.5436567919123321
ACH-000210,-0.37671188917207743
ACH-000211,-0.6657979779742854
ACH-000215,-0.7849692974721663
ACH-000221,-0.43432177237308817
ACH-000222,-0.6958557896541356
ACH-000223,-0.9648399967831658
ACH-000226,-0.6888207146370481
ACH-000227,-0.5267825567207128
ACH-000228,-0.6615838417643755
ACH-000231,-0.7436806052062693
ACH-000232,-0.7724095804958881
ACH-000233,-0.7023471777034173
ACH-000234,-0.4775043765294591
ACH-000235,-0.5749448415909132
ACH-000237,-0.3973065663371455
ACH-000238,-0.8323300740786372
ACH-000242,-0.5683358468199016
ACH-000243,-0.5826061966310131
ACH-000244,-0.5171557317196065
ACH-000246,-0.7700398381490415
ACH-000248,-0.8506585569609199
ACH-000250,-0.3756373610024869
ACH-000251,-0.9795722941686196
ACH-000252,-0.7462580871806899
ACH-000253,-0.5809208102252686
ACH-000255,-0.7285420956075258
ACH-000256,-0.7497031960371859
ACH-000257,-0.6259074821622257
ACH-000258,-0.6837272480410237
ACH-000259,-0.8116657220827792
ACH-000260,-0.5368805352573334
ACH-000261,-0.5264762576345485
ACH-000262,-0.8579853699742063
ACH-000263,-0.675577144784639
ACH-000264,-0.5218274815072961
ACH-000265,-0.7062800584753782
ACH-000266,-0.6793335012209359
ACH-000272,-0.3563076671710312
ACH-000274,-0.5253397067419733
ACH-000277,-0.9003809583501741
ACH-000278,-0.3753013064635845
ACH-000279,-0.9467968622977754
ACH-000280,-0.6135145676770196
ACH-000281,-0.8340266808572009
ACH-000288,-0.8679332650864058
ACH-000291,-0.7595194490885451
ACH-000293,-0.7915837256033075
ACH-000294,-0.5891933154614971
ACH-000295,-0.6653340274409019
ACH-000296,-0.5959034824257524
ACH-000302,-0.5862137618026753
ACH-000304,-0.51334491945454
ACH-000307,-0.8114405264894397
ACH-000308,-0.5405476935543859
ACH-000310,-0.34493038159722444
ACH-000311,-0.5742741323118021
ACH-000312,-0.8056539502315561
ACH-000315,-0.7807895176175693
ACH-000316,-0.5481866952464612
ACH-000317,-1.1217422104878658
ACH-000318,-0.5207702259877064
ACH-000319,-0.5177464688432546
ACH-000320,-0.5959241078026248
ACH-000322,-0.9479116432283146
ACH-000323,-0.7960090356072509
ACH-000324,-0.7423227161797067
ACH-000329,-0.6111713401272086
ACH-000330,-0.6789443426060378
ACH-000331,-0.8010139327616211
ACH-000332,-0.39926905653807293
ACH-000334,-0.5916761281079802
ACH-000335,-0.6743606955911949
ACH-000336,-0.8946987231189739
ACH-000337,-0.6014951769362865
ACH-000338,-0.8810310415256077
ACH-000339,-0.6477348617602383
ACH-000341,-0.7976743910313081
ACH-000348,-0.6062348674481328
ACH-000350,-0.5512357367262969
ACH-000352,-0.8354417981796687
ACH-000356,-0.6024618575059971
ACH-000361,-0.5808796484690468
ACH-000362,-0.3292727571660422
ACH-000363,-0.4766652898711885
ACH-000364,-0.6836369691079132
ACH-000365,-0.7849127260981908
ACH-000366,-0.6059576800236391
ACH-000368,-0.6931099752209446
ACH-000374,-0.9136315824313752
ACH-000375,-0.6119340616245815
ACH-000376,-0.91221577508326
ACH-000381,-0.7506605594860658
ACH-000383,-0.4705166625482197
ACH-000387,-0.8044373668946161
ACH-000389,-0.3620577424575207
ACH-000390,-0.7417111373183024
ACH-000393,-0.5202964734403629
ACH-000395,-0.4589166446455201
ACH-000396,-1.283745873189176
ACH-000397,-0.5491221089013503
ACH-000401,-0.5678424384192602
ACH-000402,-0.662397964175726
ACH-000403,-0.5884876767497222
ACH-000404,-0.7129550286906922
ACH-000406,-0.8621460871291903
ACH-000407,-0.7538018650281428
ACH-000408,-1.1484436612697622
ACH-000410,-0.7206581773682952
ACH-000411,-0.4609711989074247
ACH-000414,-0.7938437960380775
ACH-000415,-0.8400963911099868
ACH-000416,-0.601180188452588
ACH-000420,-0.7523161840542247
ACH-000421,-0.6197027769327171
ACH-000424,-0.6044503698796915
ACH-000425,-0.7722969874289034
ACH-000426,-0.31584592344901985
ACH-000427,-0.6022424111492296
ACH-000433,-0.4625034245321553
ACH-000435,-1.0827129691276098
ACH-000436,-0.5166468030352886
ACH-000444,-0.6166522447015153
ACH-000445,-0.8325406986740389
ACH-000448,-0.6064088535524974
ACH-000450,-0.910905964693713
ACH-000452,-0.6492816362819697
ACH-000454,-0.8106752264642924
ACH-000458,-0.8173879692542242
ACH-000459,-0.9486209863768488
ACH-000460,-0.7325371821332542
ACH-000461,-0.8127728358989755
ACH-000463,-0.571883133375581
ACH-000464,-0.5963100675885281
ACH-000466,-0.7970353696208549
ACH-000467,-0.7056917875197181
ACH-000468,-0.6476193976190696
ACH-000469,-0.7953365253036929
ACH-000470,-0.6248495053095018
ACH-000471,-0.5160615959059576
ACH-000472,-0.7605744483526107
ACH-000473,-0.7218369860005306
ACH-000475,-0.6825628148317663
ACH-000476,-0.977151599929654
ACH-000477,-0.5872962907837956
ACH-000479,-0.6822229210222329
ACH-000480,-0.6643930747355286
ACH-000481,-0.4373720496420345
ACH-000483,-0.6750902258155967
ACH-000484,-0.4215032084168593
