,BYSL (705)
ACH-000004,-1.1097755499727338
ACH-000005,-1.1402206962303274
ACH-000007,-0.9253108455388794
ACH-000009,-0.91356843475325
ACH-000011,-1.3543134257906952
ACH-000012,-0.9739001459594964
ACH-000013,-1.1792127560173096
ACH-000014,-1.0594959205915595
ACH-000015,-0.8074395384616831
ACH-000017,-1.0511753947915865
ACH-000018,-1.1215349945589608
ACH-000019,-0.927950924269878
ACH-000021,-0.9287323079529379
ACH-000022,-0.9979144643510576
ACH-000025,-0.9412883422261624
ACH-000028,-1.0926662569336858
ACH-000030,-0.973321820158246
ACH-000035,-1.1546388191028187
ACH-000036,-0.9016810502852516
ACH-000037,-0.9102205220114948
ACH-000039,-0.9374442080011004
ACH-000040,-0.8118267688376634
ACH-000041,-0.9666660789342124
ACH-000042,-1.0990541299951082
ACH-000045,-1.1206671029245099
ACH-000047,-1.010379381954447
ACH-000052,-1.1974237092552755
ACH-000053,-1.0748573304486628
ACH-000054,-1.05449602299666
ACH-000055,-1.1577290481880438
ACH-000060,-1.0031045375390837
ACH-000067,-1.2210820403615623
ACH-000070,-0.8799529264397218
ACH-000075,-1.0063092614082771
ACH-000078,-0.8672297321775588
ACH-000082,-1.1404337760903565
ACH-000085,-1.1773371641670665
ACH-000086,-0.9500748294712341
ACH-000087,-1.2135007881548612
ACH-000092,-0.9493076190628721
ACH-000095,-1.1144829339429134
ACH-000097,-0.982118310798442
ACH-000098,-1.0364815782746426
ACH-000099,-0.824153224120496
ACH-000108,-1.289637800722128
ACH-000113,-0.7172065519735941
ACH-000116,-0.979705372494984
ACH-000118,-1.1175821945692834
ACH-000120,-0.9804755077477676
ACH-000123,-0.9932529113769012
ACH-000127,-0.9974580092857532
ACH-000128,-0.957287511607068
ACH-000132,-0.920691444261958
ACH-000133,-0.7930798774802515
ACH-000137,-0.9751849152485462
ACH-000138,-0.8856770115314568
ACH-000142,-1.1248793928705552
ACH-000143,-1.021230749369502
ACH-000146,-1.011137568866994
ACH-000148,-0.7815951933949584
ACH-000150,-0.987642878136928
ACH-000152,-0.9523810815975664
ACH-000153,-1.1311364735640732
ACH-000159,-0.9802366342130691
ACH-000160,-1.1218127205207036
ACH-000163,-1.1099683343807234
ACH-000167,-1.2574491007656972
ACH-000168,-0.7936043889511982
ACH-000169,-1.0775719022939614
ACH-000178,-1.2022479109622093
ACH-000183,-1.0755634996761705
ACH-000188,-0.9390637535850188
ACH-000189,-1.0804387355835459
ACH-000190,-0.9801735655969416
ACH-000198,-0.84010822458299
ACH-000203,-0.9213802300811824
ACH-000204,-0.9160617788635348
ACH-000206,-0.9012995644238404
ACH-000207,-0.9059587281414184
ACH-000208,-0.9141110641177114
ACH-000210,-1.0607200982160132
ACH-000211,-0.8777110051711691
ACH-000215,-0.8513866776140891
ACH-000221,-0.9831183614400488
ACH-000222,-1.2153087400258882
ACH-000223,-0.9827402887475736
ACH-000226,-0.8212086710258962
ACH-000227,-0.7890032936670424
ACH-000228,-1.079307868079665
ACH-000231,-0.9646883869644838
ACH-000232,-0.9238594442312476
ACH-000233,-0.959781163348438
ACH-000234,-0.9931095642381574
ACH-000235,-1.0851535011259459
ACH-000237,-0.9319194523998431
ACH-000238,-0.953777807904336
ACH-000242,-0.9622317225407588
ACH-000243,-1.017299377170833
ACH-000244,-0.8329784586354292
ACH-000246,-1.0442990190877195
ACH-000248,-1.027914289164353
ACH-000250,-0.8486868423454923
ACH-000251,-1.0293783495986222
ACH-000252,-1.0629069484025515
ACH-000253,-0.6711827111823025
ACH-000255,-1.1805731873614618
ACH-000256,-0.7938897488637493
ACH-000257,-0.8058230109209509
ACH-000258,-0.9012298840025068
ACH-000259,-1.0790795682188865
