,DHH (50846)
ACH-000004,0.04085199587996393
ACH-000005,0.06117639852980328
ACH-000007,0.007998408846589145
ACH-000009,0.03493394721729033
ACH-000011,-0.06609985491332207
ACH-000012,0.01257655737946926
ACH-000013,-0.14909140302770396
ACH-000014,0.021683372372886683
ACH-000015,-0.11499560231768012
ACH-000017,-0.042868587553851034
ACH-000018,-0.056926956712942685
ACH-000019,-0.0736164778964858
ACH-000021,-0.13103647133136215
ACH-000022,0.038648786006479835
ACH-000025,-0.28488255887154346
ACH-000028,-0.11363565750480373
ACH-000030,-0.09986817567462462
ACH-000035,-0.10196892870628377
ACH-000036,-0.09966314893334348
ACH-000037,-0.14060021595212838
ACH-000039,-0.06345783065248946
ACH-000040,-0.1089888160807116
ACH-000041,-0.32387687164997664
ACH-000042,-0.06418625188954896
ACH-000045,0.036559809099964036
ACH-000047,0.0058604675428917145
ACH-000052,-0.21386490607353464
ACH-000053,-0.00011876640037977993
ACH-000054,0.07440610131886734
ACH-000055,-0.030985506537765183
ACH-000060,0.07913725661234969
ACH-000067,-0.22110601184114465
ACH-000070,-0.16586870601510387
ACH-000075,0.048201090701590565
ACH-000078,-0.05894064166261175
ACH-000082,-0.10253346241112064
ACH-000085,-0.16794586579155474
ACH-000086,-0.21506408678810848
ACH-000087,-0.13336993113878662
ACH-000092,-0.04752654057936611
ACH-000095,-0.08687635545694804
ACH-000097,-0.12742165055407634
ACH-000098,-0.06808584470207199
ACH-000099,-0.02689223372250912
ACH-000108,0.01901864979450204
ACH-000113,-0.02758153956994445
ACH-000116,-0.005361592366222771
ACH-000118,-0.041262658334681915
ACH-000120,-0.006752229323443915
ACH-000123,-0.10025427472036053
ACH-000127,-0.041881455353741874
ACH-000128,0.028546994209956076
ACH-000132,0.06448258715527988
ACH-000133,-0.08155039889216804
ACH-000137,-0.027664238794291224
ACH-000138,-0.004095438648135493
ACH-000142,-0.09034971273914899
ACH-000143,-0.27496723963276265
ACH-000146,-0.060825984806854826
ACH-000148,-0.09554553184652456
ACH-000150,-0.18738063706253036
ACH-000152,-0.17007559104857445
ACH-000153,0.0004172854626535622
ACH-000159,-0.08291945819881757
ACH-000160,-0.008394659074113655
ACH-000163,-0.10074639516460364
ACH-000167,0.4433378642623949
ACH-000168,-0.1178341607134
ACH-000169,0.025109168399886268
ACH-000178,0.06161527717179285
ACH-000183,-0.044248324732780835
ACH-000188,0.023786493067669463
ACH-000189,-0.23024421447031584
ACH-000190,0.09016475442525253
ACH-000198,-0.13136045040559974
ACH-000203,-0.5788642327547028
ACH-000204,-0.1773841109018814
ACH-000206,0.06055784704229227
ACH-000207,-0.12906961260741076
ACH-000208,0.02336320205168637
ACH-000210,-0.40289097453550055
ACH-000211,-0.09176373794203374
ACH-000215,-0.09645274522124264
ACH-000221,-0.08229278636784361
ACH-000222,0.030632591793382638
ACH-000223,-0.16711261313790504
ACH-000226,-0.18327460700283685
ACH-000227,-0.05059199562008471
ACH-000228,0.0023003970856834877
ACH-000231,-0.09457190180974938
ACH-000232,-0.08125136334715466
ACH-000233,-0.102398142430426
ACH-000234,-0.1522065559604027
ACH-000235,-0.044795021297304234
ACH-000237,-0.13205356460997242
ACH-000238,-0.13453263323348105
ACH-000242,-0.3853473999185173
ACH-000243,-0.06247440758062976
ACH-000244,-0.09171708430227857
ACH-000246,-0.12893671378134547
ACH-000248,-0.10857437636163388
ACH-000250,-0.09213665019260832
ACH-000251,-0.2269371018560705
ACH-000252,-0.3685185142364257
ACH-000253,0.015915166765538544
ACH-000255,-0.04898472954462677
ACH-000256,-0.207444069504448
ACH-000257,0.026878403824561758
ACH-000258,0.07712011850875196
ACH-000259,-0.1192706326399552
ACH-000260,-0.07472873599129645
ACH-000261,-0.15292526793557149
ACH-000262,0.052705003766236484
ACH-000263,0.011840664631085778
ACH-000264,-0.21473356079135075
ACH-000265,-0.038052945926336235
ACH-000266,-0.12213178587741315
ACH-000272,0.053747646090294095
ACH-000274,-0.07964634051025891
ACH-000277,-0.035113859014750635
ACH-000278,-0.2494962837481009
ACH-000279,-0.09156207697035902
ACH-000280,-0.018711796706521514
ACH-000281,-0.1634006645049532
ACH-000288,-0.12617609111602554
ACH-000291,-0.0048864686968075645
ACH-000293,0.12697077078119393
ACH-000294,-0.19418759014190404
ACH-000295,0.023178046568810392
ACH-000296,-0.33635264698532635
ACH-000302,-0.1518315441931071
