,TIPIN (54962)
ACH-000004,-0.6731209262842902
ACH-000005,-0.15794654077860176
ACH-000007,-0.3321516973669365
ACH-000009,-0.6880142145139096
ACH-000011,-0.6490827541108217
ACH-000012,-0.715529186828857
ACH-000013,-0.7006267949751647
ACH-000014,-0.484392111414386
ACH-000015,-0.3781855344197649
ACH-000017,-0.4735850869277053
ACH-000018,-0.4738325263332344
ACH-000019,-0.3199819379380915
ACH-000021,-0.5389723757731234
ACH-000022,-0.6461378178185858
ACH-000025,-0.7601461133279169
ACH-000028,-0.5011993503148863
ACH-000030,-0.5908296790826884
ACH-000035,-0.6800435585467335
ACH-000036,-0.4268399976308634
ACH-000037,-0.6514373683614051
ACH-000039,-0.7548790797510412
ACH-000040,-0.6994832389607784
ACH-000041,-0.6957573186370668
ACH-000042,-0.7022170199591291
ACH-000045,-0.6182279392806608
ACH-000047,-0.8146224502994447
ACH-000052,-0.5792533036161642
ACH-000053,-0.7263879536963804
ACH-000054,-0.7738374029127879
ACH-000055,-0.6364635802223727
ACH-000060,-0.5421010627453013
ACH-000067,-0.7422994689787403
ACH-000070,-0.6073167085805965
ACH-000075,-0.5607116137736677
ACH-000078,-0.5598367074738702
ACH-000082,-0.7690341380928406
ACH-000085,-0.7802321239810318
ACH-000086,-0.6176525056282741
ACH-000087,-0.863513937670327
ACH-000092,-0.5268012148455999
ACH-000095,-0.6866762132177507
ACH-000097,-0.6486096292023652
ACH-000098,-0.5409728938955229
ACH-000099,-0.6682322687167258
ACH-000108,-0.6246321765988349
ACH-000113,-0.5967342398324808
ACH-000116,-0.5936972125754468
ACH-000118,-0.6561977784734649
ACH-000120,-0.6934836942484915
ACH-000123,-0.6282767576788556
ACH-000127,-0.5696828480517422
ACH-000128,-0.5855089423781962
ACH-000132,-0.897854735628232
ACH-000133,-0.6097525262190922
ACH-000137,-0.8068246378828148
ACH-000138,-0.4945094487491545
ACH-000142,-0.5872746253130101
ACH-000143,-0.5886957898216892
ACH-000146,-0.6899447383984659
ACH-000148,-0.702027661971327
ACH-000150,-0.7195158628631143
ACH-000152,-0.6899718615753402
ACH-000153,-0.5258758278979685
ACH-000159,-0.674465171235021
ACH-000160,-0.6616420918230359
ACH-000163,-0.6045545983652325
ACH-000167,-0.901144793019132
ACH-000168,-0.7684953086275048
ACH-000169,-0.5483246787852428
ACH-000178,-0.6603773295905423
ACH-000183,-0.8011144922843859
ACH-000188,-0.4690336274136765
ACH-000189,-0.4441840218601536
ACH-000190,-0.7941046858554924
ACH-000198,-0.6291583612949703
ACH-000203,-0.5629460125912885
ACH-000204,-0.6764592426106867
ACH-000206,-0.5689673442886165
ACH-000207,-0.8106287837915852
ACH-000208,-0.4751204057977068
ACH-000210,-0.44180922672815615
ACH-000211,-0.6932883834241855
ACH-000215,-0.5348618166852894
ACH-000221,-0.36995349669225536
ACH-000222,-0.7227416098034246
ACH-000223,-0.6894883393271977
ACH-000226,-0.6752019612343372
ACH-000227,-0.6396204210627343
ACH-000228,-0.7580524547044094
ACH-000231,-0.6378216767538981
ACH-000232,-0.5398668566602839
ACH-000233,-0.4848839178501397
ACH-000234,-0.5755900870177767
ACH-000235,-0.5898832042848846
ACH-000237,-0.6698001081050684
ACH-000238,-0.6032579899543963
ACH-000242,0.08138030308439206
ACH-000243,-0.6969634647124481
ACH-000244,-0.5257104674373821
ACH-000246,-0.5933138409983163
ACH-000248,-0.5358809179223593
ACH-000250,-0.5513205371157356
ACH-000251,-0.5098285371998748
ACH-000252,-0.8451706921582668
ACH-000253,-0.3446104827636545
ACH-000255,-0.8008568807119995
ACH-000256,-0.6616844466929325
ACH-000257,-0.4790465355938307
ACH-000258,-0.617463552985999
ACH-000259,-0.5271257846498185
ACH-000260,-0.5833775807058952
ACH-000261,-0.8089719803672214
ACH-000262,-0.8968480763342491
ACH-000263,-0.7597749456892179
ACH-000264,-0.6774231865384742
ACH-000265,-0.3303179417437727
ACH-000266,-0.951262882572946
ACH-000272,-0.7266760834102467
ACH-000274,-0.4880342360894013
ACH-000277,-0.5715655588841393
ACH-000278,-0.5475952548166545
ACH-000279,-0.6107075877751831
ACH-000280,-0.5773104352649507
ACH-000281,-0.4792694034118309
ACH-000288,-0.6039187480921713
ACH-000291,-0.5906981528987316
ACH-000293,-0.7930173056529883
ACH-000294,-0.3913337818514706
ACH-000295,-0.7890128845134093
ACH-000296,-0.8734374091001212
ACH-000302,-0.7355356309038826
ACH-000304,-0.4554252286604614
ACH-000307,-0.5100729357943211
ACH-000308,-0.7087722399782516
ACH-000310,-0.5262440283363113
ACH-000311,-0.4602555476975179
ACH-000312,-0.565796117377388
ACH-000315,-0.6031847182860585
ACH-000316,-0.5301142257058028
ACH-000317,-0.4309261226915186
ACH-000318,-0.6016404696900021
ACH-000319,-0.4927642058135166
ACH-000320,-0.622738257143503
ACH-000322,-0.4672863752072802
ACH-000323,-0.5887355554811821
ACH-000324,-0.6610637716996535
ACH-000329,-0.6164899552164685
ACH-000330,-0.6216398681993978
ACH-000331,-0.6239548103580405
ACH-000332,-0.3853363760191249
ACH-000334,-0.570483417865141
ACH-000335,-0.7383974908136585
ACH-000336,-0.4256378452612477
ACH-000337,-0.491195563790148
ACH-000338,-0.7963795119611188
ACH-000339,-0.72110751527355
ACH-000341,-0.605193007914144
ACH-000348,-0.6339716813084272
ACH-000350,-0.2472288829956619
ACH-000352,-0.589395913845599
ACH-000356,-0.7772515738487067
ACH-000361,-0.6730939045953754
ACH-000362,-0.6579673796648152
ACH-000363,-0.743453262444424
ACH-000364,-0.7245385297111959
ACH-000365,-0.5372171402470763
ACH-000366,-0.6083898603812832
ACH-000368,-0.5456975728564669
ACH-000374,-0.6628458028230916
ACH-000375,-0.6712049616245355
ACH-000376,-0.6558441574343619
ACH-000381,-0.4768484559838984
ACH-000383,-0.5860259722008102
ACH-000387,-0.6667627199077988
ACH-000389,-0.6268242892430602
ACH-000390,-0.5389197628490866
ACH-000393,-0.7747621052936187
ACH-000395,-0.4274136463564897
ACH-000396,-0.4825630717676494
ACH-000397,-0.7261831476347212
ACH-000401,-0.4889719805616508
ACH-000402,-0.8098014747728314
ACH-000403,-0.8181235234209779
ACH-000404,-0.7272828258735259
ACH-000406,-0.4084986477406832
ACH-000407,-0.7811676606668287
ACH-000408,-0.7766934381573083
ACH-000410,-0.6092722499161395
ACH-000411,-0.6656886863380502
ACH-000414,-0.3982405066117722
ACH-000415,-0.6475715851957733
ACH-000416,-0.6829792130545869
ACH-000420,-0.8141172340126077
ACH-000421,-0.5172866647183586
ACH-000424,-0.4954421323643435
ACH-000425,-0.5223229100882393
ACH-000426,-0.913150154177552
ACH-000427,-0.6450792027068425
ACH-000433,-0.6730949746443671
ACH-000435,-0.8512879197353673
ACH-000436,-0.6565903203635239
ACH-000444,-0.6405197404734989
ACH-000445,-0.6191836223457781
ACH-000448,-0.6735164362367146
ACH-000450,-0.3287751725821318
