,CMBL (134147)
ACH-000252,0.0803355777950336
ACH-000253,0.10645433794988413
ACH-000255,0.14716671419270946
ACH-000256,0.007958340203813826
ACH-000257,-0.3737228162959235
ACH-000258,-0.035939090689072486
ACH-000259,0.056741544843547376
ACH-000260,0.0636301740254269
ACH-000261,-0.016264613436074913
ACH-000262,-0.17433503248370374
ACH-000263,-0.09472911206547288
ACH-000264,0.015274231456558403
ACH-000265,0.0446476771752246
ACH-000266,0.0037125645019860437
ACH-000272,-0.18506379453733848
ACH-000274,0.055530502170795935
ACH-000277,0.03235260098339357
ACH-000278,0.07096829382152788
ACH-000279,-0.01796796890659585
ACH-000280,0.09327404071276237
ACH-000281,-0.11068385130033646
ACH-000288,-0.002441444912211767
ACH-000291,0.06051047968230412
ACH-000293,-0.04197480266836732
ACH-000294,-0.03610551078549663
ACH-000295,-0.07129826015232325
ACH-000296,0.17389895279942533
ACH-000302,0.05238558907979947
ACH-000304,0.17593963565871235
ACH-000307,0.11941447600124468
ACH-000308,0.09718129173487804
ACH-000310,-0.1139514936335143
ACH-000311,0.08287398108842142
ACH-000312,-0.00287612997165282
ACH-000315,0.2131222023961597
ACH-000316,0.10522917111981092
ACH-000317,0.1453635533490789
ACH-000318,0.059828373400289715
ACH-000319,0.035975024202894126
ACH-000320,0.010824662172984232
ACH-000322,0.04188455148123062
ACH-000323,0.10554910552244448
ACH-000324,-0.005329485139127384
ACH-000329,-0.0675963520863694
ACH-000330,-0.0697398253001854
ACH-000331,0.07951929622138869
ACH-000332,-0.00420637178802449
ACH-000334,-0.2425522978238949
ACH-000335,0.026129535186662226
ACH-000336,0.1475542306554335
ACH-000337,0.1029613926588651
ACH-000338,-0.006218274333925936
ACH-000339,0.13842763040883094
ACH-000341,0.25354443640593144
ACH-000348,-0.021441087703197047
ACH-000350,-0.14050862036706138
ACH-000352,0.024728021187053115
ACH-000356,0.15398736772513086
ACH-000361,-0.1620941780894597
ACH-000362,0.06707499500983241
ACH-000363,0.04808753383599135
ACH-000364,-0.11847688099680308
ACH-000365,-0.11755384084394273
ACH-000366,0.039080192785467836
ACH-000368,0.08693238413725816
ACH-000374,0.03328454828259001
ACH-000375,-0.042786468081999776
ACH-000376,0.037652419690233266
ACH-000381,-0.09159081368782884
ACH-000383,0.038615203917438765
ACH-000387,-0.0018401727877279254
ACH-000389,0.016302963402932368
ACH-000390,0.03601105549803719
ACH-000393,0.017975578896226186
ACH-000395,-0.16809721694635832
ACH-000396,0.12983591583580456
ACH-000397,-0.044101209004680814
ACH-000401,0.08890701249373556
ACH-000402,0.050145770354268177
ACH-000403,-0.04761223514684939
ACH-000404,0.060411568663289575
ACH-000406,0.06423371866900407
ACH-000407,0.036439895551511566
ACH-000408,0.17888858916029626
ACH-000410,0.06637890515148917
ACH-000411,0.07152176571710632
ACH-000414,-0.01823806058038908
ACH-000415,0.1416797898742873
ACH-000416,-0.009007255055613804
ACH-000420,0.10658389496082607
ACH-000421,0.0333391506645545
ACH-000424,0.2929568570318375
ACH-000425,-0.03272013130533514
ACH-000426,0.3152462440369137
ACH-000427,-0.03263437480463869
ACH-000433,0.09932247928288157
ACH-000435,0.2290874902113674
ACH-000436,0.07392696180325202
ACH-000444,0.11160875955165717
ACH-000445,0.16082670566606613
ACH-000448,0.03472146771757578
ACH-000450,0.2232376559763949
ACH-000452,0.1160571934825864
ACH-000454,0.06020822134229145
ACH-000458,0.1869499888192712
ACH-000459,0.06045188676792448
ACH-000460,0.1150914840778196
ACH-000461,0.1805423825356092
ACH-000463,-0.06593300223998509
ACH-000464,-0.16673554173085628
ACH-000466,-0.05425810635742224
ACH-000467,0.08589072643578681
ACH-000468,-0.043148365884809255
ACH-000469,0.10134212886336354
ACH-000470,-0.3372775338090526
ACH-000471,0.14673710171225018
ACH-000472,-0.13978800547276882
ACH-000473,0.11923078459501643
ACH-000475,0.05746936141809194
ACH-000476,-0.03222321238734318
ACH-000477,0.06803024707299991
ACH-000479,-0.2155460478704344
ACH-000480,0.11463456853624188
ACH-000481,0.13047493496224294
ACH-000483,0.05911723810596745
ACH-000484,-0.02161442044350833
ACH-000485,0.05118395589410105
ACH-000486,0.047770612439250563
ACH-000487,-0.027593300636165448
ACH-000488,0.06634146451290268
ACH-000490,0.09015526509543936
ACH-000491,0.1508322295996531
ACH-000495,0.03630804764396565
ACH-000496,0.19011953931609255
ACH-000499,0.2731244758747877
ACH-000500,-0.7350120656130863
ACH-000502,0.004154612242573424
ACH-000503,0.16933497341527307
ACH-000505,0.07970482940052717
ACH-000507,0.08517801995268033
ACH-000510,-0.03718998708714337
ACH-000511,-0.06934979029428875
ACH-000512,0.17878015992946755
ACH-000516,0.028976723278317924
ACH-000517,0.02078138673349571
ACH-000518,0.06737066179326655
ACH-000520,0.05919104285175841
ACH-000521,0.24246968142226505
ACH-000522,0.07154169640138565
ACH-000524,0.021915721202882345
ACH-000527,0.04438430201308045
ACH-000528,0.00913210425756768
ACH-000537,-0.04241854443525474
ACH-000541,0.16115770186403747
ACH-000542,0.0792856543512024
ACH-000544,0.039050221560612684
ACH-000545,0.00987993563899067
ACH-000547,0.026250728313793024
ACH-000548,0.03738867519035115
ACH-000549,0.10660288387397084
ACH-000550,0.08399050696511857
ACH-000552,0.1379744338359215
ACH-000556,-0.08663781365986037
ACH-000557,0.004590684660244027
ACH-000569,0.06054487836852172
ACH-000570,0.029482451998649423
ACH-000571,-0.07947294177662073
ACH-000573,0.029239002688464424
ACH-000576,-0.007781588760751694
ACH-000579,0.11424975444493968
ACH-000580,-0.05148561286689536
ACH-000584,0.10501388523573564
ACH-000585,0.06607807321111983
ACH-000588,0.0720032436467086
ACH-000589,-0.10912767613771183
ACH-000591,-0.1442334599001448
ACH-000593,0.02936401341599207
ACH-000600,0.04380361822981986
ACH-000601,0.08479964114166384
ACH-000605,0.16188638802360936
ACH-000606,0.1125121441126935
ACH-000608,-0.16341340711872604
ACH-000614,0.04560871275272636
ACH-000616,0.031076870999537792
ACH-000618,0.1056628358424814
ACH-000619,0.012892689425639776
ACH-000620,0.05309874871007149
ACH-000621,0.07616795479026386
ACH-000622,-0.0004250145348405658
ACH-000623,0.11349339732615515
ACH-000624,0.061512739693477425
ACH-000627,0.046330970544375384
ACH-000630,-0.030422179740373964
ACH-000631,-0.2868718114731805
ACH-000632,0.0890675809834739
ACH-000633,0.030212034459320088
ACH-000637,0.14088461915837328
ACH-000638,-0.16891244091727795
ACH-000646,-0.011746940429861272
ACH-000647,0.06153397099769292
ACH-000648,0.2246214646928001
ACH-000649,0.005815826497174936
ACH-000651,0.017443285767751875
ACH-000652,0.11896679239947662
ACH-000653,0.003723318923962974
ACH-000657,-0.04423716104850865
ACH-000658,0.07464010694784932
ACH-000661,0.21765561272081693
ACH-000662,0.06949650294244795
ACH-000663,0.08660049003472631
ACH-000665,-0.012439510628254605
ACH-000671,0.0063511685782354395
