,CLEC1B (51266)
ACH-000004,0.12012315727235605
ACH-000005,0.031059789284285638
ACH-000007,0.027687920023297844
ACH-000009,-0.013056283463860152
ACH-000011,0.06311688790665518
ACH-000012,0.2610430117333885
ACH-000013,0.13655557722377334
ACH-000014,0.3118110037456382
ACH-000015,0.1215455583539434
ACH-000017,0.07659228652294875
ACH-000018,0.14807312256330066
ACH-000019,0.06871128230550187
ACH-000021,0.18315656365654806
ACH-000022,0.13422836787389492
ACH-000025,0.21671635212540716
ACH-000028,0.15837563113100134
ACH-000030,0.14222292393107647
ACH-000035,0.17964943501911568
ACH-000036,0.1274205804341351
ACH-000037,0.10911900794021624
ACH-000039,0.3068423098838237
ACH-000040,0.10869182420460398
ACH-000041,0.09451311281444573
ACH-000042,0.1721449905795479
ACH-000045,0.184903643032204
ACH-000047,0.12875874049286554
ACH-000052,0.10997474474230076
ACH-000053,0.14735951687010554
ACH-000054,0.11893139852325099
ACH-000055,0.16493174728854434
ACH-000060,0.2514134750003721
ACH-000067,0.1498928950727554
ACH-000070,0.07953160045902523
ACH-000075,0.13437866473046636
ACH-000078,0.1644567622351611
ACH-000082,0.1924241827984226
ACH-000085,0.18094452614863574
ACH-000086,0.2451721350142715
ACH-000087,0.1933438431769717
ACH-000092,0.17474763593950896
ACH-000095,0.19695408704545686
ACH-000097,0.24484663289428735
ACH-000098,0.21497341678588897
ACH-000099,0.13110507547455982
ACH-000108,0.2558252584878533
ACH-000113,0.0859718132127161
ACH-000116,0.2255837831319257
ACH-000118,0.14214183310170864
ACH-000120,0.0660077060760028
ACH-000123,0.11374582531608875
ACH-000127,0.13172149619804358
ACH-000128,0.14778574997532376
ACH-000132,0.17537212564730928
ACH-000133,0.1826536661790759
ACH-000137,0.1405811532409867
ACH-000138,0.0965640766084661
ACH-000142,0.08985182447428945
ACH-000143,0.19285340996521194
ACH-000146,0.13130849594985206
ACH-000148,0.11990664476192862
ACH-000150,0.09591580689380873
ACH-000152,0.26261989007142034
ACH-000153,0.1666376165601922
ACH-000159,0.2208068081433592
ACH-000160,0.1329983996281326
ACH-000163,0.2416114414843905
ACH-000167,0.02448325568497493
ACH-000168,0.25154917051948505
ACH-000169,0.1396495862461474
ACH-000178,0.1712999990710912
ACH-000183,0.1404733690465064
ACH-000188,0.225112204401388
ACH-000189,0.28537657045132914
ACH-000190,0.2386124815016171
ACH-000198,0.19056137557089775
ACH-000203,0.12515403918424933
ACH-000204,0.2116944639731584
ACH-000206,0.14639283167030565
ACH-000207,0.03788124809204888
ACH-000208,0.3858773840434781
ACH-000210,0.12412606291838582
ACH-000211,0.08966914338146194
ACH-000215,0.11663261062442867
ACH-000221,0.13784841071256745
ACH-000222,0.20230493948690015
ACH-000223,0.08901190843138712
ACH-000226,0.20474699439252314
