,H1FOO (132243)
ACH-000004,-0.15748548025135833
ACH-000005,-0.275858043314652
ACH-000007,-0.08127853828721113
ACH-000009,-0.12220447164893734
ACH-000011,-0.2319976828324412
ACH-000012,-0.09137625818233927
ACH-000013,-0.06491442154631097
ACH-000014,-0.2963695514115314
ACH-000015,-0.14811058527948984
ACH-000017,-0.04534824513658954
ACH-000018,-0.2421667107517533
ACH-000019,-0.1244520302885532
ACH-000021,-0.22882542459941216
ACH-000022,-0.09794315255285084
ACH-000025,-0.203066721067927
ACH-000028,-0.2302564988667599
ACH-000030,-0.06205117132446013
ACH-000035,-0.3125165479491118
ACH-000036,-0.1469861058026297
ACH-000037,-0.06310996154038538
ACH-000039,-0.2054584861225245
ACH-000040,-0.019323638871633696
ACH-000041,-0.22628621709907004
ACH-000042,-0.18282267405078348
ACH-000045,-0.28526469394633003
ACH-000047,-0.04435824765458941
ACH-000052,-0.0997902418983498
ACH-000053,-0.14671020450601172
ACH-000054,-0.3546539911924053
ACH-000055,-0.26877437139629456
ACH-000060,-0.1581753170375638
ACH-000067,-0.3071748734226826
ACH-000070,-0.2317841995571321
ACH-000075,-0.2585095628139452
ACH-000078,-0.3528746357513061
ACH-000082,-0.1808268338724164
ACH-000085,-0.30926464701163225
ACH-000086,-0.188529285476746
ACH-000087,0.013831201550277934
ACH-000092,-0.1544495356247159
ACH-000095,-0.34936988805736763
ACH-000097,-0.1540639109756862
ACH-000098,-0.09175767141174013
ACH-000099,-0.09513264226790524
ACH-000108,-0.15250286524556927
ACH-000113,-0.17803140147713925
ACH-000116,-0.2517972321549825
ACH-000118,-0.2328792708012269
ACH-000120,-0.11909757138184787
ACH-000123,-0.2285576618916713
ACH-000127,-0.14704729030955888
ACH-000128,-0.1933057429039172
ACH-000132,-0.10464925429059553
ACH-000133,-0.25047490524251825
ACH-000137,-0.3557506829206651
ACH-000138,-0.25050989190148465
ACH-000142,-0.17271539137872632
ACH-000143,0.03262268387740825
ACH-000146,-0.13289570880859816
ACH-000148,-0.17311348695351286
ACH-000150,-0.16218999967032285
ACH-000152,-0.1849879180420453
ACH-000153,-0.17508764249311742
ACH-000159,-0.08517689962644208
ACH-000160,-0.033509113867119134
ACH-000163,-0.0951337758618886
ACH-000167,0.4194126167284896
ACH-000168,-0.2995839365625593
ACH-000169,-0.15066467012707765
ACH-000178,-0.15284240589347622
ACH-000183,-0.28675468752315925
ACH-000188,-0.14584111215151405
ACH-000189,-0.3965933503854761
ACH-000190,0.0005946388191552592
ACH-000198,-0.1588273325133503
ACH-000203,-0.3366093456953792
ACH-000204,-0.12089100456149587
ACH-000206,-0.03701499577475113
ACH-000207,-0.2609123976159076
ACH-000208,-0.38642883806320577
ACH-000210,-0.04645361994858393
ACH-000211,-0.15325114637261414
ACH-000215,-0.12841962839082138
ACH-000221,-0.3234512981599784
ACH-000222,-0.04892489133846988
ACH-000223,-0.09460143389149116
ACH-000226,-0.011221945164535507
ACH-000227,-0.17430874302747398
ACH-000228,-0.17580271669764244
ACH-000231,-0.13635860802621716
ACH-000232,-0.11108077619613148
ACH-000233,-0.2420437093723828
ACH-000234,-0.28662527050300785
ACH-000235,-0.14664143865768842
ACH-000237,-0.027351993829032428
ACH-000238,-0.08139485685164281
ACH-000242,-0.034219667771204915
ACH-000243,-0.08742004393251959
ACH-000244,-0.2543273939145888
ACH-000246,0.003245889659025616
ACH-000248,-0.2218914276475612
ACH-000250,-0.2086445185219011
ACH-000251,-0.4079612693740001
ACH-000252,0.04559434313128386
ACH-000253,-0.19510361606573415
ACH-000255,-0.2770835652042151
ACH-000256,-0.10059459026271632
ACH-000257,-0.1971207124561183
ACH-000258,-0.16927024801999085
ACH-000259,-0.13087244541582396
ACH-000260,-0.24552855370022525
ACH-000261,-0.18050830974603005
ACH-000262,-0.06970664429839937
ACH-000263,-0.205743296598103
ACH-000264,-0.26212404545019113
ACH-000265,-0.24914642028602865
ACH-000266,-0.12888989580299826
ACH-000272,-0.12630893349484634
ACH-000274,-0.1869711542613485
ACH-000277,-0.1899369761988376
ACH-000278,0.015535622232768538
ACH-000279,-0.1972560608491717
ACH-000280,-0.19196988837514486
ACH-000281,-0.21656909591765508
ACH-000288,-0.1497286375287113
ACH-000291,-0.08212037064563826
ACH-000293,-0.4031272938604815
