,RHBDD2 (57414)
ACH-000004,0.1748270188438601
ACH-000005,0.34364465011733875
ACH-000007,-0.02978993924846029
ACH-000009,0.3404603306969676
ACH-000011,0.15076166677244368
ACH-000012,-0.035394837068908815
ACH-000013,0.07850284017247347
ACH-000014,0.26327163298280515
ACH-000015,0.23240310938610764
ACH-000017,0.1786112159214917
ACH-000018,0.15755587893016662
ACH-000019,0.19681438263888734
ACH-000021,-0.17693299607808194
ACH-000022,-0.07555147857881503
ACH-000025,0.16432087115603175
ACH-000028,0.02471208524955824
ACH-000030,0.16987401553938694
ACH-000035,0.02885897221102665
ACH-000036,0.034652483527180575
ACH-000037,0.011846592081542337
ACH-000039,0.3574833064243204
ACH-000040,0.07674697722629087
ACH-000041,0.2981288205094916
ACH-000042,0.0780155685412832
ACH-000045,0.048514523866041256
ACH-000047,0.0016705985811379144
ACH-000052,-0.18481725051114356
ACH-000053,0.2028894852107852
ACH-000054,0.11899860497617487
ACH-000055,0.08146748554377012
ACH-000060,0.10710929718074627
ACH-000067,0.05544496998552839
ACH-000070,0.16840946038733606
ACH-000075,-0.07716851236052295
ACH-000078,0.15639770938769587
ACH-000082,-0.06058713090750206
ACH-000085,0.1911929543340811
ACH-000086,0.19434603297693695
ACH-000087,-0.0037397724929010335
ACH-000092,0.08348416063186248
ACH-000095,0.05724960063655251
ACH-000097,0.002322404210177173
ACH-000098,0.012580771044446278
ACH-000099,0.09013145634962204
ACH-000108,0.11323722423371975
ACH-000113,0.1934670514938376
ACH-000116,0.09896219289693688
ACH-000118,0.04662817789749723
ACH-000120,0.0033352791051606072
ACH-000123,0.08748593948349015
ACH-000127,0.05490983687209596
ACH-000128,-0.08073272821814008
ACH-000132,0.07787754175050624
ACH-000133,0.18310349136851148
ACH-000137,0.3260210223310134
ACH-000138,0.1493478155230586
ACH-000142,0.17821089223961106
ACH-000143,-0.10664302285776232
ACH-000146,-0.003743288647229584
ACH-000148,0.14178217912048444
ACH-000150,0.187744168175992
ACH-000152,0.06416064429913834
ACH-000153,-0.03803492535644648
ACH-000159,0.034302563772209214
ACH-000160,0.08929641719848888
ACH-000163,-0.06775823321635936
ACH-000167,0.3712408915429176
ACH-000168,0.001989258244211536
ACH-000169,-0.082490183458393
ACH-000178,0.06011675384125259
ACH-000183,0.19192709395972266
ACH-000188,0.12363537165564295
ACH-000189,0.2241043486342947
ACH-000190,-0.1835040830034541
ACH-000198,-0.04597364325539338
ACH-000203,0.1524408587196998
ACH-000204,0.17506792566530716
ACH-000206,0.10409469652407516
ACH-000207,0.020984455585906375
ACH-000208,-0.007738094228418766
ACH-000210,-0.11583517260746265
ACH-000211,0.0532515412831915
ACH-000215,0.09626291331933168
ACH-000221,-0.12146971996876413
ACH-000222,0.12909280597403994
ACH-000223,0.16071504980281304
ACH-000226,0.08088390345490536
ACH-000227,0.14542095041934291
ACH-000228,0.2568934596754837
ACH-000231,0.13446863631727168
