,HRSP12 (10247)
ACH-000004,-0.13246337693037818
ACH-000005,0.3700566268696695
ACH-000007,-0.027502627111980756
ACH-000009,-0.06885716871499621
ACH-000011,-0.1000421568267871
ACH-000012,-0.029738809593809663
ACH-000013,-0.12279450158013855
ACH-000014,0.005958782025374623
ACH-000015,-0.12626224464253188
ACH-000017,-0.024824944453414686
ACH-000018,-0.11745322275187503
ACH-000019,-0.09191796883670698
ACH-000021,-0.08262456121570838
ACH-000022,0.04275358052751105
ACH-000025,-0.2516532262012117
ACH-000028,-0.0238070060278206
ACH-000030,-0.10959933676471308
ACH-000035,0.013120561128801226
ACH-000036,-0.054744041937007916
ACH-000037,-0.10156966440325528
ACH-000039,-0.05798054416984096
ACH-000040,-0.06232841831281252
ACH-000041,-0.009752793486272723
ACH-000042,-0.0513590542408281
ACH-000045,0.11119267118161016
ACH-000047,-0.2708933099525317
ACH-000052,-0.1100800442674384
ACH-000053,-0.05366908744157678
ACH-000054,-0.08277407257395614
ACH-000055,-0.4452008251057741
ACH-000060,-0.26083569651878785
ACH-000067,0.04612975499870031
ACH-000070,0.028631684130813274
ACH-000075,-0.09561443068833954
ACH-000078,-0.13308672078582265
ACH-000082,-0.023134943876523387
ACH-000085,-0.04696566977893517
ACH-000086,0.032447207271672884
ACH-000087,-0.360655956467971
ACH-000092,-0.1984133642722402
ACH-000095,-0.03658411232072933
ACH-000097,-0.03623097180319591
ACH-000098,-0.13768067325519334
ACH-000099,-0.19657189883196333
ACH-000108,0.011626262740771515
ACH-000113,-0.10061618016170287
ACH-000116,-0.11706391076668493
ACH-000118,-0.20869805789240886
ACH-000120,-0.07274069559890045
ACH-000123,-0.2597398183791436
ACH-000127,-0.014663706843268497
ACH-000128,-0.09649448237717116
ACH-000132,-0.07285775195250009
ACH-000133,-0.04522938967758739
ACH-000137,-0.030982955575554014
ACH-000138,-0.12506371953057405
ACH-000142,-0.15220774250023375
ACH-000143,-0.014103286214098
ACH-000146,-0.053818175458596136
ACH-000148,-0.0959985746787794
ACH-000150,-0.1153550519502009
ACH-000152,0.0019427831765870386
ACH-000153,-0.11735281881596925
ACH-000159,-0.07926883147291018
ACH-000160,-0.2427138055221803
ACH-000163,-0.30621719070231673
ACH-000167,-0.0908504170768532
ACH-000168,0.17562315337158507
ACH-000169,-0.1367516947923055
ACH-000178,-0.18382510995563128
ACH-000183,-0.14810602542664228
ACH-000188,-0.1115158683655592
ACH-000189,-0.18202195140781027
ACH-000190,-0.3839253361383079
ACH-000198,-0.06045755813851692
ACH-000203,-0.16859025127875585
ACH-000204,0.033977326132171824
ACH-000206,-0.07215768882116007
ACH-000207,-0.2901196463911451
ACH-000208,-0.17402428682911436
ACH-000210,-0.03405721116487151
ACH-000211,0.021875409154593628
ACH-000215,-0.06252591890662762
ACH-000221,-0.02145300745799266
ACH-000222,-0.03552231187488767
ACH-000223,-0.1530195338176333
ACH-000226,-0.1911826683694168
ACH-000227,-0.11678745070419234
ACH-000228,-0.1566509624292853
ACH-000231,-0.10209033968973212
ACH-000232,-0.01940909378117085
ACH-000233,-0.19716240024794274
ACH-000234,-0.043884925786173916
ACH-000235,-0.12898588469256853
ACH-000237,-0.12180974293427148
ACH-000238,0.016260604404505368
ACH-000242,-0.10743597209806942
ACH-000243,-0.12881069829994776
ACH-000244,0.13576780097178562
ACH-000246,-0.11608884802327052
ACH-000248,-0.1535576220544298
ACH-000250,-0.14333284004732444
ACH-000251,-0.12014942928267824
ACH-000252,-0.17168521094290615
ACH-000253,-0.0731784592750595
ACH-000255,-0.017292626913963136
ACH-000256,-0.2096448273785045
ACH-000257,-0.2509554734577295
ACH-000258,-0.07393626742001648
ACH-000259,-0.03486477918576693
ACH-000260,-0.09411267579693068
ACH-000261,-0.14557812259957692
ACH-000262,-0.06938001812564909
ACH-000263,-0.15230218279032387
ACH-000264,-0.08807781263647907
ACH-000265,-0.08946146283263072
ACH-000266,-0.05849643954175776
ACH-000272,-0.10039224151502248
ACH-000274,-0.1636344963434114
ACH-000277,-0.19582767610837384
ACH-000278,-0.06845585473694812
ACH-000279,-0.09683677214643767
ACH-000280,-0.09550664885783997
ACH-000281,0.026766692123246914
ACH-000288,0.0010684693204071024
ACH-000291,-0.20406415261058947
ACH-000293,-0.010914650762932058
ACH-000294,-0.1515903173391671
ACH-000295,-0.03862259365277481
ACH-000296,-0.22845785283303624
ACH-000302,-0.04824950156039432
ACH-000304,-0.2869245474601617
ACH-000307,-0.2003378370123281
ACH-000308,-0.11376025402279075
ACH-000310,-0.05928627318733889
