,PEX11B (8799)
ACH-000004,-0.10856494948666562
ACH-000005,0.12197071801567702
ACH-000007,-0.20672436470976946
ACH-000009,-0.4169042306128451
ACH-000011,-0.1618902497086455
ACH-000012,-0.3172333964629748
ACH-000013,-0.2298281182746754
ACH-000014,-0.2178944843431613
ACH-000015,-0.22124449380807493
ACH-000017,-0.2004299316219132
ACH-000018,-0.2266027295349895
ACH-000019,-0.334100865014563
ACH-000021,-0.3317195507929097
ACH-000022,-0.1830298727052053
ACH-000025,-0.4168978971806181
ACH-000028,-0.36165395926500576
ACH-000030,-0.26723221887021525
ACH-000035,-0.32297316349184224
ACH-000036,-0.05682045249128612
ACH-000037,-0.2274133665225813
ACH-000039,-0.5207875643009497
ACH-000040,-0.2449125832305188
ACH-000041,-0.30559435791036305
ACH-000042,-0.20543516190550612
ACH-000045,-0.2711851655792525
ACH-000047,-0.12883868265455373
ACH-000052,-0.2154064660972109
ACH-000053,-0.2724884635279133
ACH-000054,-0.1548602036998282
ACH-000055,-0.04234876643345509
ACH-000060,-0.2119948948058323
ACH-000067,-0.145406208194793
ACH-000070,-0.39116448607232707
ACH-000075,-0.35270565533031
ACH-000078,-0.2688752217229969
ACH-000082,-0.19942636392386295
ACH-000085,-0.12759759289218456
ACH-000086,-0.33059885840936143
ACH-000087,-0.15371265433357964
ACH-000092,-0.3157804434532068
ACH-000095,-0.1912737337101981
ACH-000097,-0.2709308864714305
ACH-000098,-0.3248161864125713
ACH-000099,-0.18194417504223945
ACH-000108,-0.20207745232016106
ACH-000113,-0.2535295065031877
ACH-000116,-0.1981066268886013
ACH-000118,-0.4233512784434277
ACH-000120,-0.1078921881211093
ACH-000123,-0.1667951222883446
ACH-000127,-0.2887929521792465
ACH-000128,-0.2914473630625599
ACH-000132,-0.2329276565086522
ACH-000133,-0.4383555705710797
ACH-000137,-0.30698490306855203
ACH-000138,-0.13808445362138747
ACH-000142,-0.3295314286549349
ACH-000143,-0.09316004417539857
ACH-000146,-0.15765613336512566
ACH-000148,-0.23442436722292245
ACH-000150,-0.10767102868538632
ACH-000152,-0.36129299404779375
ACH-000153,-0.5061095083352165
ACH-000159,-0.3039370045008827
ACH-000160,-0.36004540080830644
ACH-000163,-0.15667079420825966
ACH-000167,-0.1145654096131809
ACH-000168,-0.1185687820440356
ACH-000169,-0.25184554974279233
ACH-000178,-0.2531088387184992
ACH-000183,-0.4051472889345835
ACH-000188,-0.2706334072877526
ACH-000189,-0.25258828507445624
ACH-000190,-0.14118323141175945
ACH-000198,-0.2752742252691364
ACH-000203,-0.28871334385053804
ACH-000204,-0.4421976361849265
ACH-000206,-0.10762322642500226
ACH-000207,-0.107156293996944
ACH-000208,-0.13058478607345214
ACH-000210,-0.33342041375164105
ACH-000211,-0.28331520923043546
ACH-000215,-0.3858357757833349
