,METAP2 (10988)
ACH-000004,-0.7827336034496903
ACH-000005,-0.4733297014482679
ACH-000007,-0.6997626279642863
ACH-000009,-0.6544779641543925
ACH-000011,-0.7000894440881977
ACH-000012,-0.6006153437036988
ACH-000013,-0.5309837957145938
ACH-000014,-0.3237871940324885
ACH-000015,-0.6677952058890629
ACH-000017,-0.4124850035249967
ACH-000018,-0.777578585041612
ACH-000019,-0.5264679659573653
ACH-000021,-0.6084192394495868
ACH-000022,-0.3747106646986461
ACH-000025,-0.6825041462448747
ACH-000028,-0.6093953069803345
ACH-000030,-0.6397644670254002
ACH-000035,-0.4971040852997373
ACH-000036,-0.7054048056008322
ACH-000037,-0.6787972434889007
ACH-000039,-0.5205702477044439
ACH-000040,-0.5524302134758985
ACH-000041,-0.6399433338959787
ACH-000042,-0.5132995870182029
ACH-000045,-0.3528647511001996
ACH-000047,-0.4671275435943095
ACH-000052,-0.7055911212043332
ACH-000053,-0.6244063535006593
ACH-000054,-0.6118253625802782
ACH-000055,-0.3530504566568073
ACH-000060,-0.7557658964878996
ACH-000067,-0.7367474484373255
ACH-000070,-0.5040706578308278
ACH-000075,-0.7596211823038499
ACH-000078,-0.4430838848545895
ACH-000082,-0.08629862442594106
ACH-000085,-0.4902965977014428
ACH-000086,-0.8408403509906072
ACH-000087,-0.5167862925589388
ACH-000092,-0.8137739199356357
ACH-000095,-0.6078581731876832
ACH-000097,-0.5516665873262789
ACH-000098,-0.6802887544708612
ACH-000099,-0.8325722327924459
ACH-000108,-0.5764867931318798
ACH-000113,-0.3875353818611381
ACH-000116,-0.4393709360756568
ACH-000118,-0.6221034894319736
ACH-000120,-0.6766759744242422
ACH-000123,-0.4606879377014543
ACH-000127,-0.6987701653509024
ACH-000128,-0.7496712031229454
ACH-000132,-0.4115722635965501
ACH-000133,-0.4426827109997552
ACH-000137,-0.950395210844148
ACH-000138,-0.5652131666818297
ACH-000142,-0.4592596096507381
ACH-000143,-0.7939513736318283
ACH-000146,-0.23557774219289834
ACH-000148,-0.3936211599658655
ACH-000150,-0.682177673162801
ACH-000152,-0.5964230028681572
ACH-000153,-0.8578062001276799
ACH-000159,-0.3991714040404349
ACH-000160,-0.6468581485667737
ACH-000163,-0.4661395450567266
ACH-000167,-0.7221060585626798
ACH-000168,-0.41121128562366
ACH-000169,-0.5899679045286332
ACH-000178,-0.7210625807359112
ACH-000183,-0.5149667446879678
ACH-000188,-0.7472745416562092
ACH-000189,-0.5111736855987609
ACH-000190,-0.7740552942054163
ACH-000198,-0.5550486119100723
ACH-000203,-0.8850658692825959
ACH-000204,-0.5124095723698152
ACH-000206,-0.4452782072970454
ACH-000207,-0.8140215934106937
ACH-000208,-0.4621130428249667
ACH-000210,-0.3949280622456526
ACH-000211,-0.7981939913817737
ACH-000215,-0.7738192292983652
ACH-000221,-0.500954765503973
ACH-000222,-0.5497162639523301
ACH-000223,-0.6299158413541187
ACH-000226,-0.6012167862859533
ACH-000227,-0.43637541674833374
ACH-000228,-0.5391309590770734
ACH-000231,-0.5161121158715674
ACH-000232,-0.7286090757221201
ACH-000233,-0.4858285530843925
ACH-000234,-0.5096405102024132
ACH-000235,-0.4767945863632998
ACH-000237,-0.4673688185153875
ACH-000238,-0.5896430113883204
ACH-000242,-0.24659937096431464
ACH-000243,-0.7111290473845849
ACH-000244,-0.36901010498090137
ACH-000246,-0.630541446549209
ACH-000248,-0.8742963888647971
ACH-000250,-0.5066334634664804
ACH-000251,-1.0018655434563073
ACH-000252,-0.7417177590320218
ACH-000253,-0.3340379241884239
ACH-000255,-0.6114263026265475
ACH-000256,-0.2986067354075238
ACH-000257,-0.5496506771075106
ACH-000258,-0.3694760526869192
ACH-000259,-0.5805183885890014
ACH-000260,-0.7666775514908573
ACH-000261,-0.9192226471356628
ACH-000262,-0.688835319137256
ACH-000263,-0.4961101599034321
ACH-000264,-0.5165968746585251
ACH-000265,-0.543293182962426
ACH-000266,-0.634891836179835
ACH-000272,-0.6493982587197498
ACH-000274,-0.430290226154399
ACH-000277,-0.5962392687482047
ACH-000278,-0.5453811322463332
ACH-000279,-0.6188739898019903
ACH-000280,-0.5234266556519779
ACH-000281,-0.6319919839728271
ACH-000288,-0.6607963207030451
ACH-000291,-0.8669758493362665
ACH-000293,-0.2772948716479552
ACH-000294,-0.3876714310599466
ACH-000295,-0.2360155390975591
ACH-000296,-0.4860131101366274
ACH-000302,-0.4327516270814856
ACH-000304,-0.8496162464270123
ACH-000307,-0.75432650491545
ACH-000308,-0.6118041291573313
ACH-000310,-0.5810430711604716
ACH-000311,-0.6073217394974584
ACH-000312,-0.4930118691128217
ACH-000315,-0.5000547651334206
ACH-000316,-0.7141819654247178
ACH-000317,-0.5657221708807473
ACH-000318,-0.5132089496870268
ACH-000319,-0.5589778406855228
ACH-000320,-0.7099144837807374
ACH-000322,-0.5289217913810534
ACH-000323,-0.7024296995856554
ACH-000324,-0.6444229945475108
ACH-000329,-0.4102103646213203
ACH-000330,-0.6968671864189386
ACH-000331,-0.6102478492244209
ACH-000332,-0.5211059627898247
ACH-000334,-0.5508316296345371
ACH-000335,-0.9325149974502486
ACH-000336,-0.33534814355593456
ACH-000337,-0.6513054977903137
ACH-000338,-1.2903350469620205
ACH-000339,-0.5671955025655768
ACH-000341,-0.7046524779904737
ACH-000348,-0.6889509153301261
ACH-000350,-0.2496805524059643
ACH-000352,-0.5614315422367252
ACH-000356,-0.8337138988670741
ACH-000361,-0.3398768204018771
ACH-000362,-0.55199886459042
ACH-000363,-0.4023249446520927
ACH-000364,-0.7018991861562783
ACH-000365,-0.3129069070505362
ACH-000366,-0.5649554443188225
ACH-000368,-0.515160839063055
ACH-000374,-0.4062299838915304
ACH-000375,-0.7666885224832819
ACH-000376,-0.7762663383211864
ACH-000381,-0.4281626575655262
ACH-000383,-0.5000532620316539
ACH-000387,-0.7147830440192274
ACH-000389,-0.720175688571929
ACH-000390,-0.5780353356037978
ACH-000393,-0.6796739038265892
ACH-000395,-0.43604564481385744
ACH-000396,-0.6281378953272911
ACH-000397,-0.49030908515430704
ACH-000401,-0.5741945272001728
ACH-000402,-0.06226594536594305
ACH-000403,-0.4466416596269766
ACH-000404,-0.5294348537993112
ACH-000406,-0.6361465404167026
ACH-000407,-0.7757803070413422
ACH-000408,-0.6526859515265757
ACH-000410,-0.3899407169106149
ACH-000411,-0.7915740167818044
ACH-000414,-0.6153046700364789
ACH-000415,-0.41411265193039865
ACH-000416,-0.6199187734724351
ACH-000420,-0.8088245918541732
ACH-000421,-0.6074806343442244
ACH-000424,-0.6822944399968722
ACH-000425,-0.7617563572488556
ACH-000426,-0.3569120548144385
ACH-000427,-0.5762940868051674
ACH-000433,-0.8300947051714129
ACH-000435,-0.23229361937878276
ACH-000436,-0.3959155783065324
ACH-000444,-0.6762072171346228
ACH-000445,-0.4896480260759596
ACH-000448,-0.5457930996895828
ACH-000450,-0.5403982417874037
ACH-000452,-0.4771851961739839
ACH-000454,-0.7409028049664156
ACH-000458,-0.6149591389567061
ACH-000459,-0.4457348989576742
ACH-000460,-0.5405517531897629
ACH-000461,-0.4787302876155329
ACH-000463,-0.6636710768332466
ACH-000464,-0.6769729301001346
ACH-000466,-0.5792710622849214
ACH-000467,-0.8298004293529169
ACH-000468,-0.7834640322597166
ACH-000469,-0.687454610311993
ACH-000470,-0.4574839335257725
ACH-000471,-0.5905606682338908
ACH-000472,-0.7588138423664131
ACH-000473,-0.8132249922894071
ACH-000475,-0.6977565172146742
ACH-000476,-0.7015909653810158
ACH-000477,-0.4735553147384056
ACH-000479,-0.5428111127542924
ACH-000480,-0.7697295889966965
ACH-000481,-0.3404688102898419
ACH-000483,-0.531006785218793
ACH-000484,-0.28272295147700977
ACH-000485,-0.6546695910128338
ACH-000486,-0.6418996627121624
ACH-000487,-0.3690889967460744
ACH-000488,-0.538402508430908
ACH-000490,-0.4734580766849016
ACH-000491,-0.3718547054262082
ACH-000495,-0.5741326524928186
ACH-000496,-0.7220811381943293
ACH-000499,-0.8721982294064692
ACH-000500,-0.7679714710128611
ACH-000502,-0.5566920432531107
ACH-000503,-0.3414079168343975
ACH-000505,-0.5687224208235
ACH-000507,-0.6054547381286483
ACH-000510,-0.6017902165141394
ACH-000511,-0.6132419860042831
ACH-000512,-0.2641302767361485
ACH-000516,-0.5589287008569291
ACH-000517,-0.2319715059897175
ACH-000518,-0.4966996883493111
ACH-000520,-0.8479766490933142
ACH-000521,-0.5508802916631537
ACH-000522,-0.8140447532276746
ACH-000524,-0.4004158756297397
ACH-000527,-0.619552700650214
