,BDP1 (55814)
ACH-000004,-0.6218974741695148
ACH-000005,-1.066507971842371
ACH-000007,-0.5343039393769289
ACH-000009,-0.6448240649644976
ACH-000011,-0.7053830401525341
ACH-000012,-0.588074639932016
ACH-000013,-0.5753439478572377
ACH-000014,-0.6517218551540651
ACH-000015,-0.8310527036625663
ACH-000017,-0.8749416542174785
ACH-000018,-0.7951019769653518
ACH-000019,-0.438294627015752
ACH-000021,-0.6690612499672804
ACH-000022,-0.42326323034112
ACH-000025,-0.5880468905115418
ACH-000028,-0.257570479286552
ACH-000030,-0.7695078097524192
ACH-000035,-0.6257814279345655
ACH-000036,-0.7743580904983092
ACH-000037,-0.7546722309979015
ACH-000039,-0.4636675883372711
ACH-000040,-0.4504290510577065
ACH-000041,-0.6264469034306994
ACH-000042,-0.5961940428311595
ACH-000045,-0.7886748058996882
ACH-000047,-0.8984123570488765
ACH-000052,-0.8940970363546885
ACH-000053,-0.5480127910670675
ACH-000054,-0.7181562695831742
ACH-000055,-0.8048867403794698
ACH-000060,-0.26092216055341216
ACH-000067,-0.8640406900819774
ACH-000070,-0.7557590504898384
ACH-000075,-0.8477927954463524
ACH-000078,-0.5866224327948611
ACH-000082,-0.8529192084820841
ACH-000085,-0.6277158838403036
ACH-000086,-0.5645859218421156
ACH-000087,-0.7538080789094391
ACH-000092,-0.507588920112678
ACH-000095,-0.6539069460550141
ACH-000097,-0.4137649097824874
ACH-000098,-0.5201775710727976
ACH-000099,-0.6576214740336179
ACH-000108,-0.8070533031577577
ACH-000113,-0.6741425119246788
ACH-000116,-0.9735706220068828
ACH-000118,-0.5219485624783435
ACH-000120,-0.6965229880603947
ACH-000123,-0.7551487193620705
ACH-000127,-0.6189704434159399
ACH-000128,-0.5277950299157589
ACH-000132,-0.3922725352027441
ACH-000133,-0.4159507841118393
ACH-000137,-0.7737336812023158
ACH-000138,-0.6119011345321853
ACH-000142,-0.4995181347352685
ACH-000143,-0.5496649047920922
ACH-000146,-0.4647357335158533
ACH-000148,-0.7893790738135162
ACH-000150,-0.6612213356741973
ACH-000152,-0.4518791946051788
ACH-000153,-0.5334776931264179
ACH-000159,-0.6803673680705046
ACH-000160,-0.09476146186703452
ACH-000163,-1.0229971935590267
ACH-000167,-0.019325869042893098
ACH-000168,-0.6158674949745405
ACH-000169,-0.6362787012686809
ACH-000178,-0.7959474856232859
ACH-000183,-0.6923920353780133
ACH-000188,-0.6144282570552566
ACH-000189,-0.6520621304612695
ACH-000190,-0.2549076717227759
ACH-000198,-0.5927933213963635
ACH-000203,-0.11935642932576933
ACH-000204,-0.9266340593367851
ACH-000206,-0.3102593426264991
ACH-000207,-0.8533305543465133
ACH-000208,-1.045874556225116
ACH-000210,-0.5416347406057606
ACH-000211,-0.6371290392982459
ACH-000215,-0.5645425085901518
ACH-000221,-0.9618291297896171
ACH-000222,-0.5058379945670363
ACH-000223,-0.644110939506682
ACH-000226,-0.5864591138537665
ACH-000227,-0.6045415829819379
ACH-000228,-0.9262496509209284
ACH-000231,-0.5429530259534308
ACH-000232,-0.6535982844898865
ACH-000233,-0.2922331996392413
ACH-000234,-0.6203337559166531
ACH-000235,-0.6501628952916109
ACH-000237,-0.6237898477483803
ACH-000238,-0.9327906738036214
ACH-000242,-0.2639580306093998
ACH-000243,-0.5770156838627295
