,QARS (5859)
ACH-000004,-1.1220529230637764
ACH-000005,-1.1373311492784843
ACH-000007,-0.8918897435579932
ACH-000009,-1.012180719335555
ACH-000011,-1.0447988228974463
ACH-000012,-1.2494933501399457
ACH-000013,-1.0922905210932523
ACH-000014,-1.0055932274374917
ACH-000015,-1.273728734000809
ACH-000017,-0.982330100493896
ACH-000018,-1.0987280335341114
ACH-000019,-0.9053880688574436
ACH-000021,-1.0813803076395294
ACH-000022,-1.1770512088940217
ACH-000025,-0.9791542701936856
ACH-000028,-0.9304242972406569
ACH-000030,-1.064773416937641
ACH-000035,-1.0565873217115482
ACH-000036,-0.8090461437466658
ACH-000037,-0.622646158491136
ACH-000039,-1.0926613485344094
ACH-000040,-1.0348968304011479
ACH-000041,-1.0248298295846368
ACH-000042,-1.1830956734901898
ACH-000045,-0.9394167459778008
ACH-000047,-1.1196712466617402
ACH-000052,-1.2636952959680414
ACH-000053,-1.043078491830706
ACH-000054,-1.200085902408176
ACH-000055,-1.0746610424804213
ACH-000060,-1.0967194055148113
ACH-000067,-0.8291436420906142
ACH-000070,-0.9177006843003036
ACH-000075,-1.12290713487152
ACH-000078,-0.9992284491608956
ACH-000082,-0.9539689854138476
ACH-000085,-1.2044798388232498
ACH-000086,-0.8583743099347869
ACH-000087,-0.9873208334362816
ACH-000092,-1.1112354563523512
ACH-000095,-1.145045289717127
ACH-000097,-1.0665810167645478
ACH-000098,-1.0554460366888538
ACH-000099,-0.9566183318052962
ACH-000108,-1.2112645629294014
ACH-000113,-1.0768934781271118
ACH-000116,-0.8869879199971629
ACH-000118,-0.9971102752513245
ACH-000120,-1.0582566262590347
ACH-000123,-1.0261287991634906
ACH-000127,-1.2750054633393757
ACH-000128,-1.0659161524778658
ACH-000132,-1.0280755995191182
ACH-000133,-0.9348411090155859
ACH-000137,-1.1063171426470064
ACH-000138,-1.143704210329809
ACH-000142,-1.0210247940174766
ACH-000143,-0.8911301530730612
ACH-000146,-0.9860361090823256
ACH-000148,-1.028620165525962
ACH-000150,-0.9806367512333821
ACH-000152,-0.9324927875628852
ACH-000153,-0.8974538987768619
ACH-000159,-1.0176084560682055
ACH-000160,-1.0950729426803223
ACH-000163,-0.9388585290161028
ACH-000167,-1.129407915355903
ACH-000168,-1.1402480320099142
ACH-000169,-1.138040495932227
ACH-000178,-0.9936727295951548
ACH-000183,-1.2418327546745125
ACH-000188,-1.1668722658267998
ACH-000189,-0.9833878126442912
ACH-000190,-1.1694517559739654
ACH-000198,-1.0083274363980106
ACH-000203,-1.1522772064240605
ACH-000204,-1.0435066697752111
ACH-000206,-1.0005642402894552
ACH-000207,-0.7210679961475268
ACH-000208,-1.3511117806744035
ACH-000210,-0.9867933792256308
ACH-000211,-1.1600852270317583
ACH-000215,-1.029932251538285
ACH-000221,-1.5091901055036856
ACH-000222,-1.0362345030724394
ACH-000223,-0.8950056283928582
ACH-000226,-0.9423702702606246
ACH-000227,-1.2473313540431408
ACH-000228,-1.3027385411090646
ACH-000231,-1.1610640114733517
ACH-000232,-0.9516823532771629
ACH-000233,-1.2322439016481428
ACH-000234,-1.1537058761931978
ACH-000235,-1.094158041592456
