,VSIG10L (147645)
ACH-000004,-0.06634457321030073
ACH-000005,-0.2145336330381135
ACH-000007,-0.1853988277729663
ACH-000009,-0.08660641874406319
ACH-000011,-0.1218815125518371
ACH-000012,-0.113955658308924
ACH-000013,-0.39341029840070096
ACH-000014,-0.11568872759304767
ACH-000015,-0.12993088074431094
ACH-000017,-0.16930428042534754
ACH-000018,-0.17155471883047765
ACH-000019,-0.3805464167717998
ACH-000021,-0.12118694596482806
ACH-000022,-0.2823395496971343
ACH-000025,-0.04200003080113842
ACH-000028,-0.2626742153225185
ACH-000030,-0.2349661762078935
ACH-000035,-0.12126330034365435
ACH-000036,-0.21610046497736055
ACH-000037,-0.09941640180035276
ACH-000039,-0.20511844518400896
ACH-000040,-0.12233855948026898
ACH-000041,-0.2986686971685785
ACH-000042,-0.0610722777142628
ACH-000045,-0.19305716631227512
ACH-000047,-0.1838825640019257
ACH-000052,-0.2860247722792502
ACH-000053,-0.1356540348634717
ACH-000054,-0.28432552696441177
ACH-000055,-0.16070490655654138
ACH-000060,-0.0926217125475474
ACH-000067,-0.3705913343531922
ACH-000070,-0.023172249968450447
ACH-000075,-0.1553561497171252
ACH-000078,-0.04676664875778105
ACH-000082,-0.10212334968530573
ACH-000085,-0.2492250493892117
ACH-000086,-0.2220850038846422
ACH-000087,-0.2796782954606315
ACH-000092,-0.22813022861777535
ACH-000095,-0.056343546806111436
ACH-000097,-0.2583678799861873
ACH-000098,-0.18822703340799285
ACH-000099,-0.2051250368947948
ACH-000108,-0.2325776817264747
ACH-000113,-0.0815448918946593
ACH-000116,-0.2327471366210216
ACH-000118,-0.07634214880623377
ACH-000120,-0.08604526931802607
ACH-000123,-0.13265442540988812
ACH-000127,-0.09799025972886
ACH-000128,-0.12361559517588368
ACH-000132,-0.06860683081748756
ACH-000133,-0.2344709974590767
ACH-000137,-0.3011040524283699
ACH-000138,-0.16784576249308966
ACH-000142,-0.15465629841966896
ACH-000143,-0.1646167663128602
ACH-000146,-0.18056381057542226
ACH-000148,-0.01988012135422968
ACH-000150,-0.08318199532915692
ACH-000152,-0.27826962769329955
ACH-000153,-0.2431943473615552
ACH-000159,-0.18104926844939853
ACH-000160,-0.18900075142358025
ACH-000163,-0.036850196543121515
ACH-000167,-0.10706435553853144
ACH-000168,-0.06864597025365557
ACH-000169,-0.18001620963707493
