,BOK (666)
ACH-000004,0.10944067777571473
ACH-000005,0.2139142969306396
ACH-000007,0.1143761688915562
ACH-000009,-0.08375292009792779
ACH-000011,-0.07222948539473356
ACH-000012,-0.03567323607147815
ACH-000013,-0.007332096360817909
ACH-000014,-0.0801233935150644
ACH-000015,-2.7415794658635997e-05
ACH-000017,0.005442326087345054
ACH-000018,-0.049395357507577536
ACH-000019,-0.03971500118781743
ACH-000021,-0.052192462371465874
ACH-000022,0.08371269734383606
ACH-000025,-0.06445899810634964
ACH-000028,-0.01975996218892883
ACH-000030,0.08405422722737924
ACH-000035,-0.09890961137408227
ACH-000036,-0.09568909295258496
ACH-000037,0.058556278908084014
ACH-000039,0.026966370376159288
ACH-000040,-0.19515089834757507
ACH-000041,-0.03774355991818501
ACH-000042,-0.022314678581583026
ACH-000045,-0.0067840315856568
ACH-000047,-0.24336471857582426
ACH-000052,-0.044285705751153766
ACH-000053,-0.16211156690057854
ACH-000054,-0.15305081663282588
ACH-000055,-0.04192861770709251
ACH-000060,0.07569939739072615
ACH-000067,-0.09750732569397737
ACH-000070,0.06302222752365938
ACH-000075,0.061314105329393874
ACH-000078,-0.2450375360377895
ACH-000082,-0.2008713245931362
ACH-000085,-0.08949489234659264
ACH-000086,0.023186943257040182
ACH-000087,0.03182558115362324
ACH-000092,-0.08547555304490266
ACH-000095,-0.035852016660654386
ACH-000097,-0.09723176204649897
ACH-000098,-0.16202571213211145
ACH-000099,-0.11980553184646744
ACH-000108,-0.18542815936719734
ACH-000113,-0.02892282799969432
ACH-000116,0.06722404092566832
ACH-000118,-0.0735106170613693
ACH-000120,-0.007037577823999401
ACH-000123,0.06490080953891601
ACH-000127,-0.08014817028144676
ACH-000128,-0.05840038704745456
ACH-000132,-0.14330617953614935
ACH-000133,-0.035443207501277704
ACH-000137,-0.1291179413278964
ACH-000138,-0.0799799008621804
ACH-000142,-0.027043806043509026
ACH-000143,0.09927424694095968
ACH-000146,-0.11512036836669405
ACH-000148,0.09577369269354613
ACH-000150,-0.27415863725786305
ACH-000152,-0.02034316699194352
ACH-000153,0.15504063459048656
ACH-000159,-0.012526236188067114
ACH-000160,-0.002549386539415444
ACH-000163,-0.047254914096085406
ACH-000167,-0.15709699740101976
ACH-000168,-0.04403777803035399
ACH-000169,-0.1223854288163894
ACH-000178,0.035949659351675836
ACH-000183,0.14367017140541902
ACH-000188,0.02586426420305109
ACH-000189,-0.031037667080398863
ACH-000190,0.13473941861080704
ACH-000198,-0.10043586806791968
ACH-000203,-0.06875737878923299
ACH-000204,-0.3389930482158052
ACH-000206,0.11453145258809665
ACH-000207,-0.06555643169361883
ACH-000208,0.1668997095282903
ACH-000210,-0.13643644386589304
ACH-000211,0.02890111167033995
ACH-000215,-0.037529966174757436
ACH-000221,-0.25256345992083024
ACH-000222,0.06089864792284541
ACH-000223,-0.08438537524360944
ACH-000226,-0.12869591781007114
ACH-000227,-0.07844476598056015
ACH-000228,-0.03086222760213348
ACH-000231,-0.03882481212275121
ACH-000232,-0.02622500977909006
ACH-000233,0.010532404558773856
ACH-000234,-0.05683313010069097
ACH-000235,-0.12110014882861135
ACH-000237,-0.18822335007139346
ACH-000238,0.04995151985238956
ACH-000242,-0.18243228401284356
ACH-000243,0.06792671912564054
ACH-000244,0.060074629798148975
ACH-000246,0.0076274618644189204
ACH-000248,-0.11766639235119257
ACH-000250,-0.037583434461720834
ACH-000251,-0.03769390875545471
ACH-000252,0.14689211018621487
ACH-000253,-0.13464467768446198
ACH-000255,0.009431223124124472
ACH-000256,-0.03277618664857867
ACH-000257,-0.2869727582689561
ACH-000258,-0.02689673170972885
ACH-000259,-0.10098990823892903
ACH-000260,-0.03633213223434557
ACH-000261,-0.0674721866512947
ACH-000262,-0.06635532409073318
ACH-000263,0.09332732088951698
ACH-000264,-0.006817653963275582
ACH-000265,-0.029326782877170762
ACH-000266,-0.10730694501867012
ACH-000272,-0.07558378780901917
ACH-000274,-0.0630522013906421
ACH-000277,-0.08308220026676119
ACH-000278,-0.0364058556405454
ACH-000279,-0.12049946643103175
ACH-000280,-0.1138008035582592
ACH-000281,0.029829618036072626
ACH-000288,-0.06365205145081533
ACH-000291,-0.16745928015315614
ACH-000293,-0.06641404257308234
ACH-000294,-0.02653453993166
ACH-000295,-0.2129498754151648
ACH-000296,0.07087237213881843
ACH-000302,-0.04464986787308405
