,THG1L (54974)
ACH-000004,-0.6435458257097147
ACH-000005,-0.6331301409161362
ACH-000007,-0.6303384670534771
ACH-000009,-0.8005412563022448
ACH-000011,-0.7321376862890548
ACH-000012,-0.7147729203650741
ACH-000013,-0.6424060048087432
ACH-000014,-0.6499368118302471
ACH-000015,-0.9655137927758748
ACH-000017,-0.7314691833902038
ACH-000018,-1.0170678786026202
ACH-000019,-0.4161279052217995
ACH-000021,-0.6287516181287793
ACH-000022,-0.7722005633792861
ACH-000025,-0.7372870363271197
ACH-000028,-0.6937536038538253
ACH-000030,-0.6695969503435424
ACH-000035,-0.5935303241079116
ACH-000036,-0.4655372228864237
ACH-000037,-0.8061729553264902
ACH-000039,-0.7461115902907229
ACH-000040,-0.8045377482147809
ACH-000041,-0.8360255575676432
ACH-000042,-0.6831767257221393
ACH-000045,-0.7198256967921214
ACH-000047,-0.349334424726073
ACH-000052,-0.9831128772246503
ACH-000053,-0.5539016850306822
ACH-000054,-0.6505457418745176
ACH-000055,-0.6440309441495055
ACH-000060,-0.6683766118901379
ACH-000067,-0.6258555068177375
ACH-000070,-0.6630000507944506
ACH-000075,-0.7768556572704378
ACH-000078,-0.8725392714636363
ACH-000082,-0.4118096573002381
ACH-000085,-0.6575674921266434
ACH-000086,-0.6606332374048624
ACH-000087,-0.9009077677481144
ACH-000092,-0.7712476751650686
ACH-000095,-0.6161623754874505
ACH-000097,-0.6190000512293726
ACH-000098,-0.7878344410931964
ACH-000099,-0.7690798554238215
ACH-000108,-0.8113536666984779
ACH-000113,-0.7135310713416124
ACH-000116,-0.7766398237798687
ACH-000118,-0.6262983803610452
ACH-000120,-0.6417706844175758
ACH-000123,-0.6537717326872294
ACH-000127,-0.6471384387906151
ACH-000128,-0.8239381348921911
ACH-000132,-0.8009495223795597
ACH-000133,-0.6345758057807056
ACH-000137,-0.6911576320134882
ACH-000138,-0.5716830505008635
ACH-000142,-1.0129403125768632
ACH-000143,-0.7430408162498546
ACH-000146,-0.5637652556642081
ACH-000148,-0.9411452558008292
ACH-000150,-0.8141928724510532
ACH-000152,-0.5148282687078349
ACH-000153,-0.7220029266116376
ACH-000159,-0.501481740966144
ACH-000160,-0.6912372338462648
ACH-000163,-0.6652245859509505
ACH-000167,-0.7638592738003012
ACH-000168,-0.6079507260797469
ACH-000169,-0.7238248457735266
ACH-000178,-0.5580764098242155
ACH-000183,-0.6762985273354943
ACH-000188,-0.767483132363732
ACH-000189,-0.5003054747862329
ACH-000190,-0.7437493833710285
ACH-000198,-0.5627553883346859
ACH-000203,-0.4165514982945309
ACH-000204,-0.648716454836722
ACH-000206,-0.839765697452413
ACH-000207,-0.5173788176750901
ACH-000208,-0.8456014387271413
ACH-000210,-0.6734224474232686
ACH-000211,-0.7740119381222123
ACH-000215,-0.7709676363578937
ACH-000221,-1.0301716913163421
ACH-000222,-0.5326462850067675
ACH-000223,-0.5467455271416398
ACH-000226,-0.5139089673044573
ACH-000227,-0.5510998981089771
ACH-000228,-0.6019330507451621
ACH-000231,-0.7192212238338549
ACH-000232,-0.7374732420200921
ACH-000233,-0.5799271622789338
ACH-000234,-0.8977785526064442
ACH-000235,-0.6067172242799321
ACH-000237,-0.7146040244643618
ACH-000238,-0.5942768384059951
ACH-000242,-0.5015995678569369
ACH-000243,-0.7605775407926891
ACH-000244,-0.3981456753616883
ACH-000246,-0.7766957852977291
ACH-000248,-0.6572231807697292
ACH-000250,-0.6565799563758229
ACH-000251,-1.0008766475762445
ACH-000252,-0.7406854480906238
ACH-000253,-0.5876803571722644
ACH-000255,-0.8515837729689888
ACH-000256,-0.5650139406913243
ACH-000257,-0.8480543861016367
ACH-000258,-0.7864935360643093
ACH-000259,-0.7876249911933298
ACH-000260,-0.7578465789028461
ACH-000261,-0.8262993074943144
ACH-000262,-0.5637059037034917
ACH-000263,-0.7106994932037389
ACH-000264,-0.779034911563942
ACH-000265,-0.7807798119434539
ACH-000266,-0.613077020023379
ACH-000272,-0.7463696480104746
ACH-000274,-0.457713829069029
ACH-000277,-0.6822336037250278
ACH-000278,-0.4899521036244864
ACH-000279,-1.010200505874587
ACH-000280,-0.646194921790494
ACH-000281,-0.7749568770833914
ACH-000288,-0.7500001394407726
ACH-000291,-0.7954019146208794
ACH-000293,-0.455976528693881
ACH-000294,-0.8075093501762468
ACH-000295,-0.6886677848279678
ACH-000296,-0.7604681768292687
ACH-000302,-0.6278869796232066
ACH-000304,-0.8205170202434574
ACH-000307,-0.6281925041065982
ACH-000308,-0.4901506999727493
ACH-000310,-0.3876270198156863
