,ZFAND2A (90637)
ACH-000004,0.07450727273380628
ACH-000005,0.21221131179718689
ACH-000007,0.11897897857009862
ACH-000009,0.1998335409248714
ACH-000011,0.08737874885981411
ACH-000012,0.2240054866644612
ACH-000013,0.20655813144731092
ACH-000014,0.08643903020182228
ACH-000015,0.3453500444208059
ACH-000017,0.3013112934088566
ACH-000018,0.24274612354927624
ACH-000019,0.1650203896378287
ACH-000021,0.2728477854190669
ACH-000022,0.24039559844675684
ACH-000025,0.2305996779869276
ACH-000028,0.3783729134982931
ACH-000030,0.2620276287373767
ACH-000035,0.29745569693378376
ACH-000036,0.17150755430291242
ACH-000037,0.3109502864361079
ACH-000039,0.2811241729706839
ACH-000040,0.33269770334542903
ACH-000041,0.21772716025653327
ACH-000042,0.14516057705637705
ACH-000045,0.19648749994454198
ACH-000047,0.09591285288147694
ACH-000052,0.05090342781753603
ACH-000053,0.21103145077287846
ACH-000054,0.20095461678083995
ACH-000055,0.05339253944366535
ACH-000060,0.15394120030625338
ACH-000067,0.3162387790692577
ACH-000070,0.17878710146189258
ACH-000075,0.1746000404621381
ACH-000078,0.38291360343435776
ACH-000082,0.2291769124384839
ACH-000085,0.12566777854878566
ACH-000086,0.39330034388568574
ACH-000087,0.07810364511795607
ACH-000092,0.182333862273804
ACH-000095,0.2008202386144058
ACH-000097,0.3285430741119861
ACH-000098,0.21916063431310395
ACH-000099,0.22392640522900056
ACH-000108,0.12514265432786253
ACH-000113,0.19125330087100534
ACH-000116,0.25929064213058656
ACH-000118,0.3131929655155481
ACH-000120,0.2994418005109854
ACH-000123,0.3299662266812218
ACH-000127,0.278534438110917
ACH-000128,0.17723296096953284
ACH-000132,0.336768629277476
ACH-000133,0.1220544479907717
ACH-000137,0.3046038384737689
ACH-000138,0.24462998707646885
ACH-000142,0.11225685082704216
ACH-000143,0.25474972846872124
ACH-000146,0.2527643180409664
ACH-000148,0.19273161519119936
ACH-000150,0.23060162860715905
ACH-000152,0.2042735435936178
ACH-000153,0.19176973536494596
ACH-000159,0.2465869185914113
ACH-000160,0.07063809290401055
ACH-000163,0.2804783750443206
ACH-000167,0.14546399687306666
ACH-000168,0.21896813829044254
ACH-000169,0.19037001232784204
ACH-000178,0.28098666705294706
ACH-000183,0.17872298703255607
ACH-000188,0.23747148918255426
ACH-000189,0.13024342489668092
ACH-000190,0.2636219930313897
ACH-000198,0.1388606538394454
ACH-000203,0.4869313444040776
ACH-000204,0.2841509544616588
ACH-000206,0.08155908842810501
ACH-000207,0.2575896247114486
ACH-000208,0.20547662083895915
ACH-000210,0.5981138886653116
ACH-000211,0.2806016440908978
ACH-000215,0.30015454632492683
ACH-000221,0.2668880891917613
ACH-000222,0.21609668845871893
ACH-000223,0.3062884849658727
ACH-000226,0.3447327558862585
ACH-000227,0.2101345509171364
ACH-000228,0.26218106767921245
ACH-000231,0.165984775201863
ACH-000232,0.2645354579698597
ACH-000233,0.13082363100462954
ACH-000234,0.20422148348932925
ACH-000235,0.2602714080039313
ACH-000237,0.26535854408698
ACH-000238,0.2450475461325501
ACH-000242,-0.2294180948375905
ACH-000243,0.20823511925005528
ACH-000244,-0.13155058677107542
ACH-000246,0.2984242521186006
ACH-000248,0.2611901308157978
ACH-000250,0.21358898032249188
ACH-000251,0.225550189444342
ACH-000252,0.02124818297504621
ACH-000253,0.15238157875411446
ACH-000255,0.23995176348520936
ACH-000256,0.2874512851750304
ACH-000257,0.524015603627003
ACH-000258,0.325900315564386
ACH-000259,0.15790376580282886
ACH-000260,0.2613198287569309
ACH-000261,0.17761330894228505
ACH-000262,0.3891666017759494
ACH-000263,0.2062857544834372
ACH-000264,0.14737631441402332
ACH-000265,0.3270607787181852
ACH-000266,0.16211957578924666
ACH-000272,0.20219010495076956
ACH-000274,0.2897113239125597
ACH-000277,0.1881609741077104
ACH-000278,0.20762587413688285
ACH-000279,0.2823715997173505
ACH-000280,0.3081771634941553
ACH-000281,0.2952286237612833
ACH-000288,0.2041300215609802
ACH-000291,0.1982209773337205
ACH-000293,0.3152272319531207
ACH-000294,0.2547799825954976
ACH-000295,0.3903181949617885
ACH-000296,0.1207941075925707
ACH-000302,0.21459664614533328
ACH-000304,0.2396856202622464
ACH-000307,0.2359094740822717
