,SBDS (51119)
ACH-000004,-1.4584077605304853
ACH-000005,-1.4777690715234246
ACH-000007,-1.3139002292085582
ACH-000009,-1.384232120485754
ACH-000011,-1.3852091946366345
ACH-000012,-1.1458745211870085
ACH-000013,-1.4934104112304818
ACH-000014,-1.2861559682348576
ACH-000015,-1.2226169246089469
ACH-000017,-1.2717093400327872
ACH-000018,-1.3481480761531104
ACH-000019,-1.3890781112068458
ACH-000021,-1.2055374759148014
ACH-000022,-1.1966162681325119
ACH-000025,-1.240025997930111
ACH-000028,-1.0912591285524906
ACH-000030,-1.3407202534439258
ACH-000035,-1.4896423914052148
ACH-000036,-1.090355178222996
ACH-000037,-1.0037778986406447
ACH-000039,-1.2914683519435393
ACH-000040,-1.2892889350302257
ACH-000041,-0.8451700112760904
ACH-000042,-1.306420568142949
ACH-000045,-1.2453685650250188
ACH-000047,-1.1440529340077072
ACH-000052,-1.1049960470548748
ACH-000053,-0.9837837531160912
ACH-000054,-1.2406199966723133
ACH-000055,-1.6516748279559619
ACH-000060,-1.333720282116205
ACH-000067,-1.270349371168222
ACH-000070,-1.4852410492533232
ACH-000075,-1.3823492940313178
ACH-000078,-1.0747426699643476
ACH-000082,-1.3995470149406586
ACH-000085,-1.613154714270179
ACH-000086,-1.2604531723516683
ACH-000087,-1.2796306261008517
ACH-000092,-1.2874028678926317
ACH-000095,-1.2174680387211971
ACH-000097,-1.3271202366712722
ACH-000098,-1.0854132963070442
ACH-000099,-1.1777735870891832
ACH-000108,-1.520885763342395
ACH-000113,-1.259800183976134
ACH-000116,-1.5875975540755296
ACH-000118,-1.2807714758544302
ACH-000120,-1.342818841331824
ACH-000123,-1.278091718546796
ACH-000127,-1.2686356554940628
ACH-000128,-1.2825890697365727
ACH-000132,-1.2410763414652173
ACH-000133,-1.4267965618028329
ACH-000137,-1.3144486870575989
ACH-000138,-1.2208954378324337
ACH-000142,-1.108336840578289
ACH-000143,-1.2256158367546126
ACH-000146,-0.9053924212914818
ACH-000148,-1.4655268128111043
ACH-000150,-1.250551961140271
ACH-000152,-1.2656689560299323
ACH-000153,-1.5612518788454333
ACH-000159,-1.335618826965969
ACH-000160,-1.462944323475752
ACH-000163,-1.3694699038719216
ACH-000167,-1.7963504381680226
ACH-000168,-1.2362438684927448
ACH-000169,-1.092046631059417
ACH-000178,-1.2630996272183117
ACH-000183,-1.293065503332052
ACH-000188,-1.27760470395079
ACH-000189,-1.57273143939423
ACH-000190,-1.2597891134407253
ACH-000198,-1.3441608798391584
ACH-000203,-0.5272765682025405
ACH-000204,-1.1118359188880071
ACH-000206,-1.306610706161247
ACH-000207,-1.4218449119814247
ACH-000208,-1.3053827458124352
ACH-000210,-1.3488138001153271
ACH-000211,-1.089517118422087
ACH-000215,-1.0565946517714666
ACH-000221,-1.3579753173190214
ACH-000222,-1.4637195952122202
ACH-000223,-1.3279097306850964
ACH-000226,-1.1723445404117174
ACH-000227,-0.8624336285232519
ACH-000228,-1.4757178861176867
ACH-000231,-1.2145834799414386
ACH-000232,-1.2727058016543735
ACH-000233,-1.2093698234166284
ACH-000234,-1.3100205518272865
ACH-000235,-1.2328479535523935
ACH-000237,-1.4074397090846942
ACH-000238,-1.2004065286077856
ACH-000242,-0.9829627877096008
ACH-000243,-1.1883579993978626
ACH-000244,-1.3172865606020128
ACH-000246,-1.222989764488169
ACH-000248,-1.1746522984327477
ACH-000250,-1.3102696948048111
ACH-000251,-1.4555908989792192
ACH-000252,-1.515822494870041
ACH-000253,-1.248346958899372
ACH-000255,-1.3049925592838425
ACH-000256,-1.3013163822781535
ACH-000257,-1.1931619702771683
ACH-000258,-0.9790716750228972
ACH-000259,-1.1227437556794235
ACH-000260,-1.177507779415426
ACH-000261,-1.2321028285090578
ACH-000262,-1.5272009567846538
ACH-000263,-1.1101661427641498
ACH-000264,-1.3384558074322257
ACH-000265,-1.2561804074561158
ACH-000266,-1.2973715102648338
