,SLU7 (10569)
ACH-000004,-1.4656263122741788
ACH-000005,-1.016092168372283
ACH-000007,-0.7398617973716091
ACH-000009,-0.9502346077355344
ACH-000011,-1.0386859509557755
ACH-000012,-1.0678079089864128
ACH-000013,-1.063916859094059
ACH-000014,-1.148989539350377
ACH-000015,-1.1176730687942968
ACH-000017,-1.1200211444301231
ACH-000018,-0.9946532240234742
ACH-000019,-0.7254176994172415
ACH-000021,-1.1086305979254512
ACH-000022,-1.0545876069158433
ACH-000025,-1.124873628974231
ACH-000028,-0.6805547201423501
ACH-000030,-0.8375495977218348
ACH-000035,-1.0726354522883568
ACH-000036,-0.9144897492056716
ACH-000037,-1.1639750927383683
ACH-000039,-0.9430783956892218
ACH-000040,-0.9079568546938219
ACH-000041,-1.1029443645006736
ACH-000042,-0.8861078245745181
ACH-000045,-0.7468906094879068
ACH-000047,-1.1053537501854536
ACH-000052,-0.7311819069620141
ACH-000053,-1.1793948510977308
ACH-000054,-0.9188807865430524
ACH-000055,-0.9421910746498458
ACH-000060,-0.9172275576753208
ACH-000067,-0.8161144351195736
ACH-000070,-0.882522790718973
ACH-000075,-0.8553945551989721
ACH-000078,-1.0215580277511025
ACH-000082,-1.2354734230208506
ACH-000085,-1.0206160375733648
ACH-000086,-0.903951762341086
ACH-000087,-1.1555287163322407
ACH-000092,-0.8034161746063355
ACH-000095,-1.086605499358787
ACH-000097,-0.9139865867819426
ACH-000098,-0.4675645041747131
ACH-000099,-1.0584739482366885
ACH-000108,-1.0522639580961803
ACH-000113,-1.1592594596691823
ACH-000116,-1.0143043764894537
ACH-000118,-1.0422450558026637
ACH-000120,-0.975545011583705
ACH-000123,-0.9484152626117768
ACH-000127,-1.1211945520540696
ACH-000128,-0.8993084728121014
ACH-000132,-0.8331498795445215
ACH-000133,-0.6399782885435169
ACH-000137,-1.0838132386372872
ACH-000138,-1.0201069896650743
ACH-000142,-1.0891434391090895
ACH-000143,-1.1797089697165215
ACH-000146,-1.165908067878476
ACH-000148,-1.1407579151826843
ACH-000150,-1.1426642454254343
ACH-000152,-0.9525588795116801
ACH-000153,-0.8059778001227933
ACH-000159,-0.9806195721248852
ACH-000160,-1.0837219609682336
ACH-000163,-0.900721652397915
ACH-000167,-1.3940478059769246
ACH-000168,-0.950015783752788
ACH-000169,-0.9653484764839276
ACH-000178,-0.8418104800478301
ACH-000183,-0.9528582921332508
ACH-000188,-1.1174467607712308
ACH-000189,-0.9518581525848578
ACH-000190,-0.9163265344551936
ACH-000198,-1.1895846358467073
ACH-000203,-1.0053049434347725
ACH-000204,-0.7724430359493183
ACH-000206,-0.95847670223507
ACH-000207,-1.015290546477374
ACH-000208,-0.900744805288772
ACH-000210,-0.9258713588255114
ACH-000211,-1.080279798326256
ACH-000215,-1.040227268029005
ACH-000221,-1.257058860324374
ACH-000222,-1.0398038191163117
ACH-000223,-1.1729961761485392
ACH-000226,-0.9470603402020767
ACH-000227,-1.1516068353249571
ACH-000228,-1.0348262055770392
ACH-000231,-0.8956413793131265
ACH-000232,-1.0244684941991062
ACH-000233,-1.074196070418847
ACH-000234,-0.6917121056466893
ACH-000235,-0.9016189956938556
ACH-000237,-1.150280676135802
ACH-000238,-1.1308415423048488
ACH-000242,-0.7815283710655094
ACH-000243,-1.030809712864375
ACH-000244,-1.1486948984144454
ACH-000246,-0.8265465718088285
ACH-000248,-0.8705116133133166
ACH-000250,-1.0053386327119502
ACH-000251,-0.7957229036160168
ACH-000252,-1.1486118426587215
ACH-000253,-0.943478211364968
ACH-000255,-1.0413536183088947
ACH-000256,-0.9679163639845938
ACH-000257,-1.179522621612305
ACH-000258,-0.9436632030801884
ACH-000259,-1.129424477514877
ACH-000260,-0.9507624842769784
ACH-000261,-0.9796186599844828
ACH-000262,-0.9105768884878128
ACH-000263,-1.3092386893966894
ACH-000264,-0.9956414296237476
ACH-000265,-1.0112056889343186
ACH-000266,-1.0655678870190808
ACH-000272,-0.8320404863016222
ACH-000274,-0.8544896321449412
ACH-000277,-1.0336981646690422
ACH-000278,-1.1791393611833068
ACH-000279,-1.2607299525707925
ACH-000280,-0.923622637500994
ACH-000281,-1.2283303114640618
ACH-000288,-0.7755767186761324
ACH-000291,-1.2272243642113312
ACH-000293,-1.1018087638010108
ACH-000294,-1.0326162073334118
ACH-000295,-1.1560829679062616
ACH-000296,-1.0660797874528392
ACH-000302,-1.1820699736986338
ACH-000304,-1.07847148535614
ACH-000307,-0.9743952687833071
ACH-000308,-1.1275553341546038
ACH-000310,-1.117320747268184
ACH-000311,-0.8870928245274406
ACH-000312,-0.9415684761635092
ACH-000315,-1.1982621749170592
ACH-000316,-0.9075118505228515
ACH-000317,-0.8692422836815572
ACH-000318,-0.8770972744215831
ACH-000319,-1.1523368031877603
ACH-000320,-0.9350219230865426
ACH-000322,-1.255064926087326
ACH-000323,-1.1877928023679571
ACH-000324,-0.9865507193463814
ACH-000329,-1.2212948744374053
ACH-000330,-1.1178889397726974
ACH-000331,-1.0173297167523287
ACH-000332,-0.8839921024436386
ACH-000334,-1.1800219929823368
ACH-000335,-0.4870844044339427
ACH-000336,-1.1097321125070447
ACH-000337,-0.7681588922621229
ACH-000338,-1.0848992702394928
ACH-000339,-1.106998867990561
ACH-000341,-1.0270174748245395
ACH-000348,-1.1510099320598637
ACH-000350,-1.0603236339843698
ACH-000352,-0.99819811793419
ACH-000356,-0.9571099030966642
ACH-000361,-0.8760393837286318
ACH-000362,-1.0559509374184768
ACH-000363,-0.9978779590585396
ACH-000364,-1.1330133769323445
ACH-000365,-1.1286976723723907
ACH-000366,-0.9797269354143764
ACH-000368,-0.92038479483554
ACH-000374,-1.1990338730130243
ACH-000375,-1.071584517505716
ACH-000376,-0.8136400162717696
ACH-000381,-0.8497623964282519
ACH-000383,-0.8886926117850258
ACH-000387,-1.2300053320029047
ACH-000389,-1.073977502660472
ACH-000390,-1.1948997100165597
ACH-000393,-0.8426337357929828
ACH-000395,-0.7996536238443218
ACH-000396,-0.9578381927945444
ACH-000397,-0.9817042117018044
ACH-000401,-1.0481690463517337
ACH-000402,-0.9144604413885308
ACH-000403,-0.8540472877331896
ACH-000404,-1.2804460784398
ACH-000406,-1.1927991326284677
ACH-000407,-1.1433365976450418
