,WDHD1 (11169)
ACH-000004,-0.9332954859922676
ACH-000005,-1.0000069852088342
ACH-000007,-0.9878498563896406
ACH-000009,-1.0623990987196361
ACH-000011,-1.1033803120945036
ACH-000012,-0.9561991263184164
ACH-000013,-0.948125727492229
ACH-000014,-0.8270309418737098
ACH-000015,-0.7888132991847372
ACH-000017,-0.8713521991568033
ACH-000018,-0.8093339436479492
ACH-000019,-0.8050525984154262
ACH-000021,-0.7671936424712121
ACH-000022,-0.9459077960094308
ACH-000025,-0.9729163923689418
ACH-000028,-0.8559821636015031
ACH-000030,-0.8268140775786191
ACH-000035,-0.905114739831486
ACH-000036,-1.0681304206450122
ACH-000037,-0.9281989369248418
ACH-000039,-0.8203008433094227
ACH-000040,-0.9816804857747136
ACH-000041,-1.1001400020104055
ACH-000042,-0.8916401999023136
ACH-000045,-0.7739054000151209
ACH-000047,-1.037013801286556
ACH-000052,-1.1590345869100491
ACH-000053,-0.5525830205630536
ACH-000054,-0.9922722073719265
ACH-000055,-1.2826878670997257
ACH-000060,-0.796330149748487
ACH-000067,-1.1560656302962071
ACH-000070,-0.9493413307017124
ACH-000075,-1.0426083660810954
ACH-000078,-0.9419798042156844
ACH-000082,-0.939018506972499
ACH-000085,-1.0309995130917389
ACH-000086,-0.9678960979975334
ACH-000087,-1.0195783132895238
ACH-000092,-1.1457354373016393
ACH-000095,-0.7648668564444892
ACH-000097,-1.075428144490159
ACH-000098,-1.0081385033186971
ACH-000099,-0.7219464554049325
ACH-000108,-0.8669486496884046
ACH-000113,-0.9483312819080076
ACH-000116,-0.926428595813822
ACH-000118,-0.7981520503858455
ACH-000120,-1.0023279695321543
ACH-000123,-0.8210075836645241
ACH-000127,-0.8906005654916095
ACH-000128,-0.828761651241138
ACH-000132,-0.6144261249193952
ACH-000133,-1.13603581507994
ACH-000137,-0.804380657589746
ACH-000138,-0.8020432252756886
ACH-000142,-0.48294231141162
ACH-000143,-1.1396041911017836
ACH-000146,-0.8244130216835719
ACH-000148,-1.010201338899153
ACH-000150,-0.859587075037193
ACH-000152,-1.1611242976192666
ACH-000153,-1.062926564684072
ACH-000159,-0.8726095756341228
ACH-000160,-0.4054602846757188
ACH-000163,-0.9561709915287572
ACH-000167,-0.35216293282989675
ACH-000168,-0.6894246251324662
ACH-000169,-0.8072686056208478
ACH-000178,-0.8991091729923364
ACH-000183,-1.0278583116912612
ACH-000188,-0.7469633966911451
ACH-000189,-1.1674253658955562
ACH-000190,-0.5694347839046635
ACH-000198,-0.8158893872406814
ACH-000203,-0.6172418457585553
ACH-000204,-0.824406200533598
ACH-000206,-0.5809658865606351
ACH-000207,-0.744217102536765
ACH-000208,-1.0745540825472462
ACH-000210,-0.917339579044055
ACH-000211,-0.8810949720959882
ACH-000215,-0.9054764917034916
ACH-000221,-0.8825437575810499
ACH-000222,-0.8346811964642814
ACH-000223,-1.009105711979337
ACH-000226,-0.7644112018703693
ACH-000227,-0.9820989015501458
ACH-000228,-1.0303295826176155
ACH-000231,-1.001889860108274
ACH-000232,-0.8897087374049246
ACH-000233,-0.8874456097177015
ACH-000234,-0.8357355665312544
ACH-000235,-0.7776134365970351
ACH-000237,-0.8998145437813475
ACH-000238,-0.8204943805911745
ACH-000242,-0.8571522013720025
ACH-000243,-0.6247835692419995
ACH-000244,-0.8613836856170144
ACH-000246,-1.0138657744720538
ACH-000248,-0.662837321001387
ACH-000250,-1.0019196033466975
ACH-000251,-0.8571210319687446
ACH-000252,-1.222740957513042
ACH-000253,-0.9978571985826646
ACH-000255,-0.9481627110942648
ACH-000256,-0.992783881887999
ACH-000257,-1.2068789706874354
ACH-000258,-0.7051571844005002
ACH-000259,-0.8261474066194399
ACH-000260,-0.83521622241982
ACH-000261,-1.0276120541361398
ACH-000262,-1.184896311796288
ACH-000263,-0.9827262935917074
ACH-000264,-1.0660897473342994
ACH-000265,-0.6660762900443519
ACH-000266,-0.8565147070246037
ACH-000272,-0.8425024883292547
ACH-000274,-0.9046624519733428
ACH-000277,-0.8260171350161406
ACH-000278,-1.2082569774084309
