,BARD1 (580)
ACH-000004,-0.4743032674372859
ACH-000005,-0.20660989960038
ACH-000007,-0.6251580604212126
ACH-000009,-0.5714275866749206
ACH-000011,-0.7738917484536689
ACH-000012,-0.4120944249266267
ACH-000013,-0.7136927040561589
ACH-000014,-0.4772563565634422
ACH-000015,-0.3775496725783974
ACH-000017,-0.5810575687472058
ACH-000018,-0.5967774447254449
ACH-000019,-0.5965450579112861
ACH-000021,-0.5751286204203474
ACH-000022,-0.4070371517801007
ACH-000025,-0.8811027046392859
ACH-000028,-0.7704836939069515
ACH-000030,-0.618622800882194
ACH-000035,-0.4251590581593877
ACH-000036,-0.5868255954152868
ACH-000037,-0.4498041949702188
ACH-000039,-0.3741726130205945
ACH-000040,-0.5577352967585153
ACH-000041,-0.5048732881848277
ACH-000042,-0.3096650639042748
ACH-000045,-0.6311707295498311
ACH-000047,-0.8353768708675462
ACH-000052,-0.7028674092250262
ACH-000053,-0.5704307630181737
ACH-000054,-0.6347459531318579
ACH-000055,-0.3978971795128214
ACH-000060,-0.4044133650096128
ACH-000067,-0.6489209267299891
ACH-000070,-0.6345937725586246
ACH-000075,-0.8570872513996128
ACH-000078,-0.5312302653115502
ACH-000082,-0.6533606309886678
ACH-000085,-0.3437893668710594
ACH-000086,-0.5756670430673877
ACH-000087,-0.9320039876026568
ACH-000092,-0.7406332461631373
ACH-000095,-0.2933255992392869
ACH-000097,-0.703057123641935
ACH-000098,-0.6462192647327741
ACH-000099,-0.8989378516399519
ACH-000108,-0.4424115442374112
ACH-000113,-0.5446514015516087
ACH-000116,-0.8227400952457034
ACH-000118,-0.8272986619286019
ACH-000120,-0.8991352166441798
ACH-000123,-0.6207354893751087
ACH-000127,-0.7182993694953952
ACH-000128,-0.4401013819738717
ACH-000132,-0.1748227621404399
ACH-000133,-0.9188706556070724
ACH-000137,-0.6676493612033726
ACH-000138,-0.5237654965218492
ACH-000142,-0.5660804985095079
ACH-000143,-0.6303803070089192
ACH-000146,-0.38590089277455203
ACH-000148,-0.7223887580549533
ACH-000150,-0.1277375683207352
ACH-000152,-0.8274212992571789
ACH-000153,-0.5887877259946683
ACH-000159,-0.8863864132606625
ACH-000160,-0.4702355651491105
ACH-000163,-0.4310174781664741
ACH-000167,-1.1976424605941185
ACH-000168,-0.4728969028584666
ACH-000169,-0.5135822099761854
ACH-000178,-0.7552650258443815
ACH-000183,-0.3839575499109785
ACH-000188,-0.6370108357347578
ACH-000189,-0.4147720399547794
ACH-000190,-0.6372234435165341
ACH-000198,-0.5658429550530167
ACH-000203,-0.5136917489851173
ACH-000204,-0.3419923316261482
ACH-000206,-0.5641173093367432
ACH-000207,-0.4190608999903404
ACH-000208,-0.9298076029699656
ACH-000210,-0.606010961547129
ACH-000211,-0.7867107813880633
ACH-000215,-0.6070429757473386
ACH-000221,-0.9415998880259009
ACH-000222,-0.4677558980441346
ACH-000223,-0.2603835243598423
