,TMPRSS11A (339967)
ACH-000004,0.05355447007480788
ACH-000005,0.11112413706027348
ACH-000007,-0.1582234897235117
ACH-000009,0.09554738053086403
ACH-000011,0.16383343479754914
ACH-000012,0.10423083082908184
ACH-000013,0.07718383720721646
ACH-000014,-0.2412567953323444
ACH-000015,-0.13398300026015292
ACH-000017,0.034542563228251506
ACH-000018,0.01309083145908342
ACH-000019,0.07213299019233582
ACH-000021,-0.014210132692527116
ACH-000022,0.02555569919042447
ACH-000025,-0.06127188234188353
ACH-000028,-0.01985098155976894
ACH-000030,-0.06261178091211261
ACH-000035,-0.1467441123433407
ACH-000036,-0.038265005137181896
ACH-000037,-0.12186517279995815
ACH-000039,0.04814977833953643
ACH-000040,-0.10239339320115952
ACH-000041,-0.03573728087653437
ACH-000042,0.09247646888767357
ACH-000045,-0.2142725101800128
ACH-000047,-0.013927941754050356
ACH-000052,0.1980267314115375
ACH-000053,0.05985244746441563
ACH-000054,-0.022583597997154443
ACH-000055,-0.004270679650939404
ACH-000060,-0.05317441577532455
ACH-000067,-0.02402805681862385
ACH-000070,-0.056817142675687625
ACH-000075,-0.12439460231941908
ACH-000078,0.13109078193319232
ACH-000082,0.03254897046294785
ACH-000085,-0.055270221609073314
ACH-000086,0.09829388888247638
ACH-000087,0.03722659273455679
ACH-000092,0.07823752476534375
ACH-000095,0.07141182551206181
ACH-000097,0.017345322333525263
ACH-000098,0.018332865043262432
ACH-000099,0.07124078715990438
ACH-000108,0.001859382103707631
ACH-000113,-0.018489661692678332
ACH-000116,-0.05483236532559863
ACH-000118,0.07761473719474192
ACH-000120,0.07171119715966587
ACH-000123,0.02353820894670195
ACH-000127,0.005163519252726375
ACH-000128,0.05026984832944495
ACH-000132,0.015567507060376053
ACH-000133,0.12160182316418976
ACH-000137,0.09820383367626888
ACH-000138,0.051353933063121374
ACH-000142,-0.0579535474912004
ACH-000143,0.3211089010677632
ACH-000146,0.07409100217883313
ACH-000148,0.11755947005287927
ACH-000150,-0.038613042130099993
ACH-000152,-0.018334280748445692
ACH-000153,-0.1288508528275529
ACH-000159,-0.04248050283171767
ACH-000160,0.02586708728378041
ACH-000163,-0.1152795092004166
ACH-000167,-0.03638956283535293
ACH-000168,-0.15290106180715135
ACH-000169,0.003109825821236328
ACH-000178,0.1374938098144836
ACH-000183,0.042842251842321315
ACH-000188,-0.033347018895852364
ACH-000189,0.07798471611833081
ACH-000190,0.2865511991004626
ACH-000198,-0.1503325250359367
ACH-000203,-0.17402185869020206
ACH-000204,0.14787349338256764
ACH-000206,0.029065036793333436
ACH-000207,-0.0015253052678016721
ACH-000208,0.03289177756551834
ACH-000210,-0.01306855525616125
ACH-000211,-0.16664418145193674
ACH-000215,-0.12359496813944428
ACH-000221,0.07726234904853607
ACH-000222,0.08469827629604693
ACH-000223,0.007843472782014001
