,CD3EAP (10849)
ACH-000004,-0.42990040183184536
ACH-000005,-0.5629254204476867
ACH-000007,-0.3120982591814249
ACH-000009,-0.4112053827313429
ACH-000011,-0.4873979109357873
ACH-000012,-0.43813916749461546
ACH-000013,-0.5098811969588388
ACH-000014,-0.06949114846347137
ACH-000015,-0.6776506857223333
ACH-000017,-0.10385389696086818
ACH-000018,-0.5893823424660055
ACH-000019,-0.3880591152906833
ACH-000021,-0.3951883043591897
ACH-000022,-0.5421445485392011
ACH-000025,-0.39057278023884
ACH-000028,-0.3303172890619849
ACH-000030,-0.3473876272560062
ACH-000035,-0.4080050727524585
ACH-000036,-0.39412367989584496
ACH-000037,-0.4229356832171449
ACH-000039,-0.18302840701917286
ACH-000040,-0.35202159657860194
ACH-000041,-0.2964500855631027
ACH-000042,-0.3140475324199514
ACH-000045,-0.1971341266389965
ACH-000047,-0.20842701592622348
ACH-000052,-0.4003888784426656
ACH-000053,-0.5594914192208232
ACH-000054,-0.32585192218484205
ACH-000055,-0.5192749306014552
ACH-000060,-0.385901318707945
ACH-000067,-0.632171141808463
ACH-000070,-0.46669875152604295
ACH-000075,-0.254276336833412
ACH-000078,-0.4584209975227572
ACH-000082,-0.2625480557545768
ACH-000085,-0.07472089952191154
ACH-000086,-0.5357744964129363
ACH-000087,-0.4124325676511472
ACH-000092,-0.6227559974648795
ACH-000095,-0.523119986612562
ACH-000097,-0.289571555019731
ACH-000098,-0.43421642316613934
ACH-000099,-0.3455970473433829
ACH-000108,-0.3665495644055553
ACH-000113,-0.3301950614264791
ACH-000116,-0.23124397360725826
ACH-000118,-0.546019044718811
ACH-000120,-0.3948248793294485
ACH-000123,-0.6064742707973484
ACH-000127,-0.3800888793380332
ACH-000128,-0.4690312966788297
ACH-000132,-0.3865966760825143
ACH-000133,-0.5257793550874429
ACH-000137,-0.422943182086744
ACH-000138,-0.3823042229663617
ACH-000142,-0.4083606949026206
ACH-000143,-0.2307280712992284
ACH-000146,-0.28689800954727995
ACH-000148,-0.323739852085419
ACH-000150,-0.5869430225800152
ACH-000152,-0.4081134762449478
ACH-000153,-0.7841773785509423
ACH-000159,-0.377976787650462
ACH-000160,-0.4463251254299834
ACH-000163,-0.4356377344682291
ACH-000167,0.006726623284179223
ACH-000168,-0.3622551666029283
ACH-000169,-0.46740154806977396
ACH-000178,-0.4301622192231487
ACH-000183,-0.3779780631346556
ACH-000188,-0.4516069432727296
ACH-000189,-0.5443299129771599
ACH-000190,-0.4399562694837321
ACH-000198,-0.2603411919831301
ACH-000203,0.22212497119001712
ACH-000204,-0.2635928031588013
ACH-000206,-0.3187769641577189
ACH-000207,-0.5047643378710321
ACH-000208,-0.6767656567796756
ACH-000210,-0.3298894692485941
ACH-000211,-0.3025156658271308
ACH-000215,-0.5224268526679771
ACH-000221,-0.5633913104668895
ACH-000222,-0.2706958019346489
ACH-000223,-0.2867066816317608
ACH-000226,-0.5617731399123671
ACH-000227,-0.2399562652133253
ACH-000228,-0.5237875577623894
ACH-000231,-0.3827730892858672
ACH-000232,-0.4052597242198695
ACH-000233,-0.40060198250369705
ACH-000234,-0.28972616396643186
ACH-000235,-0.3536320619125836
ACH-000237,-0.4414800687572369
ACH-000238,-0.33672908468784
ACH-000242,-0.34041287064171866
ACH-000243,-0.4952655727587231
ACH-000244,-0.5122033136786314
ACH-000246,-0.4080188544160824
ACH-000248,-0.09249618098865592
ACH-000250,-0.4517157364564608
ACH-000251,-0.4617980756521201
ACH-000252,-0.2881505051887279
ACH-000253,-0.31683096518286324
ACH-000255,-0.5972557865610184
ACH-000256,-0.4075239433628485
ACH-000257,-0.24050018684736324
ACH-000258,-0.2969189157591776
ACH-000259,-0.2946974623943671
ACH-000260,-0.1353365771234612
ACH-000261,-0.4113163363055713
ACH-000262,-0.5588474805172075
ACH-000263,-0.5876831584998209
ACH-000264,-0.2817455281399531
ACH-000265,-0.5403839077937903
ACH-000266,-0.5533874171642669
ACH-000272,-0.36817964779172296
ACH-000274,-0.30696476327346256
ACH-000277,-0.17804556187240786
ACH-000278,-0.4408868005771915
ACH-000279,-0.3125224403290854
ACH-000280,-0.4045493557414387
ACH-000281,-0.34847808978376776
ACH-000288,-0.3610238540222534
ACH-000291,-0.3168945144243908
