,RPL27A (6157)
ACH-000004,-1.1387570373827471
ACH-000005,-1.3781904464925854
ACH-000007,-1.263877827350824
ACH-000009,-1.056881816760382
ACH-000011,-1.4658121276261415
ACH-000012,-1.0024274575432954
ACH-000013,-0.8483208934931322
ACH-000014,-1.0519897000369491
ACH-000015,-1.0133479306404551
ACH-000017,-0.5613363978728926
ACH-000018,-0.9742986729701506
ACH-000019,-1.37728512754305
ACH-000021,-1.132440382783228
ACH-000022,-0.7653438836295129
ACH-000025,-1.1980054009424144
ACH-000028,-1.0964781858253112
ACH-000030,-1.3456810953783394
ACH-000035,-0.8575369118270809
ACH-000036,-1.1307354552520024
ACH-000037,-1.2627444596791837
ACH-000039,-0.939422209651166
ACH-000040,-0.8985051178853964
ACH-000041,-0.9667589289017862
ACH-000042,-1.056892948193582
ACH-000045,-0.8375856071571905
ACH-000047,-0.9753132694066464
ACH-000052,-0.8984680494349843
ACH-000053,-1.0222530352825847
ACH-000054,-1.2583221298923106
ACH-000055,-1.1727865814537133
ACH-000060,-0.9682290591587808
ACH-000067,-1.091642280013954
ACH-000070,-1.4006671982683685
ACH-000075,-0.9592457674784624
ACH-000078,-1.2473112444352974
ACH-000082,-0.9533849846790056
ACH-000085,-1.1760223540311805
ACH-000086,-0.9862168844036358
ACH-000087,-1.3195444324820609
ACH-000092,-1.1102739162796853
ACH-000095,-1.1911949169277691
ACH-000097,-1.0414513601669897
ACH-000098,-1.0303275209138871
ACH-000099,-1.2739140061439496
ACH-000108,-1.0391781700410192
ACH-000113,-1.0082889840189633
ACH-000116,-0.9890918647424648
ACH-000118,-0.8936022110213337
ACH-000120,-1.127147645650511
ACH-000123,-1.1478020619369085
ACH-000127,-0.9863777542616846
ACH-000128,-1.0007375554686182
ACH-000132,-0.8403754042167983
ACH-000133,-0.9439016346480074
ACH-000137,-1.0279328057772297
ACH-000138,-1.2796888774655302
ACH-000142,-1.0812668481837089
ACH-000143,-1.10968953380483
ACH-000146,-0.8744872402894726
ACH-000148,-1.2486712928386312
ACH-000150,-1.2277056832889794
ACH-000152,-0.7841453458549441
ACH-000153,-1.1445455332047412
ACH-000159,-1.0291241047224378
ACH-000160,-0.9596008725021992
ACH-000163,-1.056036786438645
ACH-000167,0.8652010646749699
ACH-000168,-1.1163074119430398
ACH-000169,-1.1298706817236663
ACH-000178,-0.9192625966594226
ACH-000183,-0.9648045644390516
ACH-000188,-1.1370259388767443
ACH-000189,-1.0101110527403927
ACH-000190,-1.4777673396324285
ACH-000198,-1.1824255258537242
ACH-000203,-1.2187214922108651
ACH-000204,-0.7252952726771276
ACH-000206,-1.29374707761533
ACH-000207,-1.0354257135726521
ACH-000208,-0.7975084323599191
ACH-000210,-1.159519026455938
ACH-000211,-1.077669427708473
ACH-000215,-1.0032444284282114
ACH-000221,-1.0480069287713625
ACH-000222,-0.9234679658462324
ACH-000223,-0.9011932158339536
ACH-000226,-1.0734431309014725
ACH-000227,-1.074235877826208
ACH-000228,-0.8640049587306926
ACH-000231,-1.007631488933428
ACH-000232,-1.0310648144874206
ACH-000233,-1.105877989666542
ACH-000234,-0.9942305485194924
ACH-000235,-0.9084214539782396
ACH-000237,-0.9048904388410532
ACH-000238,-1.0099420724203223
ACH-000242,-0.463262160482101
ACH-000243,-0.9746944360921238
ACH-000244,-0.9679043542793416
ACH-000246,-1.180631175245888
ACH-000248,-0.9229393419877274
ACH-000250,-0.9867576491608346
ACH-000251,-1.4742178262019958
ACH-000252,-1.0117889994357707
ACH-000253,-0.8691909654636709
ACH-000255,-1.1793478387909642
ACH-000256,-1.195419418919483
ACH-000257,-0.9303402352033282
ACH-000258,-1.0337557542929663
ACH-000259,-1.3582521654391806
ACH-000260,-0.966476393588044
ACH-000261,-0.8663592487912396
ACH-000262,-1.1359838295349525
ACH-000263,-0.994502301431395
ACH-000264,-0.7199744508200979
ACH-000265,-0.972662190032935
ACH-000266,-0.7926619424191365
ACH-000272,-0.8614122872096921
ACH-000274,-0.9215616243390432
ACH-000277,-0.8291137537337726
ACH-000278,-0.9683697902482282
ACH-000279,-1.0953232870226923
ACH-000280,-1.0530251851595722
ACH-000281,-0.8322053365476687
ACH-000288,-0.9803057582285788
ACH-000291,-1.234137800150667
ACH-000293,-0.9247282750543714
ACH-000294,-0.9735927985181224
ACH-000295,-1.0608764234258703
ACH-000296,-0.8121697681141637
ACH-000302,-0.9603621051007214
ACH-000304,-1.1572858703690998
ACH-000307,-1.0388928033429692
ACH-000308,-0.9824728616010328
ACH-000310,-1.1044433969118277
ACH-000311,-1.0699426861707533
ACH-000312,-1.147809824361821
ACH-000315,-0.9202660376232994
ACH-000316,-0.9201026194105756
ACH-000317,-0.7950066577597386
ACH-000318,-0.877798259482423
ACH-000319,-1.0348972345419891
ACH-000320,-0.9756899795585966
ACH-000322,-0.9033525440289452
ACH-000323,-1.0492261785437187
ACH-000324,-1.175477673523642
ACH-000329,-1.089392316353001
ACH-000330,-0.8060159267332534
ACH-000331,-1.1112880568874288
ACH-000332,-1.032149622002713
ACH-000334,-1.0179449806690402
ACH-000335,-1.3478283785627978
ACH-000336,-1.0754135483506322
ACH-000337,-1.229546569922248
ACH-000338,-1.0492038573589046
ACH-000339,-1.063817474246429
ACH-000341,-1.1135688704200164
ACH-000348,-1.0551458861927987
ACH-000350,-1.1272486614694228
ACH-000352,-0.9147974890085778
ACH-000356,-1.050223572244959
ACH-000361,-1.111847405165199
ACH-000362,-1.1315109550754658
ACH-000363,-0.921159276136968
ACH-000364,-1.1171849682242023
ACH-000365,-1.1191482240215476
ACH-000366,-1.0943506103517342
ACH-000368,-1.076745746837679
ACH-000374,-0.7746556499825481
ACH-000375,-1.268530970709396
ACH-000376,-1.25603079613915
ACH-000381,-0.9272414013618359
ACH-000383,-0.8973277416991858
ACH-000387,-1.0265979434303685
ACH-000389,-1.1451603570636721
ACH-000390,-0.9859239531107326
ACH-000393,-0.8270031264034106
ACH-000395,-1.0692353774942849
ACH-000396,-0.9036148362966226
ACH-000397,-0.7785621188800275
ACH-000401,-0.8567300110371913
ACH-000402,-0.5387500855822205
ACH-000403,-0.8887146927592066
ACH-000404,-1.2773570848816906
ACH-000406,-0.9391744947450912
ACH-000407,-1.0529612182085748
ACH-000408,-1.0129301623074465
ACH-000410,-1.0173139127022846
ACH-000411,-1.2264564345934676
ACH-000414,-0.99728839999967
ACH-000415,-1.020711316579509
ACH-000416,-0.9303285667901464
ACH-000420,-0.8014801118073129
ACH-000421,-1.0123346234265207
ACH-000424,-1.6921293863318547
ACH-000425,-1.199870564151372
ACH-000426,-0.8945680238660644
ACH-000427,-0.9107203674922296
ACH-000433,-1.064366098299223
ACH-000435,-0.6057862471330169
ACH-000436,-1.1006283555061211
ACH-000444,-0.9722200739220314
ACH-000445,-0.9331692004131592
ACH-000448,-0.9443723092537312
ACH-000450,-1.0233259839041924
ACH-000452,-1.0080824145887308
ACH-000454,-1.1807056912704756
ACH-000458,-1.1723696349538508
ACH-000459,-1.1592730757943737
ACH-000460,-1.0639952113484141
ACH-000461,-0.933205785951812
ACH-000463,-1.1801200279066393
ACH-000464,-1.038417274007027
ACH-000466,-1.1063774069724708
ACH-000467,-0.9763784180029708
ACH-000468,-0.9669313443299048
ACH-000469,-1.0050559776727137
ACH-000470,-0.7360704823222101
ACH-000471,-1.089564824051009
ACH-000472,-0.8977262529098728
ACH-000473,-1.4964535490124657
ACH-000475,-0.9382688021006376
ACH-000476,-1.1434604455596595
ACH-000477,-1.3487881077538757
ACH-000479,-1.1366355327694897
ACH-000480,-1.110088222782231
ACH-000481,-0.857781079559889
ACH-000483,-1.3021135079149344
ACH-000484,-1.013803287289546
ACH-000485,-0.8904944118014042
ACH-000486,-1.0054664507911533
ACH-000487,-1.0283092180192541
ACH-000488,-1.1072405710527595
ACH-000490,-1.0826406118228078
ACH-000491,-0.8407102167903764
ACH-000495,-1.0500801642252422
ACH-000496,-0.9580081213902132
ACH-000499,-0.9815240696897812
ACH-000500,-0.43719571080269787
ACH-000502,-0.7803375694636627
ACH-000503,-0.8044010577948143
ACH-000505,-1.0246740019600555
ACH-000507,-0.9846383317653464
ACH-000510,-1.0821490551787107
ACH-000511,-0.9469458140568228
ACH-000512,-1.3192323974560811
ACH-000516,-0.8652734683372256
