,PDDC1 (347862)
ACH-000004,-0.04706405986143073
ACH-000005,-0.033554148511696545
ACH-000007,-0.3209826404035397
ACH-000009,-0.22561673400236665
ACH-000011,-0.20441094822560735
ACH-000012,-0.2563434055150785
ACH-000013,-0.1357933891640621
ACH-000014,-0.1155550301705362
ACH-000015,-0.2184163662537986
ACH-000017,-0.1173795827095703
ACH-000018,-0.21559093832896534
ACH-000019,-0.3038860656103273
ACH-000021,-0.20189962743968048
ACH-000022,-0.14552775366202625
ACH-000025,-0.1770561906898304
ACH-000028,-0.2678747583804787
ACH-000030,-0.14513667326711305
ACH-000035,-0.04439064244980257
ACH-000036,-0.24496533041145166
ACH-000037,-0.20720670217524206
ACH-000039,0.08817001782648945
ACH-000040,-0.34943238922753883
ACH-000041,-0.22289773598405335
ACH-000042,-0.187144027254236
ACH-000045,-0.22601001098796655
ACH-000047,-0.20227142020378192
ACH-000052,-0.2265000688880024
ACH-000053,-0.17173806719516138
ACH-000054,-0.2734173678489457
ACH-000055,-0.26386175259883043
ACH-000060,-0.2431172698621929
ACH-000067,-0.13850086137249998
ACH-000070,-0.2912721246649223
ACH-000075,-0.34447173782600266
ACH-000078,-0.29685048927724905
ACH-000082,-0.20201067798195235
ACH-000085,-0.027440686293054708
ACH-000086,-0.10404125350911356
ACH-000087,-0.060177378923351565
ACH-000092,-0.1301493746741164
ACH-000095,-0.2288779509716512
ACH-000097,-0.2536939660464145
ACH-000098,-0.20545680985141287
ACH-000099,-0.2329646045045811
ACH-000108,-0.3735126999559048
ACH-000113,-0.2255016353450238
ACH-000116,-0.3160165000022657
ACH-000118,-0.057869729699250624
ACH-000120,-0.05391004013888096
ACH-000123,-0.2475647301390676
ACH-000127,-0.15929453877324587
ACH-000128,-0.12189182055529732
ACH-000132,-0.1441367450819171
ACH-000133,-0.24847066505319754
ACH-000137,-0.15541532544923173
ACH-000138,-0.2743558425723925
ACH-000142,-0.1864448953431528
ACH-000143,-0.0748129777719044
ACH-000146,-0.13141049362682825
ACH-000148,-0.241050802667295
ACH-000150,-0.266794010971848
ACH-000152,-0.1276846434811252
ACH-000153,-0.04439529771910022
ACH-000159,-0.061047318230545086
ACH-000160,-0.1531520739589233
ACH-000163,-0.1840244081512259
ACH-000167,-0.5943168306002613
ACH-000168,-0.08060766159094544
ACH-000169,0.06570773087011379
ACH-000178,-0.0835169961562463
ACH-000183,0.08472680583237621
ACH-000188,0.004642941372533085
ACH-000189,-0.16313054697554258
ACH-000190,-0.13705007693976468
ACH-000198,-0.02039908968761888
ACH-000203,-0.5207091916725051
ACH-000204,-0.1529134455177908
ACH-000206,-0.05823230909315865
ACH-000207,-0.039405531764679584
ACH-000208,-0.011158802091001535
ACH-000210,-0.3848919186101479
ACH-000211,-0.06630137498257889
ACH-000215,-0.15901004809048305
ACH-000221,0.0020108352695082303
ACH-000222,-0.15233367727406616
ACH-000223,-0.15938698569030288
ACH-000226,-0.1920367355945818
ACH-000227,-0.19848727970118235
ACH-000228,-0.15715855410965146
ACH-000231,-0.19177283324733496
ACH-000232,-0.1344735995297501
ACH-000233,-0.2705344031189577
ACH-000234,-0.2668584780881676
ACH-000235,-0.2503456115639112
ACH-000237,-0.29423998623227515
ACH-000238,-0.12006942225521144
ACH-000242,-0.2759724668961618
ACH-000243,-0.1139863564038439
ACH-000244,-0.2387377134287039
ACH-000246,-0.1585532199218464
ACH-000248,-0.1731380452648036
ACH-000250,-0.21003672472376447
ACH-000251,-0.021757886804071726
ACH-000252,-0.04559456803314636
ACH-000253,-0.2000076445384089
ACH-000255,-0.03969253134935137
ACH-000256,-0.2678094648534099
ACH-000257,-0.1726914750144727
ACH-000258,-0.2532985431599485
ACH-000259,-0.15936727920596247
ACH-000260,-0.14188937485055042
ACH-000261,-0.2813644978847542
ACH-000262,-0.29138442908928824
ACH-000263,-0.009631852287977862
ACH-000264,-0.28830145484438224
ACH-000265,-0.10021614189060993
ACH-000266,-0.27641838270858765
ACH-000272,-0.20715625620838427
ACH-000274,-0.1915935356309792
ACH-000277,-0.2246141120796244
ACH-000278,-0.23492459027860846
ACH-000279,-0.19417832916665687
