,GYG1 (2992)
ACH-000004,-0.037354554581951006
ACH-000005,0.10781102266406968
ACH-000007,0.0038146793322282172
ACH-000009,0.05355228656397646
ACH-000011,-0.06392330894017646
ACH-000012,-0.07767948179010173
ACH-000013,-0.054950254920410634
ACH-000014,-0.05222960252950764
ACH-000015,0.01425000955535547
ACH-000017,-0.02004183605714231
ACH-000018,0.009899836524172744
ACH-000019,0.0656545589747701
ACH-000021,0.028897505545154963
ACH-000022,-0.018637463626107992
ACH-000025,0.008026464908633816
ACH-000028,-0.09192873005270877
ACH-000030,-0.0010943458588450383
ACH-000035,-0.09267156810818243
ACH-000036,-0.06942134227911112
ACH-000037,-0.05826715821165939
ACH-000039,0.11407162494514027
ACH-000040,-0.08058191795661575
ACH-000041,-0.167081431227906
ACH-000042,-0.034818344322177716
ACH-000045,-0.048496486392516365
ACH-000047,0.1211961439691992
ACH-000052,-0.026983711830668392
ACH-000053,-0.07955425877843296
ACH-000054,-0.05015248139438201
ACH-000055,0.009776551900488529
ACH-000060,-0.11273168406418088
ACH-000067,0.03729081172609479
ACH-000070,-0.0636104499381299
ACH-000075,0.017421823705620038
ACH-000078,-0.3046615705491139
ACH-000082,-0.14347380302424034
ACH-000085,-0.007880813571687377
ACH-000086,-0.012442235980251638
ACH-000087,0.023330245142522542
ACH-000092,-0.19001895677643907
ACH-000095,-0.10889857572126824
ACH-000097,-0.03553227367607704
ACH-000098,-0.002452915245228609
ACH-000099,-0.009781784647430816
ACH-000108,-0.10642473194254283
ACH-000113,-0.09256412663559237
ACH-000116,0.015001014647398675
ACH-000118,0.05198158067128925
ACH-000120,0.041856185940156915
ACH-000123,-0.057478458561339686
ACH-000127,0.06256838209212583
ACH-000128,0.0448385244206716
ACH-000132,0.050491557376181
ACH-000133,0.0749627757399285
ACH-000137,-0.017480866602880844
ACH-000138,-0.022431691326188868
ACH-000142,-0.004191810293345897
ACH-000143,-0.12590051557999554
ACH-000146,-0.06334696044170668
ACH-000148,0.10148148390636354
ACH-000150,-0.04730774905523076
ACH-000152,-0.03749796529734066
ACH-000153,-0.3355782832672285
ACH-000159,-0.023200377925509538
ACH-000160,-0.035908939331754916
ACH-000163,-0.13750587393579436
ACH-000167,-0.13771752425679964
ACH-000168,-0.08062061212382626
ACH-000169,-0.031898352084017284
ACH-000178,0.0487989945255753
ACH-000183,0.11067888585019248
ACH-000188,-0.0352047780059638
ACH-000189,0.02896805017870926
ACH-000190,-0.01562690805268934
ACH-000198,-0.06692126198161358
ACH-000203,0.0533490043695681
ACH-000204,-0.2266614739341241
ACH-000206,-0.08981589801641568
ACH-000207,0.022829235754295674
ACH-000208,-0.05272930265090688
ACH-000210,0.21723182851323053
ACH-000211,-0.10416714763788333
ACH-000215,0.011694979002799012
ACH-000221,-0.02985226675075558
ACH-000222,0.059297533649872176
ACH-000223,0.06501687370094479
ACH-000226,-0.08332603913942448
ACH-000227,-0.0635873145800441
ACH-000228,-0.020285687700833003
ACH-000231,-0.06086659685752301
ACH-000232,-0.027552546736319086
ACH-000233,-0.05908687117513457
ACH-000234,-0.011883552384337456
ACH-000235,-0.008338014002122116
ACH-000237,-0.0785912671832675
ACH-000238,-0.05186033804512815
ACH-000242,-0.07937092292022314
ACH-000243,0.06690697728563429
ACH-000244,0.050803399897058864
ACH-000246,-0.1066254438735126
ACH-000248,0.035642789488589836
ACH-000250,0.01685889597170656
ACH-000251,0.23525582799931874
ACH-000252,-0.14305396363806966
ACH-000253,-0.09914621002116533
ACH-000255,0.014191874630371212
ACH-000256,-0.13774564490465555
ACH-000257,-0.20386688383342672
ACH-000258,0.14271416857491315
ACH-000259,-0.05779297837151464
ACH-000260,-0.03550974334056643
ACH-000261,0.041487272834799686
ACH-000262,-0.0059750451751700365
ACH-000263,-0.03180077861335436
ACH-000264,-0.09400202846474703
ACH-000265,0.06478536060842993
ACH-000266,0.0011423880249565885
ACH-000272,-0.08367879656324059
ACH-000274,-0.1016635349219279
