,ERP44 (23071)
ACH-000004,-0.01911778392373718
ACH-000005,-0.16182167594429722
ACH-000007,-0.2516336394854382
ACH-000009,-0.339085872034721
ACH-000011,-0.36479603252048665
ACH-000012,-0.31003838970324343
ACH-000013,-0.15611084054276458
ACH-000014,-0.10859691638356464
ACH-000015,-0.29766393268522195
ACH-000017,-0.14121621580561988
ACH-000018,-0.4140442228575867
ACH-000019,-0.08676635943126726
ACH-000021,-0.27887027558241423
ACH-000022,-0.2459023207486423
ACH-000025,-0.3600550547627913
ACH-000028,-0.1315123748330059
ACH-000030,-0.10457520142330146
ACH-000035,-0.10958369687828008
ACH-000036,-0.009617661793788744
ACH-000037,-0.2026229987044764
ACH-000039,-0.38238208817259495
ACH-000040,-0.289806825722542
ACH-000041,-0.26205450555172405
ACH-000042,-0.22912522950520955
ACH-000045,-0.025627389164368998
ACH-000047,-0.22553523339030354
ACH-000052,-0.2809709828630696
ACH-000053,-0.16751639440440458
ACH-000054,-0.3809237391883902
ACH-000055,-0.2515871834903146
ACH-000060,-0.271917810912052
ACH-000067,-0.10618909778859914
ACH-000070,-0.1393985406114146
ACH-000075,-0.1327175204990637
ACH-000078,-0.2882066524242414
ACH-000082,-0.2579105170408782
ACH-000085,-0.21789716703682188
ACH-000086,-0.23738670994748026
ACH-000087,-0.2711603840097521
ACH-000092,-0.36276023561265697
ACH-000095,-0.1827316137330104
ACH-000097,-0.21588101401524895
ACH-000098,-0.23730055277939924
ACH-000099,-0.1407352520423353
ACH-000108,-0.4485291725854286
ACH-000113,-0.09540945993169027
ACH-000116,0.017569399498516058
ACH-000118,-0.2357887865695132
ACH-000120,-0.029276046135610214
ACH-000123,-0.29661829592463423
ACH-000127,-0.3273907346275836
ACH-000128,-0.3344392043229629
ACH-000132,-0.2149661693066109
ACH-000133,-0.165421053109909
ACH-000137,-0.2518963051126604
ACH-000138,-0.3731339560809723
ACH-000142,0.05990671961771784
ACH-000143,-0.18344359912408847
ACH-000146,-0.27893450319077784
ACH-000148,-0.17298780131669528
ACH-000150,-0.2644340996900902
ACH-000152,-0.1005380424868548
ACH-000153,-0.13299580639577993
ACH-000159,-0.1578788757931492
ACH-000160,-0.19286631441585905
ACH-000163,-0.19141635251512185
ACH-000167,-0.1253692922182834
ACH-000168,-0.22326930611185108
ACH-000169,-0.28613276722064235
ACH-000178,-0.2723917331228479
ACH-000183,0.0271528225014132
ACH-000188,-0.10679491575024253
ACH-000189,-0.3075587399956582
ACH-000190,-0.22841355993047704
ACH-000198,-0.14668895995655976
ACH-000203,-0.4058583910199496
ACH-000204,0.08706281455645144
ACH-000206,-0.3168194961690705
ACH-000207,-0.18650944854315465
ACH-000208,-0.3145785062130668
ACH-000210,-0.14646006407294124
ACH-000211,-0.1003533307916286
ACH-000215,-0.219816120600628
ACH-000221,-0.20013659581469834
ACH-000222,-0.3932763784452368
ACH-000223,-0.14290414373993354
ACH-000226,-0.2350330001391145
ACH-000227,-0.19828815279077613
ACH-000228,-0.20180345717830656
ACH-000231,-0.16897013304986405
ACH-000232,-0.239696851506577
ACH-000233,-0.01979532843835484
ACH-000234,-0.2139438883128208
ACH-000235,-0.20520317881520175
ACH-000237,-0.32758971129122394
ACH-000238,-0.13978575564410056
ACH-000242,-0.1392694350433165
ACH-000243,-0.0026656009948773964
ACH-000244,0.04058923535476624
ACH-000246,-0.22425116897674105
ACH-000248,-0.15844209667424694
ACH-000250,-0.20459667288995367
ACH-000251,-0.14371915380946035
ACH-000252,-0.1327103213593004
ACH-000253,-0.1427923053271655
ACH-000255,-0.37213795246464404
ACH-000256,-0.2240579242598803
ACH-000257,-0.2054527355731944
ACH-000258,-0.15745073824459774
ACH-000259,-0.2540419568727331
ACH-000260,-0.20487247236211487
ACH-000261,-0.18740113724138147
ACH-000262,-0.4073359374106696
ACH-000263,-0.05761969660372125
ACH-000264,-0.12938635084036446
ACH-000265,-0.1743574260652172
ACH-000266,-0.27599199102966193
ACH-000272,-0.20901747744534072
ACH-000274,-0.29182566155743284
ACH-000277,-0.11232999739334283
ACH-000278,-0.17255095367581993
ACH-000279,-0.08736134349635953
ACH-000280,-0.14121055330838855
ACH-000281,-0.23282932251065416
ACH-000288,-0.17957112750072649
ACH-000291,-0.39800890378875
ACH-000293,-0.076457447321423
ACH-000294,-0.2577133922051699
ACH-000295,-0.0995290301412672
ACH-000296,-0.18582324102733466
ACH-000302,-0.21502764660981175
ACH-000304,-0.17119526559148288
ACH-000307,-0.253072026150719
ACH-000308,-0.2554463681745616
ACH-000310,-0.2599745983908496
ACH-000311,-0.2368108353006779
ACH-000312,-0.28256558538584964
ACH-000315,-0.022887223222703482
ACH-000316,-0.2777916027150539
ACH-000317,-0.11282949329555493
