,PTGER4 (5734)
ACH-000004,-0.03134527148369126
ACH-000005,0.1190745661932884
ACH-000007,0.032449054591778236
ACH-000009,0.037305290088471776
ACH-000011,-0.03360328730998099
ACH-000012,-0.1384535869850897
ACH-000013,-0.006179743843891846
ACH-000014,-0.17933179322008633
ACH-000015,-0.05527097026164283
ACH-000017,0.015520029263559004
ACH-000018,0.20659348039934156
ACH-000019,-0.007752836894442181
ACH-000021,0.04463253277659317
ACH-000022,0.017663521358415618
ACH-000025,0.11381464071238315
ACH-000028,-0.04410701235809133
ACH-000030,0.17512485895876845
ACH-000035,-0.04148273791433724
ACH-000036,-0.0758634479764359
ACH-000037,-0.04246142674086225
ACH-000039,-0.19985497019174628
ACH-000040,0.0059757400229652384
ACH-000041,-0.06866865597123377
ACH-000042,-0.03363088773335575
ACH-000045,0.12540592762552694
ACH-000047,-0.0465597390017111
ACH-000052,-0.012308601150240907
ACH-000053,-0.07581795202113606
ACH-000054,-0.04223546296607962
ACH-000055,-0.2111173591621586
ACH-000060,0.0012705578860186823
ACH-000067,0.3369435229319769
ACH-000070,-0.13803941443927664
ACH-000075,0.041754306224385765
ACH-000078,0.07183703531396134
ACH-000082,-0.06258664960410527
ACH-000085,-0.15742701633739234
ACH-000086,0.07002327187375812
ACH-000087,-0.05376688953687542
ACH-000092,-0.029948668755715373
ACH-000095,-0.09877718669325447
ACH-000097,0.031581810016345364
ACH-000098,-0.1196188251737063
ACH-000099,0.02978318708959848
ACH-000108,-0.11978408053509522
ACH-000113,-0.0018342662908309238
ACH-000116,-0.13610670755808027
ACH-000118,0.004145806440466773
ACH-000120,0.10750653132008033
ACH-000123,-0.038583867012355985
ACH-000127,-0.18452330980765555
ACH-000128,-0.07178783701868086
ACH-000132,-0.1029223776329203
ACH-000133,-0.16481541442862535
ACH-000137,-0.07373570989404761
ACH-000138,-0.019940104925619692
ACH-000142,-0.12164915330449698
ACH-000143,-0.158380861507034
ACH-000146,-0.10453444902666452
ACH-000148,-0.04413316565560778
ACH-000150,0.2276577924298816
ACH-000152,-0.052432755512656914
ACH-000153,0.091379298584727
ACH-000159,-0.06909681156947517
ACH-000160,-0.30289953611248505
ACH-000163,0.1907254792335232
ACH-000167,-0.2814719007760793
ACH-000168,-0.11947511143552307
ACH-000169,-0.0772604184356275
ACH-000178,0.09202665994116753
ACH-000183,-0.06972114459310537
ACH-000188,0.0840918125077219
ACH-000189,-0.22936362956564665
ACH-000190,0.056468625657066965
ACH-000198,0.01900273682024397
ACH-000203,0.22252988708921145
ACH-000204,0.3422152179431073
ACH-000206,-1.1573092400557248
ACH-000207,0.012002890977631598
ACH-000208,0.054340218178570834
ACH-000210,-0.3109256207654039
ACH-000211,-0.06569753633710904
ACH-000215,-0.01903584683120027
ACH-000221,-0.24966538520571205
ACH-000222,0.013113654435701734
ACH-000223,-0.05529040059215946
ACH-000226,-0.0595252910981197
ACH-000227,-0.2260741380951745
ACH-000228,-0.04893483240118399
ACH-000231,-0.08537381912170744
