,GOLGA6A (342096)
ACH-000004,-0.4410443914707252
ACH-000005,-0.3944311714112915
ACH-000007,-0.5591070796126368
ACH-000009,-0.6221723674822028
ACH-000011,-0.5260132343075636
ACH-000012,-0.4775945724313209
ACH-000013,-0.6168850611411234
ACH-000014,-0.5443575846459942
ACH-000015,-0.5618014985261766
ACH-000017,-0.3122153474683513
ACH-000018,-0.4266003482019223
ACH-000019,-0.5095649539397614
ACH-000021,-0.5718639270490018
ACH-000022,-0.7569721162244492
ACH-000025,-0.5482887706591265
ACH-000028,-0.3229571444643584
ACH-000030,-0.5010585177217455
ACH-000035,-0.3786535805165834
ACH-000036,-0.5232088454491096
ACH-000037,-0.3908940015329668
ACH-000039,-0.3549712760302826
ACH-000040,-0.5887345720132797
ACH-000041,-0.6947546947615986
ACH-000042,-0.5925822755786129
ACH-000045,-0.34755575517397297
ACH-000047,-0.4552055179385353
ACH-000052,-0.6164966949266126
ACH-000053,-0.6552672599696976
ACH-000054,-0.4680521832270447
ACH-000055,-0.15009911722663435
ACH-000060,-0.44519785732310496
ACH-000067,-0.3556436120345613
ACH-000070,-0.3794024193176169
ACH-000075,-0.6201232910339168
ACH-000078,-0.4510342824580227
ACH-000082,-0.4432842966490104
ACH-000085,-0.7964455104786007
ACH-000086,-0.406064424583618
ACH-000087,-0.7699039785454199
ACH-000092,-0.4073780706988044
ACH-000095,-0.5177632216940448
ACH-000097,-0.5555193923689895
ACH-000098,-0.517293071210396
ACH-000099,-0.4859121776025066
ACH-000108,-0.3939798069944291
ACH-000113,-0.2851892302663045
ACH-000116,-0.6237166158009683
ACH-000118,-0.2495230942331797
ACH-000120,-0.4652467541642203
ACH-000123,-0.4464251917896984
ACH-000127,-0.657221082961886
ACH-000128,-0.6167688876485421
ACH-000132,-0.583668030738293
ACH-000133,-0.4163935042535901
ACH-000137,-0.4775613008269695
ACH-000138,-0.6596166733373339
ACH-000142,-0.4816693233602996
ACH-000143,-0.4557139017251056
ACH-000146,-0.5936309472811699
ACH-000148,-0.6901465628897043
ACH-000150,-0.3863690044589337
ACH-000152,-0.3788399870932304
ACH-000153,-0.38793540520903547
ACH-000159,-0.4514595028835709
ACH-000160,-0.7981165755815389
ACH-000163,-0.5425950016336226
ACH-000167,-1.2021766470833712
ACH-000168,-0.4982391366559908
ACH-000169,-0.6723305148739731
ACH-000178,-0.4507053039973949
ACH-000183,-0.3429315010618668
ACH-000188,-0.6035049913505047
ACH-000189,-0.1474932453784851
ACH-000190,-0.2436503958913457
ACH-000198,-0.3808142162145055
ACH-000203,-0.5812158450669963
ACH-000204,-0.5746821255986069
ACH-000206,-0.42565400513305984
ACH-000207,-0.594464558910773
ACH-000208,-0.30938429163100484
ACH-000210,-0.5382384095484086
ACH-000211,-0.5729531665133428
ACH-000215,-0.4952290152153513
ACH-000221,-0.3899557809598036
ACH-000222,-0.27848678727489984
ACH-000223,-0.4540486364690999
ACH-000226,-0.4636532464787415
ACH-000227,-0.5807905898794196
ACH-000228,-0.4876557716032121
ACH-000231,-0.4219938207392658
ACH-000232,-0.4641160123369184
ACH-000233,-0.6348815651728614
ACH-000234,-0.5176110272657529
