,A1CF (29974)
ACH-000004,0.07553627153366865
ACH-000005,0.2331235792597533
ACH-000007,0.0668375736108867
ACH-000009,0.008429763551973878
ACH-000011,0.08395240659482057
ACH-000012,0.14218696170106648
ACH-000013,0.032739044804703604
ACH-000014,-0.03533250059510406
ACH-000015,0.008492957424032402
ACH-000017,0.08100820636774507
ACH-000018,0.06485164899261744
ACH-000019,-0.034648297848422084
ACH-000021,0.05767586843843761
ACH-000022,0.0925823936811462
ACH-000025,-0.07975569734778698
ACH-000028,-0.06342853219345519
ACH-000030,-0.17119084430573198
ACH-000035,0.04638834898767931
ACH-000036,0.0885672122418807
ACH-000037,0.16449285861003596
ACH-000039,0.2086614996881629
ACH-000040,0.04649048701207195
ACH-000041,0.14849027284845334
ACH-000042,0.07393014875262655
ACH-000045,0.1701245797145521
ACH-000047,0.2486534407731617
ACH-000052,0.01717547769714219
ACH-000053,0.0667633152995769
ACH-000054,0.06692743080798096
ACH-000055,0.07733874575819373
ACH-000060,0.06319651275067471
ACH-000067,0.004233179275941898
ACH-000070,-0.011556344175488712
ACH-000075,0.0053158079975083785
ACH-000078,0.18866382080621105
ACH-000082,0.11202463026433396
ACH-000085,0.14722307686973507
ACH-000086,-0.0642949499694004
ACH-000087,0.1887517435140064
ACH-000092,0.03909837845593636
ACH-000095,0.022295062876756956
ACH-000097,0.100717813212385
ACH-000098,-0.01889958634464684
ACH-000099,0.1269097565527969
ACH-000108,0.03697088608200778
ACH-000113,0.004755853893830815
ACH-000116,0.025440109467552017
ACH-000118,0.06943596860089489
ACH-000120,0.03411325820254826
ACH-000123,0.001815569662833816
ACH-000127,0.04240214859975977
ACH-000128,0.002803803287588838
ACH-000132,0.02274825122302612
ACH-000133,0.06550309661668352
ACH-000137,0.06274307408408572
ACH-000138,0.09716635208980368
ACH-000142,0.12651888292911515
ACH-000143,-0.11110572614477257
ACH-000146,0.10636833144126906
ACH-000148,-0.0929843782993269
ACH-000150,0.15616370010891592
ACH-000152,-0.0067182826711210545
ACH-000153,0.3314059575171071
ACH-000159,-0.0227300680938492
ACH-000160,0.027496447309655885
ACH-000163,0.2436444377709514
ACH-000167,0.1991575406484924
ACH-000168,0.07048474431202895
ACH-000169,0.06913494021305458
ACH-000178,0.1055728838347764
ACH-000183,0.18894382046725725
ACH-000188,0.08979551946771105
ACH-000189,0.1803364975621367
ACH-000190,-0.02867350338448485
ACH-000198,0.00484258896146922
ACH-000203,-0.40252677856012337
ACH-000204,-0.0094284349857287
ACH-000206,0.14497980663126894
ACH-000207,-0.2466621443288643
ACH-000208,0.2808950738875952
ACH-000210,0.11231339013517147
ACH-000211,0.012366879716961056
ACH-000215,0.12152656339268535
ACH-000221,0.12493971100111442
ACH-000222,0.26615933077533804
ACH-000223,-0.009453546507142595
ACH-000226,-0.04429336820554813
ACH-000227,0.002865003219195332
ACH-000228,-0.09851232074298592
ACH-000231,0.0878436151781163
ACH-000232,0.08133327458968599
ACH-000233,0.1437492885071975
ACH-000234,0.10650090357743162
ACH-000235,0.10447041056076488
ACH-000237,0.07892708199159593
ACH-000238,0.08246719704469538
ACH-000242,0.2155643019969348
ACH-000243,0.01619394679842439
ACH-000244,0.07520699066397908
ACH-000246,0.1365294778652962
ACH-000248,0.04072287823509594
ACH-000250,0.06784144806879776
ACH-000251,0.061735101130308626
ACH-000252,0.19112915681097006
ACH-000253,0.152815960005479
ACH-000255,0.0035550843231587992
ACH-000256,0.08877785856046615
ACH-000257,-0.11230032358923908
ACH-000258,0.05298637247137282
ACH-000259,0.10665856716918122
ACH-000260,0.06941501553345633
ACH-000261,-0.002315750252950141
ACH-000262,0.20967014057954908
ACH-000263,0.1148509773561944
ACH-000264,0.1533835433377871
ACH-000265,0.06665415921038527
ACH-000266,0.10733036997144016
