,COX5B (1329)
ACH-000004,-0.5109594090291888
ACH-000005,-0.5049396251478296
ACH-000007,-0.4796194257316387
ACH-000009,-0.4431673189200229
ACH-000011,-0.2754749477761897
ACH-000012,-0.403757250685364
ACH-000013,-0.5853446812251931
ACH-000014,-0.6395997484167986
ACH-000015,-0.5536095384341712
ACH-000017,-0.4248067775593885
ACH-000018,-0.3418364442328135
ACH-000019,-0.8278698353638055
ACH-000021,-0.6547216305231531
ACH-000022,-0.5765517969849387
ACH-000025,-0.586646861890928
ACH-000028,-0.5594905019881428
ACH-000030,-0.6324263858765585
ACH-000035,-0.6010943714629158
ACH-000036,-0.23309265374249305
ACH-000037,-0.5597074748631786
ACH-000039,-0.5633662894624947
ACH-000040,-0.3556364760224211
ACH-000041,-0.5608056444586549
ACH-000042,-0.3916012872486682
ACH-000045,-0.6742583094884925
ACH-000047,-0.6956149614481241
ACH-000052,-0.558281784355597
ACH-000053,-0.5229880621935221
ACH-000054,-0.5729921416703949
ACH-000055,-0.5995143809857325
ACH-000060,-0.5597478169761613
ACH-000067,-0.4948894243864455
ACH-000070,-0.5866281093662508
ACH-000075,-0.5446735511187035
ACH-000078,-0.4343239431863254
ACH-000082,-0.4218966151413752
ACH-000085,-0.4820224890579637
ACH-000086,-0.4938388907581384
ACH-000087,-0.8106169019741202
ACH-000092,-0.5552058146975443
ACH-000095,-0.3990630632017344
ACH-000097,-0.5057499709397578
ACH-000098,-0.4318746482989108
ACH-000099,-0.5778898326839316
ACH-000108,-0.36880284121695456
ACH-000113,-0.4884388917964556
ACH-000116,-0.5791687591010641
ACH-000118,-0.7890416758142091
ACH-000120,-0.4436869278842968
ACH-000123,-0.5073049236419389
ACH-000127,-0.5937744913362127
ACH-000128,-0.4775049296758144
ACH-000132,-0.601407231157677
ACH-000133,-0.4850312268038568
ACH-000137,-0.4766189649228095
ACH-000138,-0.5733268232671641
ACH-000142,-0.3086678434401601
ACH-000143,-0.5111819469507051
ACH-000146,-0.8261290071980353
ACH-000148,-0.5455864341121506
ACH-000150,-0.6466154502587484
ACH-000152,-0.5337317866509385
ACH-000153,-0.5782370826701606
ACH-000159,-0.48142871326477504
ACH-000160,-0.6963158074537787
ACH-000163,-0.4070142265303579
ACH-000167,-0.4958084133065452
ACH-000168,-0.18485489493456206
ACH-000169,-0.5299294360890802
ACH-000178,-0.4952737700348149
ACH-000183,-0.7360007600311519
ACH-000188,-0.3959215448668486
ACH-000189,-0.6424760169011237
ACH-000190,-0.8004221958498527
ACH-000198,-0.7972030955104421
ACH-000203,-0.20803150027654332
ACH-000204,-0.4723783521628869
ACH-000206,-0.6604816692670813
ACH-000207,-0.5461254848730007
ACH-000208,-0.8106537649977892
ACH-000210,-0.7536419875520903
ACH-000211,-0.5559704619930059
ACH-000215,-0.5186412123573246
ACH-000221,-0.5670547255209879
ACH-000222,-0.5186917189935463
ACH-000223,-0.6261183530607249
ACH-000226,-0.7007115000772322
ACH-000227,-0.6744621536616223
ACH-000228,-0.6418009613780681
ACH-000231,-0.34367419359817
ACH-000232,-0.4256877028643389
ACH-000233,-0.5609032943285776
ACH-000234,-0.6113763996233381
ACH-000235,-0.556978739045249
ACH-000237,-0.35127677842872984
ACH-000238,-0.3190796845443752
ACH-000242,-0.4943781356760826
ACH-000243,-0.4064957979529719
ACH-000244,-0.20228819394185765
ACH-000246,-0.6996965182569116
ACH-000248,-0.4000466796193449
ACH-000250,-0.25644136883819346
ACH-000251,-0.7420156523992331
ACH-000252,-0.4475244662751463
ACH-000253,-0.6108143794201777
ACH-000255,-0.511588555255042
ACH-000256,-0.4729974988930846
ACH-000257,-0.6340234926884362
ACH-000258,-0.2826448128768213
ACH-000259,-0.8052449849624298
ACH-000260,-0.17121942466361895
ACH-000261,-0.5608527480984554
ACH-000262,-0.3022575532231894
ACH-000263,-0.6786199216132346
ACH-000264,-0.3660837117395032
ACH-000265,-0.5970927020478045
ACH-000266,-0.4460385490478148
ACH-000272,-0.6064952159054261
ACH-000274,-0.4881526276929141
ACH-000277,-0.7371901551578063
ACH-000278,-0.40267133575051495
ACH-000279,-0.6184016877301702
ACH-000280,-0.3737699329306683
ACH-000281,-0.5672525442220524
ACH-000288,-0.5864671034216637
ACH-000291,-0.5942010478736138
ACH-000293,-0.5691599340961138
ACH-000294,-0.4764491634752791
ACH-000295,-0.4621703183283621
ACH-000296,-0.26883317540365304
ACH-000302,-0.5552117281777149
ACH-000304,-0.7777295083981532
ACH-000307,-0.6639405104217849
ACH-000308,-0.3730398031177102
ACH-000310,-0.5805225731675345
ACH-000311,-0.4298774957871985
ACH-000312,-0.7243162547422117
ACH-000315,-0.5880234492876375
ACH-000316,-0.4156329731099677
ACH-000317,-1.0382962863450638
ACH-000318,-0.42150633579590974
ACH-000319,-0.3669352279622535
ACH-000320,-0.475994959887005
ACH-000322,-0.5809183984442745
ACH-000323,-0.4604405476835148
ACH-000324,-0.30735604374444303
ACH-000329,-0.802397552368592
ACH-000330,-0.5878632036749118
ACH-000331,-0.3866545393818922
ACH-000332,-0.3389763382757176
ACH-000334,-0.7550464688033653
ACH-000335,-0.4305623101914895
ACH-000336,-0.6540425158306385
ACH-000337,-0.5355336561431906
ACH-000338,-0.7074092075733696
ACH-000339,-0.5284697104522128
ACH-000341,-0.4592139768624786
ACH-000348,-0.6076228999267214
ACH-000350,-0.6077939839734102
ACH-000352,-0.5865838774200234
ACH-000356,-0.3606758494537968
ACH-000361,-0.5694142497720799
ACH-000362,-0.6716612127624397
ACH-000363,-0.6477390587366714
ACH-000364,-0.5259342198022278
ACH-000365,-0.7453112946978673
ACH-000366,-0.6415387809099391
ACH-000368,-0.6835649601185264
ACH-000374,-0.7078706312370324
ACH-000375,-0.2610288849029752
ACH-000376,-0.7510108287592595
ACH-000381,-0.6634636612792055
ACH-000383,-0.6072587531958115
ACH-000387,-0.5268957716883255
ACH-000389,-0.259120055745223
ACH-000390,-0.6419489640179621
ACH-000393,-0.4474526755347744
ACH-000395,-0.2527058517588843
ACH-000396,-0.6950287249523612
ACH-000397,-0.3971064288549628
ACH-000401,-0.6048647325661579
ACH-000402,-0.4101112937830233
ACH-000403,-0.5288276600543569
ACH-000404,-0.7017179246962115
ACH-000406,-0.6886758048949478
ACH-000407,-0.5693612582339391
ACH-000408,-0.6943389829144422
ACH-000410,-0.5391450353764092
ACH-000411,-0.2407857476553684
ACH-000414,-0.5154849942238771
ACH-000415,-0.5810923856963008
ACH-000416,-0.4825199485687927
ACH-000420,-0.488667584589768
ACH-000421,-0.4287947509704966
ACH-000424,-0.7046365255436626
ACH-000425,-0.5542196117927576
ACH-000426,-0.2448498092471753
ACH-000427,-0.6858826124761598
ACH-000433,-0.3855652850684014
ACH-000435,-0.6906634047302743
ACH-000436,-0.337768840295782
ACH-000444,-0.4609855861301033
ACH-000445,-0.5829170132729394
ACH-000448,-0.5615901634793236
ACH-000450,-0.5683080211902036
ACH-000452,-0.388952080468997
ACH-000454,-0.7204086813716127
ACH-000458,-0.6044502756209822
ACH-000459,-0.9146988511677532
ACH-000460,-0.4930127444155928
ACH-000461,-0.7311272800733503
ACH-000463,-0.3647175267653476
ACH-000464,-0.4008116326761816
ACH-000466,-0.4817705456239674
ACH-000467,-0.858757415458951
ACH-000468,-0.5580413898054857
ACH-000469,-0.6311615865302969
ACH-000470,-0.3819220366662916
ACH-000471,-0.4411431036652516
ACH-000472,-0.4887564307051454
ACH-000473,-0.4947256322710704
ACH-000475,-0.5359944561354677
ACH-000476,-0.6490291471497587
ACH-000477,-0.5667744773385142
ACH-000479,-0.37598271604046135
ACH-000480,-0.5437160593617094
ACH-000481,-0.6323675222854047
ACH-000483,-0.4818768994523944
ACH-000484,-0.35142570282396485
ACH-000485,-0.5825868971273557
ACH-000486,-0.7633970097995318
ACH-000487,-0.5606337635476657
ACH-000488,-0.8319280857258512
ACH-000490,-0.3799021477621872
ACH-000491,-0.8473953897614621
ACH-000495,-0.4620831489597849
ACH-000496,-0.4767550078443501
ACH-000499,-0.32403893581887555
ACH-000500,-0.9130061484739516
ACH-000502,-0.4236866732635082
ACH-000503,-0.4897389836653655
ACH-000505,-0.49066909166302597
ACH-000507,-0.6658477408134416
ACH-000510,-0.6136252585632395
ACH-000511,-0.3777663878613685
ACH-000512,-0.6716530459272172
ACH-000516,-0.40631772239514014
ACH-000517,-0.5369784279872915
ACH-000518,-0.4373678335499026
