,SMOC1 (64093)
ACH-000004,0.010268731023444956
ACH-000005,-0.09972310883057824
ACH-000007,-0.10316629751763524
ACH-000009,-0.0701591533831906
ACH-000011,-0.07368606592505722
ACH-000012,-0.08211444344277913
ACH-000013,-0.0936440181269548
ACH-000014,-0.08102595461160994
ACH-000015,-0.11671639380847025
ACH-000017,-0.1705866099632831
ACH-000018,-0.09480559828426324
ACH-000019,-0.13554330533882758
ACH-000021,-0.035071211801565624
ACH-000022,-0.0529162594207574
ACH-000025,-0.04981218825019183
ACH-000028,-0.0766068279894438
ACH-000030,-0.10072105321138207
ACH-000035,-0.005375463520790652
ACH-000036,-0.08223801712693057
ACH-000037,-0.026974158778083696
ACH-000039,-0.10718170224647494
ACH-000040,-0.16965447318375654
ACH-000041,-0.15014759387216922
ACH-000042,-0.06477665099759737
ACH-000045,-0.11328884673877085
ACH-000047,-0.06339248434293407
ACH-000052,-0.08052625467127368
ACH-000053,-0.11879570707752225
ACH-000054,-0.1064448669394306
ACH-000055,-0.15661430482378058
ACH-000060,-0.15703452540520352
ACH-000067,-0.019842179043785692
ACH-000070,-0.0298494052329629
ACH-000075,0.03866353256144765
ACH-000078,-0.12488625622203055
ACH-000082,-0.10603121550851301
ACH-000085,-0.14744255235573905
ACH-000086,-0.013868819150829392
ACH-000087,0.08098026284393363
ACH-000092,-0.01971393655154141
ACH-000095,-0.15243411367174206
ACH-000097,-0.007826386459838778
ACH-000098,-0.2050041260282767
ACH-000099,-0.08089888776915383
ACH-000108,-0.01312557697260144
ACH-000113,-0.09149348488718634
ACH-000116,-0.04336364733275851
ACH-000118,-0.04203853568251165
ACH-000120,-0.09575124590562473
ACH-000123,0.00593829193621174
ACH-000127,-0.12755306076819894
ACH-000128,0.04576988337922242
ACH-000132,-0.1285739787307974
ACH-000133,-0.030204878770462018
ACH-000137,-0.02419491908796517
ACH-000138,-0.1340520925854931
ACH-000142,-0.10565444295342916
ACH-000143,0.12195227283567445
ACH-000146,-0.09706967433689266
ACH-000148,-0.09141916735779274
ACH-000150,-0.05219698048183352
ACH-000152,-0.040019445540726784
ACH-000153,-0.0667965910387389
ACH-000159,-0.15326531587912826
ACH-000160,-0.028585954156494262
ACH-000163,-0.0934991865861299
ACH-000167,-0.3868992634849071
ACH-000168,0.0851855432253682
ACH-000169,-0.13089118165583072
ACH-000178,-0.09255086538213893
ACH-000183,-0.14800708449602698
ACH-000188,-0.042690622499842866
ACH-000189,-0.18992680477957696
ACH-000190,-0.1619762027522544
ACH-000198,-0.18581552014457006
ACH-000203,-0.3934897618737536
ACH-000204,-0.10655365652387777
ACH-000206,0.06622111881573937
ACH-000207,-0.03541997703044035
ACH-000208,-0.2562068356134368
ACH-000210,-0.0019278028017045297
ACH-000211,-0.12340700526408395
ACH-000215,-0.033875879362786424
ACH-000221,-0.058102657583765815
ACH-000222,-0.13020171242061782
ACH-000223,-0.022613105182492998
ACH-000226,-0.12557388488594975
ACH-000227,-0.03037841211328777
ACH-000228,-0.057746990092852064
ACH-000231,-0.13349781544101008
ACH-000232,-0.16386079324724984
ACH-000233,-0.04368527143347699
ACH-000234,0.07893287826675352
ACH-000235,-0.11133884395170328
ACH-000237,0.08405312045036564
ACH-000238,-0.1618993848122472
ACH-000242,-0.10867150834496483
ACH-000243,-0.14516502997326838
ACH-000244,-0.05485850194605457
ACH-000246,-0.020213475538263227
ACH-000248,-0.038820541108411766
ACH-000250,-0.1285591336208168
ACH-000251,-0.1340270795503222
ACH-000252,-0.2283774577402059
ACH-000253,-0.022353424140964483
ACH-000255,-0.10196385419606746
ACH-000256,-0.09051923713161428
ACH-000257,-0.07884987888381763
ACH-000258,-0.13008384456271205
ACH-000259,-0.17137222090266946
