,ACKR1 (2532)
ACH-000004,-0.26839132618681383
ACH-000005,-0.10264759803260252
ACH-000007,-0.07413101182396829
ACH-000009,-0.2285572539721013
ACH-000011,0.06936939583616633
ACH-000012,-0.2003747460037089
ACH-000013,0.009731973937234515
ACH-000014,-0.11842261903753372
ACH-000015,-0.17278599468012704
ACH-000017,-0.1167783890035274
ACH-000018,-0.21199500483907055
ACH-000019,-0.12497889174079492
ACH-000021,-0.10644037992693192
ACH-000022,0.0025266386560576443
ACH-000025,-0.08321830457431005
ACH-000028,-0.09068859279066499
ACH-000030,-0.11017591924055767
ACH-000035,-0.2200804081788408
ACH-000036,-0.2039501904135949
ACH-000037,-0.10204496966798356
ACH-000039,-0.18872174800213215
ACH-000040,-0.098442094536449
ACH-000041,-0.06514596354270016
ACH-000042,-0.04958997627100301
ACH-000045,-0.04593984600894927
ACH-000047,-0.10174904127877336
ACH-000052,-0.17189124838596953
ACH-000053,-0.14488021380014934
ACH-000054,-0.08726383636456353
ACH-000055,-0.22441877444077865
ACH-000060,0.049164672030788434
ACH-000067,-0.006000867671008865
ACH-000070,-0.08346761468968131
ACH-000075,-0.14079640157684006
ACH-000078,-0.1314261706589402
ACH-000082,-0.006372701837830654
ACH-000085,-0.10399710148369308
ACH-000086,-0.10663309688672452
ACH-000087,0.1854559864458565
ACH-000092,-0.10420799792934997
ACH-000095,-0.009746884415437057
ACH-000097,-0.18360107580548574
ACH-000098,-0.0743664224647837
ACH-000099,-0.07764985151103568
ACH-000108,-0.17113475880541726
ACH-000113,-0.08331934626245187
ACH-000116,-0.13233132959304386
ACH-000118,-0.004007311742886125
ACH-000120,-0.15709198102818325
ACH-000123,-0.05535948363192452
ACH-000127,-0.08940294659146042
ACH-000128,-0.08434777174700722
ACH-000132,-0.17983809972027084
ACH-000133,-0.14658264709756774
ACH-000137,-0.20722838914058445
ACH-000138,-0.0472154697509291
ACH-000142,-0.16375511470613796
ACH-000143,-0.13069695703759765
ACH-000146,-0.11982659338163268
ACH-000148,-0.1172065060422707
ACH-000150,0.00891281301511323
ACH-000152,-0.07450687586251667
ACH-000153,-0.2852363969620676
ACH-000159,-0.15433185729864904
ACH-000160,-0.08274576710383931
ACH-000163,-0.1064552987195178
ACH-000167,-0.2058936513854744
ACH-000168,-0.13530017542121847
ACH-000169,-0.1251304866750584
ACH-000178,-0.10061507429324268
ACH-000183,-0.029002949028770927
ACH-000188,-0.12946325123378233
ACH-000189,0.11750949834733045
ACH-000190,-0.09599485987953768
ACH-000198,-0.04461943693054235
ACH-000203,-0.07406032050985835
ACH-000204,-0.2575549977248056
ACH-000206,-0.08443167772511548
ACH-000207,0.05178072771983069
ACH-000208,-0.28581260155846505
ACH-000210,-0.3826074891626488
ACH-000211,-0.15399965253776154
ACH-000215,-0.07602881178795785
ACH-000221,0.0006146252307059762
ACH-000222,0.011639197880887282
ACH-000223,-0.039209368903900414
ACH-000226,-0.1284575213526623
ACH-000227,-0.1605593541901804
ACH-000228,-0.03869421032431871
ACH-000231,-0.0536605766139752
ACH-000232,-0.04463886983036827
ACH-000233,-0.10071168127299407
ACH-000234,-0.029204757305581176
ACH-000235,-0.019517798685038744
ACH-000237,-0.12378509415705208
ACH-000238,-0.061295086926547525
ACH-000242,-0.03925519559347503
ACH-000243,-0.06566190414774913
ACH-000244,-0.007009340282215933
ACH-000246,-0.16559874050103082
ACH-000248,-0.21095577395982615
ACH-000250,-0.04300293470179757
ACH-000251,-0.04224675678556599
ACH-000252,-0.009059120830981657
ACH-000253,-0.038147223701214567
ACH-000255,-0.14945554279267165
ACH-000256,-0.1255971627112447
ACH-000257,-0.08788976094618832
ACH-000258,-0.10596920585018817
ACH-000259,-0.12934788206525386
ACH-000260,-0.13405036876227547
ACH-000261,-0.024340647611245277
ACH-000262,0.011254148697278074
ACH-000263,-0.18586962077800226
ACH-000264,-0.04316197654993365
ACH-000265,-0.01925364028231884
ACH-000266,-0.07918428623404326
ACH-000272,-0.003949572491174158
ACH-000274,-0.08786531032997802
ACH-000277,-0.1409346404127917
ACH-000278,-0.07159412647055907
ACH-000279,-0.08583183694901644
ACH-000280,-0.00968021530953681
ACH-000281,-0.11405584571831652
ACH-000288,-0.07368447225559044
ACH-000291,-0.03280841704584627
ACH-000293,-0.10411264652359103
ACH-000294,-0.1690694519806701
ACH-000295,-0.12558473206745766
ACH-000296,-0.07407213636000172
ACH-000302,-0.13171863548393134
ACH-000304,0.05266581569622655
ACH-000307,-0.07889501103478885
ACH-000308,-0.15348716392590814
ACH-000310,-0.02752579661252365
ACH-000311,-0.11381004254640978
ACH-000312,-0.10186221393988164
ACH-000315,-0.05411782211124122
ACH-000316,-0.0562624415502439
ACH-000317,-0.2684585450272952
ACH-000318,-0.10314067836167767
ACH-000319,-0.2009295400824128
ACH-000320,-0.04819023649312558
ACH-000322,-0.2660188112033426
ACH-000323,0.060093660203865425
ACH-000324,-0.0845599109251526
ACH-000329,-0.11219492968436852
ACH-000330,-0.033588273351869424
ACH-000331,-0.15208846429120998
ACH-000332,-0.09096977014608912
ACH-000334,-0.1360417129649215
ACH-000335,-0.1422745597153598
ACH-000336,-0.309523051096167
ACH-000337,-0.17149777569789365
ACH-000338,-0.4058814897069489
ACH-000339,-0.10336393786405687
ACH-000341,-0.00992630641047648
ACH-000348,-0.11221937228100176
ACH-000350,-0.1325202071950234
ACH-000352,-0.09091470548873846
ACH-000356,-0.054300819425473885
ACH-000361,0.09598708044851967
ACH-000362,-0.06280601604519546
ACH-000363,-0.17964783550450866
ACH-000364,-0.05240963748944773
ACH-000365,-0.13288256186905115
ACH-000366,-0.1655869404693405
ACH-000368,-0.04265678922399604
ACH-000374,0.05361724499092215
ACH-000375,-0.10772820847500696
ACH-000376,-0.09113506938576876
ACH-000381,-0.046411449402718435
ACH-000383,-0.1973913634625295
ACH-000387,-0.1043590817401432
ACH-000389,0.12529427584552474
ACH-000390,-0.1866123738876436
ACH-000393,-0.15564273009669252
ACH-000395,0.02433045961797765
ACH-000396,-0.05228902753160313
ACH-000397,-0.14689635189902486
ACH-000401,-0.32823225827447383
ACH-000402,0.019484118965348445
ACH-000403,-0.15479268302881152
ACH-000404,-0.1318052333832569
ACH-000406,-0.15719868538015574
ACH-000407,-0.027718986418072484
ACH-000408,-0.01755585278719159
ACH-000410,-0.13080484147212038
ACH-000411,-0.1566867815809088
ACH-000414,-0.058906265651770914
ACH-000415,-0.11733499248304274
ACH-000416,-0.1551634667789493
ACH-000420,0.05926555931390455
ACH-000421,-0.1514038482019256
ACH-000424,-0.3703640396753198
ACH-000425,-0.1647421587633675
ACH-000426,-0.045627331813023336
ACH-000427,-0.05483520664329045
ACH-000433,-0.1319913385832768
ACH-000435,-0.012098062597262343
ACH-000436,-0.17387512478188258
ACH-000444,-0.11312632542427585
ACH-000445,-0.19906784826706586
ACH-000448,-0.1600713600470038
ACH-000450,-0.17973960032575234
ACH-000452,-0.20343077985526611
ACH-000454,-0.32793345419448666
ACH-000458,-0.07324661217269787
ACH-000459,-0.09939900405475516
ACH-000460,-0.14546953299622062
ACH-000461,-0.0023539815505096828
ACH-000463,-0.1502031209869224
ACH-000464,-0.05610598313337122
