,FERMT2 (10979)
ACH-000004,-0.018824789024043283
ACH-000005,-0.2924303533485506
ACH-000007,-0.38853121420692976
ACH-000009,-0.19971009144136076
ACH-000011,-1.1228846307201898
ACH-000012,-0.3869750136391295
ACH-000013,-0.4747865923599896
ACH-000014,-0.8270373897959937
ACH-000015,-0.6169749021117641
ACH-000017,-0.7300337631913277
ACH-000018,-0.9870086854680262
ACH-000019,-0.4371866727977208
ACH-000021,-0.8351958801821271
ACH-000022,-0.14077661772142452
ACH-000025,-0.7405265454332951
ACH-000028,-0.5186937220586361
ACH-000030,-0.4824880157549811
ACH-000035,-0.8456848262765152
ACH-000036,-0.7093829457212757
ACH-000037,-0.8266667057545383
ACH-000039,-0.5911135917795439
ACH-000040,-0.8684407618083432
ACH-000041,-0.23545722609240197
ACH-000042,-0.13435365810385913
ACH-000045,-0.4170482620064235
ACH-000047,-0.5608658594241112
ACH-000052,-0.6245991482249269
ACH-000053,-0.1185950076432826
ACH-000054,-0.95978257030896
ACH-000055,-0.2972998735150947
ACH-000060,-0.5483428370743996
ACH-000067,-0.9179367689356808
ACH-000070,-0.4001045622783465
ACH-000075,-0.6103150869146544
ACH-000078,-0.5206790529982465
ACH-000082,-0.4019983901594991
ACH-000085,-0.2279299663825425
ACH-000086,-0.4332840116968159
ACH-000087,-0.3886201291130704
ACH-000092,-0.9929985184294874
ACH-000095,-0.2533734761103039
ACH-000097,-0.5890695215184815
ACH-000098,-1.0006564936895097
ACH-000099,-0.574188025106197
ACH-000108,-0.7461638262123597
ACH-000113,-0.3511761005445764
ACH-000116,-0.7963494699597443
ACH-000118,-0.7360170723912062
ACH-000120,-0.8771280378619989
ACH-000123,-0.5070500308628253
ACH-000127,-0.5337834817597162
ACH-000128,-0.6795415019692405
ACH-000132,-0.8475737445919754
ACH-000133,-0.929695267435138
ACH-000137,-0.4217804744691901
ACH-000138,-0.3787359259509761
ACH-000142,-0.4943245568321967
ACH-000143,-0.4468508208430846
ACH-000146,-0.016290527083434692
ACH-000148,-0.7456769614142397
ACH-000150,-1.0114081390734369
ACH-000152,-0.8849838952587991
ACH-000153,-0.12414336838460775
ACH-000159,-0.588632108816557
ACH-000160,-0.018756708301895842
ACH-000163,-0.2342606335246759
ACH-000167,-0.9612691183469712
ACH-000168,-0.3245860856395515
ACH-000169,-0.5594999114861117
ACH-000178,-0.2619900470440443
ACH-000183,-0.2887244494825887
ACH-000188,-0.13245325603620398
ACH-000189,-0.9064675588901736
ACH-000190,-0.5282189853055667
ACH-000198,-0.3953396333467539
ACH-000203,-0.032441724653335516
ACH-000204,-0.3633110231014359
ACH-000206,0.07832895847233129
ACH-000207,0.08509039543878248
ACH-000208,-1.0141147341175347
ACH-000210,0.2075937783925887
ACH-000211,-0.4145563717999762
ACH-000215,-0.9721592443301628
ACH-000221,-0.1847503342830675
ACH-000222,-0.31306169335910594
ACH-000223,-0.18096504597303747
ACH-000226,-0.3728976795244844
ACH-000227,-0.4515539164054363
ACH-000228,-0.2822210925233149
ACH-000231,-0.5068614134425299
ACH-000232,-0.8810636776748567
ACH-000233,-0.14573109974084744
ACH-000234,-0.7233531943487849
ACH-000235,-0.06860973453245157
ACH-000237,-0.5131176681549695
ACH-000238,-0.07411808704613516
ACH-000242,-1.0451998926127155
ACH-000243,-0.2328246528499553
ACH-000244,-0.8278110274015813
ACH-000246,-1.1661846967655864
ACH-000248,-0.6743915930080272
ACH-000250,-0.9231436299510662
ACH-000251,-0.8361027229356941
ACH-000252,-0.44827083928801903
ACH-000253,-0.1604803884668594
ACH-000255,-0.9730273543656046
ACH-000256,-1.0324786729287343
ACH-000257,-0.14828395473060985
ACH-000258,0.14016090204286946
ACH-000259,-0.8048419469388071
ACH-000260,-0.9468316479184148
ACH-000261,-0.5196767970618595
ACH-000262,-0.8746236505794268
ACH-000263,0.007421850690674919
ACH-000264,-0.23755982292555355
ACH-000265,-0.3270110192869021
ACH-000266,-0.4727730282683622
ACH-000272,-0.6126817057911912
ACH-000274,-0.9026887337881307
ACH-000277,-0.0933892726485806
ACH-000278,-0.4196659226669699
ACH-000279,-0.22612698069419515
ACH-000280,-0.5506797404460593
ACH-000281,-0.0736545411579455
ACH-000288,-1.0543177450516874
ACH-000291,-0.7771872659597097
ACH-000293,-0.8381642987829195
ACH-000294,-0.19864817944572846
ACH-000295,-0.03320093884496796
