,VCPIP1 (80124)
ACH-000004,-0.5852312166806556
ACH-000005,-0.3881246871526888
ACH-000007,-0.2368413369304385
ACH-000009,-0.3232245023836816
ACH-000011,-0.43069979225163424
ACH-000012,-0.3951097266509484
ACH-000013,-0.34568872448544835
ACH-000014,-0.4879123625423982
ACH-000015,-0.3543602702113067
ACH-000017,-0.4915222681191558
ACH-000018,-0.4445422148140718
ACH-000019,-0.3781480390133916
ACH-000021,-0.21973154692812408
ACH-000022,-0.41203938420681296
ACH-000025,-0.3325809477584349
ACH-000028,-0.15751406644600938
ACH-000030,-0.11407966317689673
ACH-000035,-0.07995976243476079
ACH-000036,-0.4059773388141336
ACH-000037,-0.18477933042150346
ACH-000039,-0.3098539130281566
ACH-000040,-0.4838927605551721
ACH-000041,-0.1881681392676748
ACH-000042,-0.5057581382946561
ACH-000045,-0.4721892224485692
ACH-000047,-0.3411055736832788
ACH-000052,-0.4117366224218004
ACH-000053,-0.25483208154917564
ACH-000054,-0.3939469312728368
ACH-000055,-0.33420993366810803
ACH-000060,-0.4934820302417261
ACH-000067,-0.23934273060641306
ACH-000070,0.004246739456458815
ACH-000075,-0.4282701542418087
ACH-000078,-0.2407951116102432
ACH-000082,-0.3926876299586709
ACH-000085,-0.5003014233401034
ACH-000086,0.0407787632660175
ACH-000087,-0.4160884301334351
ACH-000092,-0.622650964517365
ACH-000095,-0.20149716566026002
ACH-000097,-0.5486673443823696
ACH-000098,-0.3181933214165934
ACH-000099,-0.30114582095445
ACH-000108,-0.21917514485710027
ACH-000113,-0.5018604848683061
ACH-000116,-0.4475156951822421
ACH-000118,-0.2897849092701805
ACH-000120,-0.4034537185192464
ACH-000123,-0.11583009252079005
ACH-000127,-0.3823476863844149
ACH-000128,-0.3569751616794033
ACH-000132,-0.03142290638380582
ACH-000133,-0.5393808906749815
ACH-000137,-0.05432266331643605
ACH-000138,-0.2521819955799541
ACH-000142,-0.14059139386728586
ACH-000143,-0.29106991344560473
ACH-000146,-0.476196462297391
ACH-000148,-0.3584459236940115
ACH-000150,-0.3695645044481133
ACH-000152,-0.2035556266689887
ACH-000153,-0.6664621994741826
ACH-000159,-0.36833806104501227
ACH-000160,-0.2920992009940353
ACH-000163,-0.6499232362011839
ACH-000167,-0.29904422726630914
ACH-000168,-0.2113340517430062
ACH-000169,-0.2447042621219293
ACH-000178,-0.32315366124719697
ACH-000183,-0.4629006071834038
ACH-000188,-0.4542965382470232
ACH-000189,-0.394818882883446
ACH-000190,-0.4177884837421524
ACH-000198,-0.23931501086129955
ACH-000203,-0.04761515913974522
ACH-000204,-0.5958555583949364
ACH-000206,-0.4356477446880129
ACH-000207,-0.2643827658952314
ACH-000208,-0.3698878666785973
ACH-000210,-0.5892079661609277
ACH-000211,-0.29449897592411256
ACH-000215,-0.15400218945603714
ACH-000221,-0.4370652820291293
ACH-000222,-0.3555609551601681
ACH-000223,-0.4273832954698605
ACH-000226,-0.23140701324621635
ACH-000227,-0.4397326135116232
ACH-000228,-0.5137747074400933
ACH-000231,-0.2350612916639078
ACH-000232,-0.4538588801988047
ACH-000233,-0.2023536382450516
ACH-000234,-0.233649308949166
ACH-000235,-0.32052094176931234
ACH-000237,-0.19921263055682095
ACH-000238,-0.27588037296582113
ACH-000242,-0.014444737828134144
ACH-000243,-0.5113430711553514
ACH-000244,-0.8299606494557218
ACH-000246,-0.466057488127553
ACH-000248,-0.5260903445169486
ACH-000250,-0.5745523227129451
ACH-000251,-0.4181349531487203
ACH-000252,-0.5806325111431305
ACH-000253,-0.3060732660925117
ACH-000255,-0.2738848624554002
ACH-000256,-0.2233241515806285
ACH-000257,-0.2344345022963868
ACH-000258,-0.4791975696299198
ACH-000259,-0.6110542042754997
ACH-000260,-0.3677873136948075
ACH-000261,-0.5006151396911784
ACH-000262,-0.6515123917200725
ACH-000263,-0.2599327242197596
ACH-000264,-0.5285890396691592
ACH-000265,-0.4540677235794285
ACH-000266,-0.42347845793770944
ACH-000272,-0.3502790457964647
ACH-000274,-0.40329519777043504
ACH-000277,-0.3413953555342545
ACH-000278,-0.3218790203487259
ACH-000279,-0.3587258525341665
ACH-000280,-0.3978781517096906
ACH-000281,-0.128638277959607
ACH-000288,-0.056795786181007536
ACH-000291,-0.4091004227562571
ACH-000293,-0.028775345317953886
ACH-000294,-0.4334078245131096
ACH-000295,-0.30123664046502785
ACH-000296,0.018852286319895644
ACH-000302,-0.4243778676394341
ACH-000304,-0.4825426823992684
ACH-000307,-0.4531022766859194
ACH-000308,-0.3509271027342493
ACH-000310,-0.2825939875277084
ACH-000311,-0.4413159203809084
ACH-000312,-0.21123211689154736
ACH-000315,-0.2809637602670345
ACH-000316,-0.2957451124796508
ACH-000317,-0.6413637943427325
ACH-000318,-0.43903272575386704
ACH-000319,-0.1095399931722333
ACH-000320,-0.20233499547362704
ACH-000322,-0.2193331718002232
ACH-000323,-0.1969372968969897
ACH-000324,-0.16211132238723172
ACH-000329,-0.3765117245369953
ACH-000330,-0.3000766199334477
ACH-000331,-0.2286513326808228
ACH-000332,-0.336194757661271
ACH-000334,-0.28037988627214616
ACH-000335,-0.18593371918708584
ACH-000336,-0.5802022768510248
ACH-000337,-0.5958326847154278
ACH-000338,-0.3104699770301341
ACH-000339,-0.4010319163365209
ACH-000341,-0.28734053076746
ACH-000348,-0.36324933347865584
ACH-000350,-0.3691524864575735
ACH-000352,-0.2343044407854447
ACH-000356,0.033095492288304475
ACH-000361,-0.18352539978613336
ACH-000362,-0.4723198313469405
ACH-000363,-0.16404940268176807
ACH-000364,-0.3089962612391082
ACH-000365,-0.3752447448685951
ACH-000366,-0.31290791897389403
ACH-000368,-0.4504358499586656
ACH-000374,-0.6449665073371701
ACH-000375,-0.5427039280634803
ACH-000376,-0.3697994922942183
ACH-000381,-0.10046159027149804
ACH-000383,-0.3204861842321176
ACH-000387,-0.4654168681031536
ACH-000389,-0.8909738777454813
ACH-000390,-0.32282479004018444
ACH-000393,-0.41388814222428216
ACH-000395,-0.3083617364150121
ACH-000396,-0.4024144739744538
ACH-000397,-0.19751987435363
ACH-000401,-0.6869037253632052
ACH-000402,-0.4169377322015328
ACH-000403,-0.4427911469160174
ACH-000404,-0.34641342552991355
ACH-000406,-0.3692759495307604
ACH-000407,-0.23507946987998726
ACH-000408,-0.3393684262555641
ACH-000410,-0.24410807377259885
ACH-000411,-0.2932500279581187
ACH-000414,-0.3382231535936027
ACH-000415,-0.4764484371825193
ACH-000416,-0.2561291648852498
ACH-000420,-0.07042353289276979
ACH-000421,-0.6196737910377371
ACH-000424,-0.5698210713365198
ACH-000425,-0.41528685119628017
ACH-000426,-0.4937971700438002
ACH-000427,-0.41848325994775804
ACH-000433,-0.14212820653231714
ACH-000435,-0.08441359477546155
ACH-000436,-0.6522991318920801
ACH-000444,-0.2657237183414584
ACH-000445,-0.2671536997251946
ACH-000448,-0.6630939592141577
