,ERI3 (79033)
ACH-000004,0.12445547444119917
ACH-000005,0.34034475855454405
ACH-000007,0.2356316967771924
ACH-000009,0.10065973222003348
ACH-000011,0.2060160187437217
ACH-000012,0.008474960235284814
ACH-000013,0.09862432185265788
ACH-000014,0.05335888226597976
ACH-000015,0.1856860315744305
ACH-000017,0.14993746218283074
ACH-000018,0.2711593780477557
ACH-000019,0.2645108669333344
ACH-000021,0.19081251088216936
ACH-000022,0.11324557806670606
ACH-000025,0.17782510603203106
ACH-000028,0.18944243817356676
ACH-000030,0.16551214853327031
ACH-000035,0.08167992539051516
ACH-000036,0.23785331099476856
ACH-000037,0.11629553834210027
ACH-000039,0.0915546165991663
ACH-000040,0.05004745231259911
ACH-000041,0.11896171788257864
ACH-000042,0.1096290013991637
ACH-000045,0.05489148824511601
ACH-000047,0.16922620570268276
ACH-000052,0.12748787971858475
ACH-000053,0.022731613497654537
ACH-000054,0.15040617151148056
ACH-000055,0.00418012450495924
ACH-000060,0.07267568466221272
ACH-000067,0.14331270354967668
ACH-000070,-0.05417494334537597
ACH-000075,0.09325489153435433
ACH-000078,0.229499749986316
ACH-000082,0.12087764020138507
ACH-000085,0.0544248014820753
ACH-000086,0.20815213347884687
ACH-000087,-0.023849103427971724
ACH-000092,-0.005849560537349818
ACH-000095,0.1299382673526017
ACH-000097,0.13556527593684065
ACH-000098,0.15657013216336876
ACH-000099,0.14257631865849718
ACH-000108,0.2525510009967743
ACH-000113,0.10542459305932976
ACH-000116,0.1682847722323212
ACH-000118,0.1269329284973453
ACH-000120,0.1781857717450267
ACH-000123,0.1801030301576439
ACH-000127,0.18195339672404814
ACH-000128,0.1944523227932484
ACH-000132,0.17480603188742444
ACH-000133,0.1760890458128723
ACH-000137,0.16310313158307985
ACH-000138,0.2546208199054413
ACH-000142,0.13115480528110518
ACH-000143,0.14510999128903787
ACH-000146,0.10312600416703792
ACH-000148,0.25645881284294103
ACH-000150,0.06926009492591165
ACH-000152,-0.06485462123412747
ACH-000153,0.22398921444005931
ACH-000159,0.22274117220124706
ACH-000160,0.12326688775554312
ACH-000163,-0.009007056824779855
ACH-000167,0.160868749727036
ACH-000168,0.13113285341873349
ACH-000169,0.2649295920895696
ACH-000178,0.19683447747133986
ACH-000183,0.09217276898582183
ACH-000188,0.05485397254064248
ACH-000189,0.16891560143891182
ACH-000190,0.10072347949612157
ACH-000198,0.14672518083745015
ACH-000203,0.4466844907691931
ACH-000204,0.28035226000816826
ACH-000206,0.27409464945331563
ACH-000207,0.08600641381100882
ACH-000208,0.024558575992061026
ACH-000210,0.0961102663094989
ACH-000211,0.2396595097218721
ACH-000215,0.19553217547772025
ACH-000221,0.029446173779470317
ACH-000222,0.16619110871989365
