,ZNF385D (79750)
ACH-000004,0.05913782774142338
ACH-000005,0.15505381722233172
ACH-000007,0.2986104721146142
ACH-000009,0.1587778819714355
ACH-000011,0.1882071906214116
ACH-000012,0.1598064399326796
ACH-000013,0.19182060397332698
ACH-000014,0.2224655261671286
ACH-000015,0.12983673151108666
ACH-000017,0.07327871108009397
ACH-000018,0.13607822673954878
ACH-000019,0.04040571545608576
ACH-000021,0.2016679082341014
ACH-000022,0.23358423784507995
ACH-000025,0.06372130049388676
ACH-000028,0.11650315014658527
ACH-000030,0.2283893535660306
ACH-000035,0.1492895255515772
ACH-000036,0.2556163069810833
ACH-000037,0.1901897187125838
ACH-000039,0.1165202169416288
ACH-000040,0.1310049796175718
ACH-000041,0.17165775954241208
ACH-000042,0.01797734256908027
ACH-000045,0.16483669035372933
ACH-000047,0.025198857627821102
ACH-000052,0.288455740152365
ACH-000053,0.2762812217338591
ACH-000054,0.2104378076496313
ACH-000055,0.3523852507291345
ACH-000060,0.09136350037228767
ACH-000067,0.16341490663418315
ACH-000070,0.2315826073508478
ACH-000075,0.015920851098853366
ACH-000078,0.2601809880243399
ACH-000082,0.19815546909238455
ACH-000085,0.3293560285336916
ACH-000086,0.16048571069164905
ACH-000087,0.15937600296252305
ACH-000092,0.08964466699282005
ACH-000095,0.101921531291738
ACH-000097,0.16449065855083414
ACH-000098,0.1501282775503198
ACH-000099,0.20272711442312086
ACH-000108,0.19589789788707804
ACH-000113,0.224854539254232
ACH-000116,0.20370147988958728
ACH-000118,0.17873629376331635
ACH-000120,0.2568501137285216
ACH-000123,0.10813205653874708
ACH-000127,0.13292280111738491
ACH-000128,0.14439997555292866
ACH-000132,0.1951799746943467
ACH-000133,0.1873799525902726
ACH-000137,0.20347433811856427
ACH-000138,0.2544465345717718
ACH-000142,0.1363076011700168
ACH-000143,0.08122064709493627
ACH-000146,0.1980132203015577
ACH-000148,0.21146800465936808
ACH-000150,0.07047174357946241
ACH-000152,0.16658279525051586
ACH-000153,0.20862898257094986
ACH-000159,0.13525910017440254
ACH-000160,0.2619906266583531
ACH-000163,0.2720563298896318
ACH-000167,0.1716339771644574
ACH-000168,0.04402051314725552
ACH-000169,0.16598246551948753
ACH-000178,0.20347990012592834
ACH-000183,0.21575655524330703
ACH-000188,0.1817063818629253
ACH-000189,0.13133814698876958
ACH-000190,0.02590762937991796
ACH-000198,0.20140223670604196
ACH-000203,0.517559054789082
ACH-000204,0.12185571071897687
ACH-000206,0.2781793005871345
ACH-000207,0.10112621634543653
ACH-000208,0.036847044873302016
ACH-000210,0.1449896802136849
ACH-000211,0.10331351939387666
ACH-000215,0.19480503566731053
ACH-000221,0.15973297798474134
ACH-000222,0.17932546923061918
ACH-000223,0.16575389836100493
ACH-000226,0.08177468402716978
ACH-000227,0.2291766484179549
ACH-000228,0.1470100621550956
ACH-000231,0.14947028734600626
ACH-000232,0.18140963457508688
ACH-000233,0.20496137345019094
ACH-000234,0.19233765188639507
ACH-000235,0.17201550362551385
ACH-000237,0.06499986699466018
ACH-000238,0.07229296324904064
ACH-000242,0.10706317489679912
ACH-000243,0.10681791350356937
ACH-000244,0.3506304848355813
ACH-000246,0.07459828018128731
ACH-000248,0.10815334198114036
ACH-000250,0.14098170070308952
ACH-000251,0.10796162806823667
ACH-000252,0.14299006094785024
ACH-000253,0.1644733637481272
ACH-000255,0.15463698082619468
ACH-000256,0.1685774050398214
ACH-000257,0.042304109296454666
ACH-000258,0.29498486306570537
ACH-000259,0.2193212020245948
ACH-000260,0.11803640100705108
ACH-000261,0.11531567918368672
ACH-000262,0.2140885164156829
ACH-000263,-0.001914478560776188
ACH-000264,0.10728681407921756
ACH-000265,0.12429371936790108
ACH-000266,0.13268809448164492
ACH-000272,0.21586380520723494
ACH-000274,0.15122914392837464
ACH-000277,0.13838248175898402
ACH-000278,0.032141052039984075
ACH-000279,0.16737039142777055
