,RPS6KC1 (26750)
ACH-000004,-0.18591183063246955
ACH-000005,-0.20430048374762536
ACH-000007,-0.20914630822267094
ACH-000009,-0.3309025526830792
ACH-000011,-0.04421436043710943
ACH-000012,-0.0682225530803206
ACH-000013,-0.16858900830695234
ACH-000014,0.06877740378349136
ACH-000015,-0.12319951666280947
ACH-000017,-0.18215064786937754
ACH-000018,-0.039683733413432315
ACH-000019,0.028304500871190536
ACH-000021,-0.07703482587453234
ACH-000022,-0.039106315243903914
ACH-000025,-0.141614350426014
ACH-000028,-0.003001003110058203
ACH-000030,-0.11140008389414388
ACH-000035,-0.07276840439489618
ACH-000036,-0.06519122105161455
ACH-000037,-0.09464388510438368
ACH-000039,-0.1738513508775366
ACH-000040,-0.03832953422281187
ACH-000041,-0.027431703216562586
ACH-000042,-0.07218006293114329
ACH-000045,-0.062295166049936825
ACH-000047,-0.09031026774421833
ACH-000052,-0.09106121592167407
ACH-000053,-0.1429534598205215
ACH-000054,-0.06254879126714066
ACH-000055,-0.192768109569738
ACH-000060,-0.017651278692846294
ACH-000067,-0.1071736350961034
ACH-000070,-0.32036917223459666
ACH-000075,-0.04446802905273778
ACH-000078,-0.20454351946159247
ACH-000082,-0.020795245180679416
ACH-000085,0.025260137403519657
ACH-000086,-0.025824421434825752
ACH-000087,0.15142745804537888
ACH-000092,-0.19884730303656356
ACH-000095,-0.1788759829678566
ACH-000097,-0.08553038389209333
ACH-000098,-0.09964186561992994
ACH-000099,-0.1289004172576004
ACH-000108,-0.03593437514026454
ACH-000113,-0.12218958557090034
ACH-000116,-0.06886117353858055
ACH-000118,-0.1333333461771749
ACH-000120,-0.14187335303027973
ACH-000123,-0.05692286553060045
ACH-000127,-0.12230914852180914
ACH-000128,-0.11634646942459033
ACH-000132,-0.2993822227326355
ACH-000133,-0.1307318635083144
ACH-000137,-0.07964295870086241
ACH-000138,-0.13894806904580292
ACH-000142,-0.12616779536470293
ACH-000143,-0.1261518769771092
ACH-000146,-0.07562658435607549
ACH-000148,-0.08180064024681209
ACH-000150,-0.1163545024194721
ACH-000152,-0.05617291605991308
ACH-000153,-0.15745962948613362
ACH-000159,-0.1932798670538079
ACH-000160,-0.11221786822370013
ACH-000163,-0.14355585302493992
ACH-000167,-0.4404204032513045
ACH-000168,-0.18029552606579427
ACH-000169,-0.045359200670821914
ACH-000178,-0.055336463018449716
ACH-000183,-0.16759974732366398
ACH-000188,-0.2369447184508596
ACH-000189,-0.33732319508018993
ACH-000190,-0.1417307640131958
ACH-000198,-0.06999561038659156
ACH-000203,-0.42378845103148577
ACH-000204,-0.07175130947262501
ACH-000206,0.0818537982653254
ACH-000207,-0.1538536858691386
ACH-000208,-0.11584799304134702
ACH-000210,-0.44445144469100295
ACH-000211,-0.07275642626159197
ACH-000215,-0.15119475945802574
ACH-000221,-0.07603272797790828
ACH-000222,0.06467999244465912
ACH-000223,-0.08053941037893338
ACH-000226,-0.34287384021559497
ACH-000227,-0.1654452131159236
ACH-000228,-0.14136709532180622
ACH-000231,-0.10213054012556848
ACH-000232,-0.15043906753129144
ACH-000233,-0.20799667313969608
ACH-000234,-0.11404586146648307
ACH-000235,-0.10943956420636808
ACH-000237,-0.060504053072175025
ACH-000238,-0.18727746737319184
ACH-000242,-0.3889512656205267
ACH-000243,-0.11633422341212682
