,PRUNE (58497)
ACH-000004,-0.2690168646480895
ACH-000005,-0.2995728480306381
ACH-000007,-0.015877510252934005
ACH-000009,-0.29553034909246284
ACH-000011,-0.3128164289791629
ACH-000012,-0.4739109267477181
ACH-000013,-0.3637720070965195
ACH-000014,-0.3595841416483752
ACH-000015,-0.28804270496882545
ACH-000017,-0.2945878632609773
ACH-000018,-0.5427512734698987
ACH-000019,-0.5157692933097626
ACH-000021,-0.3276857246291625
ACH-000022,-0.1402522384268058
ACH-000025,-0.33427779965409204
ACH-000028,-0.23536566144425916
ACH-000030,-0.2015101484260664
ACH-000035,-0.2625356669901053
ACH-000036,-0.2903938635069841
ACH-000037,-0.11855650030107248
ACH-000039,-0.3476208233389407
ACH-000040,-0.1418263291942523
ACH-000041,-0.17037231822371446
ACH-000042,-0.1786523336767415
ACH-000045,-0.3095519018308292
ACH-000047,-0.47687469750948
ACH-000052,-0.2203630615617252
ACH-000053,-0.4766574359230124
ACH-000054,-0.2935743796919721
ACH-000055,-0.08098784211441905
ACH-000060,-0.2694845350847161
ACH-000067,-0.34875259314859985
ACH-000070,-0.3002606128384531
ACH-000075,-0.38261565287830457
ACH-000078,-0.20803794015990712
ACH-000082,-0.2007056646068808
ACH-000085,-0.13896395769101738
ACH-000086,-0.3465258839215078
ACH-000087,-0.3939659047278198
ACH-000092,-0.2748064346672952
ACH-000095,-0.2118653248065944
ACH-000097,-0.40408939011996414
ACH-000098,-0.3606825080981069
ACH-000099,-0.24988465569383875
ACH-000108,-0.28362695989571746
ACH-000113,-0.4862854588387896
ACH-000116,-0.2813312517696848
ACH-000118,-0.44397238826277
ACH-000120,-0.21730178308950995
ACH-000123,-0.1275102281573692
ACH-000127,-0.6055739538854559
ACH-000128,-0.3573028318813741
ACH-000132,-0.14537811476789156
ACH-000133,-0.3314383555951517
ACH-000137,-0.3347312131003585
ACH-000138,-0.2343019478212719
ACH-000142,-0.25218385024484785
ACH-000143,-0.04870439336116621
ACH-000146,-0.21432321086590808
ACH-000148,-0.27271557809308633
ACH-000150,-0.5283570363539156
ACH-000152,-0.3801542711183201
ACH-000153,-0.268212665981184
ACH-000159,-0.3612780832060978
ACH-000160,-0.21553949221767066
ACH-000163,-0.24846101498713946
ACH-000167,0.2357698702567839
ACH-000168,-0.1602152527123383
ACH-000169,-0.3174633900862817
ACH-000178,-0.2517912272693049
ACH-000183,-0.2955887947816284
ACH-000188,-0.25984861628846473
ACH-000189,-0.35050168821073985
ACH-000190,-0.02136354434184569
ACH-000198,-0.6602799506159515
ACH-000203,0.03881465288954144
ACH-000204,-0.16437690944264086
ACH-000206,-0.03123710789082158
ACH-000207,-0.22678398706417124
ACH-000208,-0.676058684233658
ACH-000210,0.07376940682377113
ACH-000211,-0.34257347089149776
ACH-000215,-0.4503585365596206
ACH-000221,-0.10275820950351787
ACH-000222,-0.05543984043154421
ACH-000223,-0.2253887913889715
ACH-000226,-0.5305695132400569
ACH-000227,-0.16873684423209534
ACH-000228,-0.2596997076668428
ACH-000231,-0.3383652757891549
ACH-000232,-0.38830144395160776
ACH-000233,-0.2797267864886769
ACH-000234,-0.21514966649779654
ACH-000235,-0.3279356075402883
ACH-000237,-0.2839129924094041
ACH-000238,-0.12389606220757855
ACH-000242,-0.4022091261493659
ACH-000243,-0.09400326068943693
ACH-000244,-0.23856282640818066
ACH-000246,-0.2955299402408116
ACH-000248,-0.4614821098620355
ACH-000250,-0.1838569189921256
ACH-000251,-0.3755835536638125
ACH-000252,-0.2581837270394948
ACH-000253,-0.1405131741709551
ACH-000255,-0.14644040767151625
ACH-000256,-0.33113617644341525
ACH-000257,-0.21473260597686064
ACH-000258,-0.061395838615794736
ACH-000259,-0.24027608218941646
ACH-000260,-0.2040806805614048
ACH-000261,-0.16462219652571738
ACH-000262,-0.2244257125793159
ACH-000263,-0.13633871640762307
ACH-000264,-0.3695986744671325
ACH-000265,-0.23913531751231565
ACH-000266,-0.2333867752592912
ACH-000272,-0.2500696022696217
ACH-000274,-0.1375153255966935
ACH-000277,-0.15263898346020668
ACH-000278,-0.3715912670928168
ACH-000279,-0.2369350199510516
ACH-000280,-0.3177908927345572
ACH-000281,-0.18633684229449896
ACH-000288,-0.26367734805563403
ACH-000291,-0.04534365865036742
ACH-000293,-0.1927737294333036
ACH-000294,-0.20274262124301146
ACH-000295,-0.10270811976227656
ACH-000296,-0.11633223530153185
ACH-000302,-0.20326346804100606
ACH-000304,-0.08475953696158375
ACH-000307,-0.2572488887885727
ACH-000308,-0.2769701810480453
ACH-000310,-0.25505036787588403
ACH-000311,-0.17703785367674724
ACH-000312,-0.2481554596051053
ACH-000315,-0.3788615896932097
ACH-000316,-0.21114926808101905
ACH-000317,-0.2984675344900889
ACH-000318,-0.3434417665232277
ACH-000319,-0.32637830465572026
ACH-000320,-0.09049129878559023
ACH-000322,-0.5122471808533361
ACH-000323,-0.3821808732762164
ACH-000324,-0.19451949309267128
ACH-000329,-0.355529523902424
ACH-000330,-0.2221150500529361
ACH-000331,-0.23011800194292126
ACH-000332,-0.2205021700284916
ACH-000334,-0.3063888002763331
ACH-000335,-0.18462350435130576
ACH-000336,-0.32154370398795684
ACH-000337,-0.4193584433097767
ACH-000338,-0.5982549922427745
ACH-000339,-0.08493084168168671
ACH-000341,-0.3750893049902093
ACH-000348,-0.193480868207279
ACH-000350,-0.22922796903887901
ACH-000352,-0.23690073789590774
ACH-000356,-0.1646289152146938
ACH-000361,-0.3243623352833981
ACH-000362,-0.19749180880711584
