,CLCNKB (1188)
ACH-000004,-0.1224777372093832
ACH-000005,0.08355293656931248
ACH-000007,-0.15494546384493948
ACH-000009,-0.03513558081005309
ACH-000011,-0.06376397813426482
ACH-000012,-0.10998368170224446
ACH-000013,-0.1793162321275384
ACH-000014,-0.20271889292876635
ACH-000015,0.0063791826453960246
ACH-000017,-0.061425443122756176
ACH-000018,0.00485712184789701
ACH-000019,-0.14091381520089855
ACH-000021,-0.050473387438391394
ACH-000022,0.047600859442458364
ACH-000025,0.002133438419858984
ACH-000028,0.0015428871891341866
ACH-000030,-0.06456350544836546
ACH-000035,0.06137512279890031
ACH-000036,-0.1970930451917059
ACH-000037,-0.1163615783690565
ACH-000039,-0.3240328269078133
ACH-000040,-0.1220734825777716
ACH-000041,-0.047049095176919985
ACH-000042,0.002837450394283857
ACH-000045,-0.09014877025691476
ACH-000047,-0.08195738433301299
ACH-000052,-0.003991498032171652
ACH-000053,0.008630148012703709
ACH-000054,-0.16381805786699408
ACH-000055,0.02511631141491969
ACH-000060,-0.13076446281899035
ACH-000067,-0.17798344697409993
ACH-000070,-0.07787889953582643
ACH-000075,0.04250676592752824
ACH-000078,-0.1766683207760822
ACH-000082,0.0062765730729029846
ACH-000085,0.14122430844623707
ACH-000086,-0.222475483087526
ACH-000087,-0.2667554173991897
ACH-000092,-0.1416572391954658
ACH-000095,-0.036593629017747716
ACH-000097,-0.08422932872542656
ACH-000098,-0.09014861228653258
ACH-000099,-0.17386070073651627
ACH-000108,-0.05024338298684263
ACH-000113,-0.11194882700261648
ACH-000116,-0.11517232604858993
ACH-000118,0.023955517661627197
ACH-000120,-0.04230313820985133
ACH-000123,0.108599349179979
ACH-000127,0.05731776697315575
ACH-000128,-0.12882962478343027
ACH-000132,-0.02781096685819132
ACH-000133,-0.017452328532633992
ACH-000137,-0.02797667852010615
ACH-000138,0.062104719714780175
ACH-000142,-0.09905554232254617
ACH-000143,-0.1571093195629008
ACH-000146,-0.07224945573780492
ACH-000148,-0.11063040040781663
ACH-000150,-0.5003672490499868
ACH-000152,-0.18427152039184086
ACH-000153,0.0011032398948096717
ACH-000159,-0.2177702128055856
ACH-000160,-0.08318904980647611
ACH-000163,-0.03381001144254274
ACH-000167,0.21485728853065394
ACH-000168,-0.1379519218085751
ACH-000169,0.029133620311037268
ACH-000178,-0.1979163848308149
ACH-000183,0.02916132272975163
ACH-000188,-0.15182673447876285
ACH-000189,-0.2880725455201685
ACH-000190,-0.1815913807464019
ACH-000198,-0.08476395831557275
ACH-000203,-0.3195178757404287
ACH-000204,-0.35922305414618433
ACH-000206,-0.08192538043742092
ACH-000207,-0.009336218598024807
ACH-000208,-0.2805842595365462
ACH-000210,0.06117449618912781
ACH-000211,0.016926231906250713
ACH-000215,-0.09913876263491483
ACH-000221,-0.04151990014539706
ACH-000222,-0.1295849331891797
ACH-000223,0.002870154856456013
ACH-000226,-0.0955269676576372
ACH-000227,-0.06387671138555721
ACH-000228,0.057646880079675174
ACH-000231,-0.031786426234164236
ACH-000232,0.045693617926547456
ACH-000233,-0.08189693350758842
ACH-000234,-0.06490941303739416
ACH-000235,-0.07795265138485126
ACH-000237,-0.216997169190468
ACH-000238,-0.2070994519253312
ACH-000242,0.024442743092363512
ACH-000243,-0.03035421546341937
ACH-000244,-0.13987045271390544
ACH-000246,-0.2364458527621377
ACH-000248,-0.008928215816681542
ACH-000250,-0.17781996325373914
ACH-000251,-0.1326397042482055
ACH-000252,0.039255051493680734
ACH-000253,-0.05442998118473402
ACH-000255,-0.0674347254929124
