,DDB1 (1642)
ACH-000004,-1.4012189577615997
ACH-000005,-1.6851178821088784
ACH-000007,-1.3718843391204296
ACH-000009,-1.2113899329789355
ACH-000011,-1.5219451020008488
ACH-000012,-1.4881311959613557
ACH-000013,-1.4054120381042392
ACH-000014,-1.2350772533317111
ACH-000015,-1.5019051411469324
ACH-000017,-1.2283532530918495
ACH-000018,-1.3329503168570938
ACH-000019,-1.1088566152635182
ACH-000021,-1.3729481981436962
ACH-000022,-1.1995967381812631
ACH-000025,-1.362019895739394
ACH-000028,-1.3641267415419174
ACH-000030,-1.3168161794807027
ACH-000035,-1.3923462162074254
ACH-000036,-1.2279242911263342
ACH-000037,-1.4253153173204265
ACH-000039,-1.3310358311994783
ACH-000040,-1.3840554246949373
ACH-000041,-1.2963046228602704
ACH-000042,-1.4117087056946374
ACH-000045,-1.3714736131854002
ACH-000047,-1.3062190519920065
ACH-000052,-1.3775982401355351
ACH-000053,-1.3754015708264111
ACH-000054,-1.276616595964685
ACH-000055,-1.6379633348513876
ACH-000060,-1.3179017584774857
ACH-000067,-1.0920298214407118
ACH-000070,-1.1766983080006093
ACH-000075,-1.3265401358108941
ACH-000078,-1.3386118872816266
ACH-000082,-0.9583896407811122
ACH-000085,-1.4032304995355658
ACH-000086,-1.2885759740366938
ACH-000087,-1.1862246941799268
ACH-000092,-1.4049102421298825
ACH-000095,-1.2051471460501797
ACH-000097,-1.510396599674544
ACH-000098,-1.337577589734246
ACH-000099,-1.3080611141947034
ACH-000108,-1.4706030947951398
ACH-000113,-1.2178959253278034
ACH-000116,-1.4235312553870878
ACH-000118,-1.2826836020346728
ACH-000120,-1.2883667647579813
ACH-000123,-1.3795566181947656
ACH-000127,-1.3686775940166285
ACH-000128,-1.3438185835167211
ACH-000132,-1.3564612958747722
ACH-000133,-1.3538865025404727
ACH-000137,-1.4720895315276952
ACH-000138,-1.4899550239767236
ACH-000142,-1.2316206774678211
ACH-000143,-1.3527038111212737
ACH-000146,-1.6898155862664541
ACH-000148,-1.3799129319158576
ACH-000150,-1.3339192602462788
ACH-000152,-1.3527476685259079
ACH-000153,-1.455461963508088
ACH-000159,-1.1497127693667968
ACH-000160,-1.0061970837651537
ACH-000163,-1.3003744356846505
ACH-000167,-1.3439204024822915
ACH-000168,-1.5437973291132223
ACH-000169,-1.313895870731972
ACH-000178,-1.2913773380604148
ACH-000183,-1.3946491910341958
ACH-000188,-1.2160238435811241
ACH-000189,-1.4781966210856732
ACH-000190,-1.0323784900703985
ACH-000198,-1.4892637049629227
ACH-000203,-0.7516810573125574
ACH-000204,-1.0266721534848913
ACH-000206,-1.3557672847415108
ACH-000207,-1.333195205114823
ACH-000208,-1.1753277175370678
ACH-000210,-1.3846971033303774
ACH-000211,-1.1835863348849516
ACH-000215,-1.1604945173088814
ACH-000221,-1.5348838364638993
ACH-000222,-1.4232280040862475
ACH-000223,-1.3053261951156228
ACH-000226,-1.362992409490847
ACH-000227,-0.5796879880355199
ACH-000228,-1.4659710878497951
ACH-000231,-1.3787493928393846
ACH-000232,-1.2993094511308207
ACH-000233,-1.5383863134990765
ACH-000234,-1.2986806907031032
ACH-000235,-1.3085598311139777
ACH-000237,-1.3887858548077578
ACH-000238,-1.1057212654380195
ACH-000242,-1.264860157874439
ACH-000243,-1.2861226809682662
ACH-000244,-1.3195223293647929
ACH-000246,-1.2766018140506317
ACH-000248,-1.4254855429709723
ACH-000250,-1.2988750850071482
ACH-000251,-1.6854484076569933
ACH-000252,-1.1491721194195104
ACH-000253,-1.248951364040375
ACH-000255,-1.370239413828806
ACH-000256,-1.4471367980604175
ACH-000257,-1.1983849761785097
ACH-000258,-1.4280442817353505
ACH-000259,-1.3375744868439414
ACH-000260,-1.326062116790692
ACH-000261,-1.2419947315948512
ACH-000262,-1.4712617726255302
ACH-000263,-1.1269535905024533
ACH-000264,-1.2921021263252987
ACH-000265,-1.2625887983894877
ACH-000266,-1.3801523279509815
ACH-000272,-1.2020827456036702
ACH-000274,-1.3800120688592603
ACH-000277,-1.6386027269136676
ACH-000278,-1.426408031289286
ACH-000279,-1.1370507097961422
ACH-000280,-1.4007845347705532
ACH-000281,-1.3150213240835014
ACH-000288,-1.4078973337551797
ACH-000291,-1.3251056947395363
ACH-000293,-1.3919917197138252
ACH-000294,-1.309329166138914
ACH-000295,-1.337105661592291
ACH-000296,-1.258367290982097
ACH-000302,-1.3758645809954857
ACH-000304,-1.4182711726109236
ACH-000307,-1.4325383558516174
ACH-000308,-1.3906404190459805
ACH-000310,-1.0068598997768978
ACH-000311,-1.3220767834093137
ACH-000312,-1.3497943182759058
ACH-000315,-1.2642709828245986
ACH-000316,-1.4810107636697911
ACH-000317,-1.4896442087469748
ACH-000318,-1.5441318670772122
ACH-000319,-1.247421810654944
ACH-000320,-1.345007148005968
ACH-000322,-1.1121626557631517
ACH-000323,-1.5280154913660058
ACH-000324,-1.294974517268347
ACH-000329,-1.237168026906521
ACH-000330,-1.2864504398165568
ACH-000331,-1.259079967322577
ACH-000332,-1.3430402122013243
ACH-000334,-1.1900205251873763
ACH-000335,-1.4970257955076292
ACH-000336,-1.258963594984314
ACH-000337,-1.5577310499623078
ACH-000338,-1.3539069713566914
ACH-000339,-1.3815699958902632
ACH-000341,-1.403172610138019
ACH-000348,-1.2243951696965327
ACH-000350,-1.7114735140407802
ACH-000352,-1.2834971661870822
ACH-000356,-1.371578911839905
ACH-000361,-1.4302098950850384
ACH-000362,-1.4684033586335734
ACH-000363,-1.3691235330203415
ACH-000364,-1.3352054744007646
ACH-000365,-1.2009126394852718
ACH-000366,-1.2435110052790592
ACH-000368,-1.3703738326030572
ACH-000374,-1.5113182116890078
ACH-000375,-1.1513984842952791
