,PSPN (5623)
ACH-000004,-0.06590006487469173
ACH-000005,-0.10327065035191632
ACH-000007,0.04269130986608973
ACH-000009,0.03264461533899915
ACH-000011,0.10838810022268383
ACH-000012,-0.006818132843174236
ACH-000013,-0.008128514456308428
ACH-000014,-0.08031816934965852
ACH-000015,-0.0278874137852822
ACH-000017,-0.059700595186076386
ACH-000018,-0.07196423300282451
ACH-000019,-0.20905350192720965
ACH-000021,-0.06383974052580109
ACH-000022,-0.1302809380283896
ACH-000025,0.10548092649227536
ACH-000028,-0.15248776223574406
ACH-000030,-0.009375272804636672
ACH-000035,-0.07560043596876445
ACH-000036,0.035654445711555106
ACH-000037,-0.03612127382395933
ACH-000039,-0.07986941272813174
ACH-000040,-0.08155662011929313
ACH-000041,-0.1442165368491042
ACH-000042,0.04609727838778999
ACH-000045,-0.04746595268945617
ACH-000047,0.01159758679821372
ACH-000052,-0.17142773295495706
ACH-000053,-0.034354463410199834
ACH-000054,-0.038929740489499036
ACH-000055,-0.006072113660308721
ACH-000060,-0.026575117526604245
ACH-000067,0.007302019525389687
ACH-000070,0.12880820533851495
ACH-000075,-0.04898102693717137
ACH-000078,-0.09093474618180196
ACH-000082,0.042921865015889
ACH-000085,-0.03292775561427093
ACH-000086,0.02132747700602081
ACH-000087,-0.24526890433276666
ACH-000092,-0.027587647708998308
ACH-000095,-0.13432125340073284
ACH-000097,-0.01869847212727671
ACH-000098,-0.11628527098243692
ACH-000099,-0.04887924730353405
ACH-000108,0.049465872653107326
ACH-000113,-0.1113538960306192
ACH-000116,-0.0840445846666258
ACH-000118,-0.09022935353423213
ACH-000120,-0.2089183852498735
ACH-000123,0.011656011305484385
ACH-000127,-0.1454100662074207
ACH-000128,-0.15976698887526009
ACH-000132,0.05747500170172817
ACH-000133,-0.11943027850598152
ACH-000137,-0.10248753077342476
ACH-000138,-0.03248706047521672
ACH-000142,-0.14284030933072367
ACH-000143,-0.006014769886446792
ACH-000146,-0.022503512865004044
ACH-000148,0.031881762804038656
ACH-000150,-0.01836937807331939
ACH-000152,-0.07021423469818777
ACH-000153,-0.003545013341747343
ACH-000159,-0.13068307515938907
