,CYC1 (1537)
ACH-000004,-0.5708872506405168
ACH-000005,-0.6212598925577975
ACH-000007,-1.0976812992064702
ACH-000009,-0.6540829824767432
ACH-000011,-0.5625185228355826
ACH-000012,-0.655704758950075
ACH-000013,-0.5893237413602416
ACH-000014,-0.7534226893616612
ACH-000015,-0.6786272115320956
ACH-000017,-0.4686853300597513
ACH-000018,-0.5054997590978341
ACH-000019,-0.8875220536446791
ACH-000021,-0.6758081261579367
ACH-000022,-0.6406738034521395
ACH-000025,-0.6293271115498377
ACH-000028,-0.828500849696316
ACH-000030,-0.9174207359091208
ACH-000035,-0.4184979808286969
ACH-000036,-0.18415391533713066
ACH-000037,-0.5203828412815472
ACH-000039,-0.5686403839719761
ACH-000040,-0.4969304584165116
ACH-000041,-0.6980306063967555
ACH-000042,-0.5206216795527807
ACH-000045,-0.3644936029436355
ACH-000047,-0.9384776822377712
ACH-000052,-0.6064585311414692
ACH-000053,-0.6511545823264077
ACH-000054,-0.9228167396323986
ACH-000055,-0.4384263199676468
ACH-000060,-0.6370899663310343
ACH-000067,-0.5228808222857164
ACH-000070,-0.5779506354460484
ACH-000075,-0.6216169863076215
ACH-000078,-0.7037593704566535
ACH-000082,-0.4784662656634288
ACH-000085,-0.4596224217501141
ACH-000086,-0.6055375713618715
ACH-000087,-0.7590513007328421
ACH-000092,-0.6376143982727016
ACH-000095,-0.2794108029480286
ACH-000097,-0.620301141679601
ACH-000098,-0.4753606776629778
ACH-000099,-0.7931769383473576
ACH-000108,-0.5215815611236653
ACH-000113,-0.5582392930226584
ACH-000116,-0.6523522894916707
ACH-000118,-0.9713706098521896
ACH-000120,-0.7966039109829353
ACH-000123,-0.7037612089019338
ACH-000127,-1.0284547719378248
ACH-000128,-0.8395358198857965
ACH-000132,-0.5169251805305775
ACH-000133,-0.4222832560395621
ACH-000137,-0.5746101357788028
ACH-000138,-1.0012522205061982
ACH-000142,-0.29832900210949
ACH-000143,-0.5266876480796768
ACH-000146,-0.6882614943759437
ACH-000148,-0.6760631245160091
ACH-000150,-1.1047067429128563
ACH-000152,-0.6598995859885816
ACH-000153,-0.7016529789721314
ACH-000159,-0.7354122828413211
ACH-000160,-0.9685948452085518
ACH-000163,-0.5874657655191456
ACH-000167,-0.7095459394675905
ACH-000168,-0.41017687265721225
ACH-000169,-0.5645059815189022
ACH-000178,-0.5432517248689676
ACH-000183,-0.8742000291020506
ACH-000188,-0.4519581149591552
ACH-000189,-0.6917094076787249
ACH-000190,-0.7822527703230412
ACH-000198,-0.5679481464737218
ACH-000203,-0.8224471213869136
ACH-000204,-0.7698330749242797
ACH-000206,-0.8936124742340056
ACH-000207,-0.8896316674697359
ACH-000208,-0.561093573828349
ACH-000210,-0.7446706616429759
ACH-000211,-0.5783071243104423
ACH-000215,-0.5924203799012571
ACH-000221,-0.7913673916314986
ACH-000222,-0.7397626343473468
ACH-000223,-0.5946748006772548
ACH-000226,-0.7359549017417703
ACH-000227,-0.5639012048967292
ACH-000228,-0.4863134976972807
ACH-000231,-0.3889694971668841
ACH-000232,-0.4268470631037962
ACH-000233,-0.8006253430379471
ACH-000234,-0.7138576545840867
ACH-000235,-0.7876004469999843
ACH-000237,-0.3595498962984935
ACH-000238,-0.5779322812475647
ACH-000242,-0.8870539670583361
ACH-000243,-0.5402661174570988
ACH-000244,-0.7492408856670716
ACH-000246,-0.983988373628096
ACH-000248,-0.6866758408535943
ACH-000250,-0.4978243234697269
ACH-000251,-0.7243204200134661
ACH-000252,-0.9033077555312792
ACH-000253,-0.7606118331062841
ACH-000255,-0.3423530271996129
ACH-000256,-0.766699833881363
ACH-000257,-0.7922842813110504
ACH-000258,-0.5985809035793903
ACH-000259,-0.5985346171582946
ACH-000260,-0.433821627427708
ACH-000261,-0.5787186166784447
ACH-000262,-0.5243830066925412
ACH-000263,-0.4915710869532266
ACH-000264,-0.5890583708133691
ACH-000265,-0.8265317805490221
ACH-000266,-0.577430213133298
ACH-000272,-0.7013486378833511
ACH-000274,-0.5275714110007741
ACH-000277,-1.033213509270164
ACH-000278,-0.5513870136532957
ACH-000279,-0.8295549225332072
ACH-000280,-0.6304585451860585
ACH-000281,-0.6082604906257921
ACH-000288,-0.5455077560949021
ACH-000291,-0.7496924004847282
ACH-000293,-0.640973057574449
ACH-000294,-0.7183209913506916
ACH-000295,-0.9088476089692028
ACH-000296,-0.21396764603700125
ACH-000302,-0.6885987113500603
ACH-000304,-1.2805022084645257
ACH-000307,-0.9413551983154578
ACH-000308,-0.6530803182427529
ACH-000310,-0.7113709865586529
ACH-000311,-0.7459333951484359
ACH-000312,-0.9327654505272434
ACH-000315,-0.7568014318179754
ACH-000316,-0.6201283973017724
ACH-000317,-1.3510244819247452
ACH-000318,-0.6815885388477805
ACH-000319,-0.5746863378247864
ACH-000320,-0.6506862310578058
ACH-000322,-0.8265861721407242
ACH-000323,-0.6941848378942808
ACH-000324,-0.4358775409748246
ACH-000329,-1.0764223584025832
ACH-000330,-0.5636664932660513
ACH-000331,-0.3928514425531355
ACH-000332,-0.3506413674800908
ACH-000334,-0.9032397954835748
ACH-000335,-0.3852027422605162
ACH-000336,-0.5839094073284721
ACH-000337,-0.9433322049556608
ACH-000338,-0.8638074468131577
ACH-000339,-0.9814578656816116
ACH-000341,-0.5392765555080028
ACH-000348,-0.7298028208735358
ACH-000350,-0.7801750948200071
ACH-000352,-1.2327998310108528
ACH-000356,-0.879841109720293
ACH-000361,-0.6221010578853959
ACH-000362,-0.4570260172970495
ACH-000363,-0.7447818975226246
ACH-000364,-0.6819401265339177
ACH-000365,-0.9676073012810522
ACH-000366,-0.7779560824249953
ACH-000368,-0.5077864461336711
ACH-000374,-0.8355346509167779
ACH-000375,-0.6868394586363769
ACH-000376,-0.9472808271384348
ACH-000381,-0.9428946476954064
ACH-000383,-0.9994024914751168
ACH-000387,-0.7475508048578426
ACH-000389,-0.317055450305244
ACH-000390,-0.6940753223486321
ACH-000393,-0.4801022991501807
ACH-000395,-0.6838861895237106
ACH-000396,-0.8388966441890254
ACH-000397,-0.41628384600164864
ACH-000401,-0.890362501529215
ACH-000402,-0.8587608691730788
ACH-000403,-0.7751757415317454
ACH-000404,-0.993921133489624
ACH-000406,-0.905386259596714
ACH-000407,-0.5114862267104379
ACH-000408,-0.8547451702022293
ACH-000410,-0.5582208112510918
ACH-000411,-0.5259932054852849
ACH-000414,-0.6399997569281065
ACH-000415,-0.5625983630538762
ACH-000416,-0.6499655006813214
ACH-000420,-0.616538929108991
ACH-000421,-0.5279160542479211
ACH-000424,-0.7715720932146309
ACH-000425,-0.8501062069763261
ACH-000426,-0.8358337375443808
ACH-000427,-0.9779683205557564
